PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.62E+04,1.10E+05,2.45E+05,4.81E+05,7.03E+05,2.39E+04,2.74E+04,5.66E+04,5.27E+04,7.66E+04,3.41E+03,1.76E+03,3.45E+03
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.65E+04,6.62E+04,1.37E+05,1.67E+05,2.40E+05,1.21E+04,1.40E+04,2.77E+04,1.98E+04,2.85E+04,1.68E+03,8.73E+02,1.66E+03
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.01E+04,4.14E+04,8.23E+04,7.27E+04,1.04E+05,7.31E+03,8.21E+03,1.59E+04,9.18E+03,1.31E+04,9.99E+02,5.08E+02,9.44E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.53E+04,1.90E+04,3.62E+04,2.08E+04,2.95E+04,3.49E+03,3.63E+03,6.80E+03,2.83E+03,4.00E+03,4.71E+02,2.22E+02,4.02E+02
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.08E+03,1.03E+04,1.90E+04,8.08E+03,1.14E+04,2.03E+03,1.94E+03,3.55E+03,1.15E+03,1.62E+03,2.71E+02,1.18E+02,2.10E+02
4.3352,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.82E+03,8.57E+03,1.57E+04,6.16E+03,8.65E+03,1.74E+03,1.62E+03,2.94E+03,8.89E+02,1.24E+03,2.32E+02,1.01E+02,1.73E+02
4.3699,0.00E+00,0.00E+00,0.00E+00,1.10E+05,7.70E+03,8.41E+03,1.54E+04,6.00E+03,8.42E+03,1.71E+03,1.59E+03,2.88E+03,8.66E+02,1.21E+03,2.29E+02,9.88E+01,1.70E+02
4.6137,0.00E+00,0.00E+00,0.00E+00,9.95E+04,6.96E+03,7.43E+03,1.36E+04,4.98E+03,6.98E+03,1.54E+03,1.40E+03,2.53E+03,7.24E+02,1.01E+03,2.05E+02,8.71E+01,1.50E+02
4.6507,0.00E+00,0.00E+00,5.15E+04,9.74E+04,6.85E+03,7.29E+03,1.33E+04,4.85E+03,6.79E+03,1.51E+03,1.37E+03,2.48E+03,7.06E+02,9.84E+02,2.02E+02,8.55E+01,1.47E+02
4.9097,0.00E+00,0.00E+00,4.68E+04,8.51E+04,6.18E+03,6.42E+03,1.17E+04,4.02E+03,5.63E+03,1.36E+03,1.21E+03,2.18E+03,5.89E+02,8.21E+02,1.82E+02,7.53E+01,1.29E+02
4.949,0.00E+00,2.59E+04,4.59E+04,8.35E+04,6.09E+03,6.30E+03,1.14E+04,3.91E+03,5.47E+03,1.34E+03,1.19E+03,2.14E+03,5.74E+02,7.99E+02,1.79E+02,7.39E+01,1.26E+02
5,0.00E+00,2.53E+04,4.47E+04,8.13E+04,5.97E+03,6.15E+03,1.12E+04,3.78E+03,5.28E+03,1.31E+03,1.16E+03,2.08E+03,5.55E+02,7.72E+02,1.75E+02,7.21E+01,1.23E+02
6,0.00E+00,1.88E+04,2.81E+04,4.94E+04,4.19E+03,3.97E+03,7.07E+03,1.99E+03,2.77E+03,9.14E+02,7.47E+02,1.32E+03,2.99E+02,4.13E+02,1.22E+02,4.65E+01,7.81E+01
8,0.00E+00,1.11E+04,1.26E+04,2.17E+04,2.36E+03,1.92E+03,3.33E+03,7.05E+02,9.71E+02,5.07E+02,3.62E+02,6.25E+02,1.09E+02,1.49E+02,6.73E+01,2.25E+01,3.70E+01
10,0.00E+00,7.21E+03,6.68E+03,1.12E+04,1.48E+03,1.06E+03,1.81E+03,3.07E+02,4.19E+02,3.17E+02,2.01E+02,3.41E+02,4.81E+01,6.54E+01,4.24E+01,1.25E+01,2.01E+01
15,0.00E+00,3.10E+03,2.00E+03,3.24E+03,6.16E+02,3.41E+02,5.61E+02,6.42E+01,8.63E+01,1.31E+02,6.53E+01,1.07E+02,1.04E+01,1.38E+01,1.75E+01,4.07E+00,6.33E+00
20,0.00E+00,1.64E+03,8.25E+02,1.30E+03,3.21E+02,1.47E+02,2.35E+02,2.05E+01,2.71E+01,6.79E+01,2.82E+01,4.50E+01,3.35E+00,4.41E+00,9.08E+00,1.76E+00,2.67E+00
30,0.00E+00,6.34E+02,2.28E+02,3.44E+02,1.23E+02,4.26E+01,6.53E+01,3.92E+00,5.08E+00,2.59E+01,8.26E+00,1.26E+01,6.52E-01,8.35E-01,3.47E+00,5.16E-01,7.48E-01
31.776,0.00E+00,5.52E+02,1.89E+02,2.84E+02,1.07E+02,3.56E+01,5.42E+01,3.09E+00,3.99E+00,2.26E+01,6.91E+00,1.05E+01,5.15E-01,6.58E-01,3.01E+00,4.32E-01,6.22E-01
32.03,6.34E+03,5.41E+02,1.84E+02,2.77E+02,1.05E+02,3.47E+01,5.29E+01,2.99E+00,3.86E+00,2.21E+01,6.74E+00,1.02E+01,4.98E-01,6.36E-01,2.95E+00,4.21E-01,6.06E-01
