PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.62E+04,4.10E+04,9.43E+04,1.21E+05,1.76E+05,2.66E+04,3.40E+04,7.02E+03,6.36E+03,1.35E+04,6.10E+02
1.1365,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.01E+04,3.49E+04,7.80E+04,9.50E+04,1.38E+05,1.74E+04,2.23E+04,5.71E+03,5.28E+03,1.10E+04,4.92E+02
1.1456,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.77E+05,2.97E+04,3.45E+04,7.71E+04,9.35E+04,1.36E+05,1.70E+04,2.17E+04,5.64E+03,5.22E+03,1.09E+04,4.85E+02
1.166,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.04E+06,2.90E+04,3.37E+04,7.50E+04,9.03E+04,1.31E+05,1.60E+04,2.04E+04,5.48E+03,5.08E+03,1.06E+04,4.71E+02
1.1754,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.01E+05,1.07E+06,2.86E+04,3.33E+04,7.41E+04,8.89E+04,1.29E+05,1.56E+04,1.99E+04,5.41E+03,5.02E+03,1.04E+04,4.64E+02
1.4681,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.21E+05,6.09E+05,2.03E+04,2.43E+04,5.19E+04,5.59E+04,8.04E+04,7.25E+03,9.23E+03,3.74E+03,3.55E+03,7.17E+03,3.17E+02
1.4799,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.97E+05,4.13E+05,5.96E+05,2.01E+04,2.40E+04,5.12E+04,5.49E+04,7.90E+04,7.05E+03,8.98E+03,3.69E+03,3.50E+03,7.07E+03,3.12E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.89E+05,3.99E+05,5.76E+05,1.97E+04,2.35E+04,5.00E+04,5.33E+04,7.67E+04,6.72E+03,8.56E+03,3.60E+03,3.43E+03,6.91E+03,3.05E+02
1.6027,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.76E+05,3.38E+05,4.87E+05,1.77E+04,2.12E+04,4.47E+04,4.60E+04,6.59E+04,5.32E+03,6.77E+03,3.22E+03,3.08E+03,6.14E+03,2.71E+02
1.6155,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.40E+04,1.74E+05,3.31E+05,4.77E+05,1.75E+04,2.10E+04,4.41E+04,4.51E+04,6.47E+04,5.17E+03,6.58E+03,3.18E+03,3.04E+03,6.06E+03,2.68E+02
1.7756,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.66E+04,1.52E+05,2.62E+05,3.76E+05,1.50E+04,1.80E+04,3.74E+04,3.63E+04,5.18E+04,3.68E+03,4.68E+03,2.70E+03,2.59E+03,5.11E+03,2.26E+02
1.7899,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.52E+04,6.60E+04,1.50E+05,2.56E+05,3.68E+05,1.48E+04,1.78E+04,3.69E+04,3.56E+04,5.08E+04,3.58E+03,4.54E+03,2.66E+03,2.56E+03,5.03E+03,2.23E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.97E+04,5.71E+04,1.26E+05,1.92E+05,2.74E+05,1.23E+04,1.48E+04,3.02E+04,2.72E+04,3.87E+04,2.38E+03,3.02E+03,2.19E+03,2.11E+03,4.10E+03,1.83E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.19E+04,3.09E+04,6.21E+04,6.03E+04,8.48E+04,6.07E+03,7.16E+03,1.38E+04,9.49E+03,1.33E+04,5.10E+02,6.43E+02,1.06E+03,9.98E+02,1.85E+03,8.96E+01
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.37E+04,1.83E+04,3.49E+04,2.50E+04,3.48E+04,3.60E+03,4.06E+03,7.54E+03,4.20E+03,5.82E+03,1.62E+02,2.00E+02,6.22E+02,5.62E+02,1.01E+03,5.25E+01
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.27E+03,1.17E+04,2.15E+04,1.23E+04,1.69E+04,2.37E+03,2.55E+03,4.61E+03,2.15E+03,2.96E+03,6.39E+01,7.92E+01,4.07E+02,3.51E+02,6.14E+02,3.44E+01
6,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.66E+03,7.89E+03,1.42E+04,6.74E+03,9.22E+03,1.67E+03,1.71E+03,3.03E+03,1.22E+03,1.66E+03,2.95E+01,3.65E+01,2.86E+02,2.35E+02,4.03E+02,2.42E+01
6.9616,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.04E+03,5.66E+03,9.96E+03,4.08E+03,5.55E+03,1.25E+03,1.22E+03,2.13E+03,7.57E+02,1.02E+03,1.55E+01,1.91E+01,2.13E+02,1.68E+02,2.83E+02,1.80E+01
7.0173,0.00E+00,0.00E+00,0.00E+00,6.48E+04,4.97E+03,5.55E+03,9.77E+03,3.97E+03,5.40E+03,1.23E+03,1.20E+03,2.09E+03,7.37E+02,9.98E+02,1.50E+01,1.84E+01,2.10E+02,1.65E+02,2.78E+02,1.78E+01
7.6175,0.00E+00,0.00E+00,0.00E+00,5.26E+04,4.25E+03,4.60E+03,7.99E+03,2.99E+03,4.06E+03,1.05E+03,9.94E+02,1.71E+03,5.63E+02,7.59E+02,1.04E+01,1.28E+01,1.78E+02,1.36E+02,2.27E+02,1.51E+01
7.6785,0.00E+00,0.00E+00,2.98E+04,5.15E+04,4.19E+03,4.51E+03,7.84E+03,2.91E+03,3.94E+03,1.03E+03,9.76E+02,1.67E+03,5.49E+02,7.39E+02,1.01E+01,1.24E+01,1.76E+02,1.34E+02,2.23E+02,1.49E+01
8,0.00E+00,0.00E+00,2.73E+04,4.63E+04,3.87E+03,4.10E+03,7.08E+03,2.53E+03,3.42E+03,9.52E+02,8.86E+02,1.51E+03,4.79E+02,6.44E+02,8.39E+00,1.03E+01,1.62E+02,1.21E+02,2.01E+02,1.37E+01
8.0114,0.00E+00,0.00E+00,2.71E+04,4.62E+04,3.86E+03,4.08E+03,7.06E+03,2.51E+03,3.40E+03,9.49E+02,8.83E+02,1.51E+03,4.76E+02,6.41E+02,8.34E+00,1.02E+01,1.61E+02,1.21E+02,2.01E+02,1.36E+01
8.0756,0.00E+00,1.51E+04,2.65E+04,4.52E+04,3.80E+03,4.01E+03,6.92E+03,2.45E+03,3.30E+03,9.34E+02,8.67E+02,1.48E+03,4.64E+02,6.24E+02,8.05E+00,9.89E+00,1.59E+02,1.19E+02,1.97E+02,1.34E+01
10,0.00E+00,1.06E+04,1.53E+04,2.51E+04,2.50E+03,2.39E+03,4.01E+03,1.15E+03,1.54E+03,6.07E+02,5.17E+02,8.60E+02,2.24E+02,2.99E+02,3.08E+00,3.77E+00,1.03E+02,7.09E+01,1.15E+02,8.70E+00
15,0.00E+00,4.89E+03,4.95E+03,7.65E+03,1.09E+03,8.45E+02,1.35E+03,2.62E+02,3.43E+02,2.60E+02,1.84E+02,2.91E+02,5.32E+01,6.94E+01,4.80E-01,5.80E-01,4.39E+01,2.55E+01,3.87E+01,3.71E+00
20,0.00E+00,2.72E+03,2.14E+03,3.20E+03,5.85E+02,3.87E+02,5.93E+02,8.82E+01,1.14E+02,1.39E+02,8.47E+01,1.29E+02,1.84E+01,2.35E+01,1.24E-01,1.49E-01,2.35E+01,1.18E+01,1.72E+01,1.98E+00
30,0.00E+00,1.12E+03,6.34E+02,8.93E+02,2.35E+02,1.22E+02,1.77E+02,1.82E+01,2.28E+01,5.56E+01,2.70E+01,3.88E+01,3.89E+00,4.85E+00,1.76E-02,2.08E-02,9.42E+00,3.75E+00,5.19E+00,7.92E-01
40,0.00E+00,5.74E+02,2.61E+02,3.52E+02,1.20E+02,5.21E+01,7.23E+01,5.80E+00,7.11E+00,2.83E+01,1.16E+01,1.60E+01,1.26E+00,1.54E+00,4.32E-03,5.04E-03,4.78E+00,1.61E+00,2.14E+00,4.02E-01
48.528,0.00E+00,3.61E+02,1.42E+02,1.86E+02,7.49E+01,2.90E+01,3.91E+01,2.67E+00,3.22E+00,1.77E+01,6.48E+00,8.68E+00,5.84E-01,7.01E-01,1.68E-03,1.94E-03,3.00E+00,9.02E-01,1.16E+00,2.52E-01
48.916,3.94E+03,3.54E+02,1.39E+02,1.82E+02,7.35E+01,2.84E+01,3.81E+01,2.58E+00,3.12E+00,1.74E+01,6.33E+00,8.46E+00,5.65E-01,6.79E-01,1.62E-03,1.87E-03,2.94E+00,8.80E-01,1.13E+00,2.47E-01
50,3.72E+03,3.36E+02,1.29E+02,1.69E+02,6.97E+01,2.65E+01,3.55E+01,2.36E+00,2.85E+00,1.65E+01,5.92E+00,7.89E+00,5.18E-01,6.21E-01,1.45E-03,1.68E-03,2.78E+00,8.24E-01,1.06E+00,2.34E-01
60,2.32E+03,2.14E+02,7.26E+01,9.21E+01,4.44E+01,1.52E+01,1.97E+01,1.13E+00,1.34E+00,1.05E+01,3.39E+00,4.39E+00,2.50E-01,2.95E-01,5.95E-04,6.81E-04,1.77E+00,4.73E-01,5.89E-01,1.49E-01
80,1.08E+03,1.03E+02,2.90E+01,3.50E+01,2.14E+01,6.20E+00,7.68E+00,3.55E-01,4.09E-01,5.05E+00,1.39E+00,1.72E+00,7.88E-02,9.01E-02,1.47E-04,1.65E-04,8.55E-01,1.94E-01,2.30E-01,7.19E-02
100,5.92E+02,5.79E+01,1.42E+01,1.65E+01,1.20E+01,3.08E+00,3.67E+00,1.45E-01,1.63E-01,2.84E+00,6.96E-01,8.23E-01,3.23E-02,3.62E-02,4.99E-05,5.56E-05,4.80E-01,9.70E-02,1.10E-01,4.03E-02
150,1.93E+02,1.98E+01,3.91E+00,4.21E+00,4.11E+00,8.67E-01,9.56E-01,2.90E-02,3.17E-02,9.73E-01,1.97E-01,2.15E-01,6.53E-03,7.08E-03,7.40E-06,8.08E-06,1.64E-01,2.74E-02,2.90E-02,1.38E-02
200,8.67E+01,9.14E+00,1.59E+00,1.63E+00,1.91E+00,3.56E-01,3.73E-01,9.56E-03,1.03E-02,4.51E-01,8.10E-02,8.41E-02,2.16E-03,2.30E-03,2.01E-06,2.18E-06,7.63E-02,1.13E-02,1.13E-02,6.42E-03
300,2.86E+01,3.11E+00,4.64E-01,4.45E-01,6.51E-01,1.05E-01,1.03E-01,2.13E-03,2.29E-03,1.54E-01,2.40E-02,2.34E-02,4.84E-04,5.14E-04,3.50E-07,3.85E-07,2.61E-02,3.35E-03,3.15E-03,2.19E-03
400,1.34E+01,1.48E+00,2.02E-01,1.87E-01,3.11E-01,4.62E-02,4.37E-02,7.78E-04,8.51E-04,7.35E-02,1.06E-02,9.88E-03,1.77E-04,1.92E-04,1.09E-07,1.24E-07,1.24E-02,1.47E-03,1.33E-03,1.05E-03
500,7.65E+00,8.52E-01,1.10E-01,9.95E-02,1.79E-01,2.51E-02,2.32E-02,3.73E-04,4.17E-04,4.23E-02,5.74E-03,5.27E-03,8.51E-05,9.41E-05,4.74E-08,5.59E-08,7.16E-03,8.01E-04,7.10E-04,6.04E-04
600,4.94E+00,5.52E-01,6.79E-02,6.11E-02,1.16E-01,1.56E-02,1.43E-02,2.10E-04,2.42E-04,2.74E-02,3.56E-03,3.24E-03,4.78E-05,5.48E-05,2.46E-08,3.03E-08,4.64E-03,4.97E-04,4.37E-04,3.92E-04
800,2.58E+00,2.89E-01,3.34E-02,2.99E-02,6.07E-02,7.70E-03,7.01E-03,9.02E-05,1.09E-04,1.44E-02,1.76E-03,1.59E-03,2.05E-05,2.49E-05,9.30E-09,1.26E-08,2.43E-03,2.46E-04,2.15E-04,2.06E-04
1000,1.62E+00,1.81E-01,2.01E-02,1.80E-02,3.81E-02,4.64E-03,4.22E-03,4.93E-05,6.38E-05,9.01E-03,1.06E-03,9.60E-04,1.12E-05,1.44E-05,4.78E-09,6.91E-09,1.53E-03,1.48E-04,1.30E-04,1.30E-04
1500,7.47E-01,8.34E-02,8.74E-03,7.89E-03,1.75E-02,2.02E-03,1.86E-03,1.91E-05,2.58E-05,4.15E-03,4.62E-04,4.21E-04,4.22E-06,6.00E-06,1.63E-09,2.76E-09,7.02E-04,6.45E-05,5.70E-05,6.08E-05
