PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.83E+04,4.77E+04,9.34E+04,4.58E+04,6.69E+04,4.46E+03,2.26E+03,4.37E+03
1.4371,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.06E+04,2.28E+04,4.39E+04,1.43E+04,2.08E+04,2.33E+03,1.06E+03,2.02E+03
1.4486,0.00E+00,0.00E+00,0.00E+00,4.16E+05,2.04E+04,2.24E+04,4.31E+04,1.39E+04,2.02E+04,2.29E+03,1.04E+03,1.99E+03
1.4799,0.00E+00,0.00E+00,0.00E+00,3.92E+05,1.96E+04,2.13E+04,4.11E+04,1.29E+04,1.88E+04,2.21E+03,9.95E+02,1.90E+03
1.4917,0.00E+00,0.00E+00,2.00E+05,3.94E+05,1.93E+04,2.10E+04,4.04E+04,1.26E+04,1.83E+04,2.17E+03,9.78E+02,1.86E+03
1.5,0.00E+00,0.00E+00,1.91E+05,3.93E+05,1.91E+04,2.07E+04,3.99E+04,1.24E+04,1.80E+04,2.15E+03,9.66E+02,1.84E+03
1.6399,0.00E+00,0.00E+00,1.67E+05,3.22E+05,1.63E+04,1.70E+04,3.26E+04,9.15E+03,1.33E+04,1.82E+03,7.91E+02,1.50E+03
1.6531,0.00E+00,7.52E+04,1.64E+05,3.15E+05,1.61E+04,1.67E+04,3.20E+04,8.91E+03,1.29E+04,1.80E+03,7.77E+02,1.47E+03
2,0.00E+00,5.96E+04,9.96E+04,1.90E+05,1.13E+04,1.07E+04,2.04E+04,4.61E+03,6.69E+03,1.25E+03,4.98E+02,9.40E+02
3,0.00E+00,2.97E+04,3.34E+04,6.27E+04,5.16E+03,3.88E+03,7.29E+03,1.07E+03,1.54E+03,5.64E+02,1.81E+02,3.37E+02
4,0.00E+00,1.72E+04,1.46E+04,2.71E+04,2.86E+03,1.80E+03,3.33E+03,3.62E+02,5.20E+02,3.11E+02,8.40E+01,1.55E+02
5,0.00E+00,1.10E+04,7.51E+03,1.38E+04,1.79E+03,9.60E+02,1.77E+03,1.52E+02,2.18E+02,1.93E+02,4.54E+01,8.21E+01
6,0.00E+00,7.50E+03,4.31E+03,7.87E+03,1.20E+03,5.66E+02,1.04E+03,7.41E+01,1.06E+02,1.30E+02,2.68E+01,4.82E+01
8,0.00E+00,3.98E+03,1.75E+03,3.16E+03,6.29E+02,2.39E+02,4.32E+02,2.30E+01,3.26E+01,6.79E+01,1.14E+01,2.02E+01
10,0.00E+00,2.39E+03,8.52E+02,1.52E+03,3.75E+02,1.20E+02,2.14E+02,9.10E+00,1.28E+01,4.05E+01,5.71E+00,1.00E+01
12.606,0.00E+00,1.37E+03,3.98E+02,7.04E+02,2.15E+02,5.72E+01,1.01E+02,3.41E+00,4.77E+00,2.33E+01,2.73E+00,4.76E+00
12.707,1.76E+04,1.35E+03,3.88E+02,6.86E+02,2.11E+02,5.58E+01,9.87E+01,3.29E+00,4.61E+00,2.28E+01,2.67E+00,4.64E+00
15,1.16E+04,8.98E+02,2.23E+02,3.91E+02,1.40E+02,3.25E+01,5.70E+01,1.62E+00,2.25E+00,1.52E+01,1.55E+00,2.68E+00
20,5.44E+03,4.34E+02,8.36E+01,1.45E+02,6.78E+01,1.25E+01,2.15E+01,4.64E-01,6.41E-01,7.33E+00,5.98E-01,1.01E+00
30,1.79E+03,1.49E+02,2.04E+01,3.44E+01,2.34E+01,3.11E+00,5.24E+00,7.80E-02,1.06E-01,2.53E+00,1.50E-01,2.48E-01
40,7.90E+02,6.81E+01,7.37E+00,1.22E+01,1.07E+01,1.14E+00,1.88E+00,2.18E-02,2.90E-02,1.16E+00,5.49E-02,8.89E-02
50,4.14E+02,3.65E+01,3.33E+00,5.38E+00,5.75E+00,5.18E-01,8.38E-01,8.06E-03,1.06E-02,6.21E-01,2.50E-02,3.97E-02
60,2.43E+02,2.18E+01,1.73E+00,2.76E+00,3.43E+00,2.71E-01,4.31E-01,3.59E-03,4.67E-03,3.71E-01,1.31E-02,2.05E-02
80,1.04E+02,9.50E+00,6.17E-01,9.55E-01,1.50E+00,9.74E-02,1.50E-01,1.01E-03,1.29E-03,1.62E-01,4.70E-03,7.15E-03
100,5.31E+01,4.95E+00,2.78E-01,4.20E-01,7.83E-01,4.41E-02,6.65E-02,3.81E-04,4.82E-04,8.47E-02,2.13E-03,3.16E-03
150,1.57E+01,1.50E+00,6.65E-02,9.62E-02,2.37E-01,1.06E-02,1.53E-02,6.76E-05,8.37E-05,2.57E-02,5.13E-04,7.29E-04
200,6.64E+00,6.40E-01,2.47E-02,3.47E-02,1.02E-01,3.97E-03,5.54E-03,2.07E-05,2.54E-05,1.10E-02,1.92E-04,2.64E-04
300,2.03E+00,1.98E-01,6.50E-03,8.83E-03,3.15E-02,1.05E-03,1.41E-03,4.22E-06,5.26E-06,3.41E-03,5.05E-05,6.74E-05
400,9.07E-01,8.91E-02,2.66E-03,3.58E-03,1.42E-02,4.29E-04,5.75E-04,1.47E-06,1.90E-06,1.54E-03,2.07E-05,2.74E-05
500,5.02E-01,4.95E-02,1.38E-03,1.87E-03,7.88E-03,2.23E-04,3.00E-04,6.81E-07,9.13E-07,8.53E-04,1.08E-05,1.43E-05
600,3.18E-01,3.14E-02,8.34E-04,1.14E-03,4.99E-03,1.34E-04,1.83E-04,3.73E-07,5.25E-07,5.41E-04,6.47E-06,8.74E-06
800,1.63E-01,1.61E-02,3.95E-04,5.57E-04,2.56E-03,6.37E-05,8.96E-05,1.57E-07,2.38E-07,2.77E-04,3.07E-06,4.29E-06
1000,1.01E-01,1.00E-02,2.32E-04,3.39E-04,1.59E-03,3.74E-05,5.45E-05,8.36E-08,1.41E-07,1.73E-04,1.80E-06,2.62E-06
1500,4.71E-02,4.65E-03,9.79E-05,1.52E-04,7.40E-04,1.58E-05,2.45E-05,3.20E-08,5.82E-08,8.04E-05,7.61E-07,1.19E-06
