PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.18E+04,1.49E+05,2.07E+05,3.25E+05,5.49E+05,7.06E+05,1.52E+04,1.28E+04,4.12E+04,3.90E+04,5.81E+04,2.90E+03,1.86E+03,4.77E+03
1.0729,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.14E+04,1.38E+05,1.97E+05,3.04E+05,4.61E+05,5.92E+05,1.37E+04,1.19E+04,3.72E+04,3.56E+04,5.27E+04,2.60E+03,1.71E+03,4.29E+03
1.0815,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.92E+04,3.13E+04,1.37E+05,1.95E+05,3.02E+05,4.52E+05,5.80E+05,1.36E+04,1.18E+04,3.68E+04,3.52E+04,5.21E+04,2.56E+03,1.69E+03,4.24E+03
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.64E+04,2.72E+04,9.33E+04,1.33E+05,1.98E+05,1.86E+05,2.37E+05,8.43E+03,8.12E+03,2.25E+04,2.17E+04,3.12E+04,1.53E+03,1.11E+03,2.54E+03
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.88E+04,2.14E+04,6.21E+04,8.39E+04,1.21E+05,7.85E+04,9.91E+04,5.42E+03,5.62E+03,1.42E+04,1.31E+04,1.85E+04,9.59E+02,7.45E+02,1.58E+03
2.8859,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.13E+04,1.40E+04,3.45E+04,4.08E+04,5.72E+04,2.38E+04,2.97E+04,3.02E+03,3.34E+03,7.55E+03,6.28E+03,8.63E+03,5.21E+02,4.31E+02,8.33E+02
2.909,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.31E+05,1.12E+04,1.39E+04,3.40E+04,4.02E+04,5.62E+04,2.31E+04,2.89E+04,2.98E+03,3.30E+03,7.45E+03,6.17E+03,8.48E+03,5.14E+02,4.25E+02,8.21E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.47E+05,1.07E+04,1.33E+04,3.23E+04,3.76E+04,5.24E+04,2.08E+04,2.60E+04,2.83E+03,3.15E+03,7.05E+03,5.77E+03,7.92E+03,4.88E+02,4.05E+02,7.77E+02
3.0184,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.41E+05,1.06E+04,1.32E+04,3.20E+04,3.71E+04,5.17E+04,2.04E+04,2.55E+04,2.80E+03,3.12E+03,6.97E+03,5.70E+03,7.81E+03,4.83E+02,4.01E+02,7.68E+02
3.0426,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.32E+05,3.34E+05,1.05E+04,1.30E+04,3.15E+04,3.64E+04,5.08E+04,1.98E+04,2.48E+04,2.77E+03,3.09E+03,6.87E+03,5.60E+03,7.67E+03,4.76E+02,3.96E+02,7.57E+02
3.5142,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.67E+05,2.30E+05,8.40E+03,1.07E+04,2.44E+04,2.64E+04,3.64E+04,1.20E+04,1.50E+04,2.18E+03,2.47E+03,5.27E+03,4.05E+03,5.50E+03,3.72E+02,3.14E+02,5.80E+02
3.5423,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.51E+04,1.63E+05,2.25E+05,8.29E+03,1.05E+04,2.41E+04,2.59E+04,3.57E+04,1.17E+04,1.46E+04,2.15E+03,2.43E+03,5.20E+03,3.98E+03,5.39E+03,3.67E+02,3.10E+02,5.71E+02
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.29E+04,1.17E+05,1.60E+05,6.85E+03,8.78E+03,1.93E+04,1.94E+04,2.65E+04,7.58E+03,9.40E+03,1.75E+03,2.00E+03,4.13E+03,2.99E+03,4.02E+03,2.97E+02,2.53E+02,4.53E+02
4.1443,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.89E+04,1.06E+05,1.44E+05,6.47E+03,8.31E+03,1.80E+04,1.78E+04,2.43E+04,6.67E+03,8.26E+03,1.65E+03,1.88E+03,3.86E+03,2.74E+03,3.68E+03,2.79E+02,2.38E+02,4.23E+02
4.1775,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.54E+04,6.80E+04,1.04E+05,1.41E+05,6.39E+03,8.21E+03,1.78E+04,1.75E+04,2.38E+04,6.48E+03,8.03E+03,1.62E+03,1.86E+03,3.80E+03,2.69E+03,3.61E+03,2.75E+02,2.35E+02,4.17E+02
4.4474,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.41E+04,6.08E+04,8.68E+04,1.18E+05,5.77E+03,7.43E+03,1.58E+04,1.50E+04,2.03E+04,5.16E+03,6.37E+03,1.46E+03,1.67E+03,3.36E+03,2.31E+03,3.08E+03,2.47E+02,2.11E+02,3.73E+02
4.483,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.63E+04,2.40E+04,5.99E+04,8.49E+04,1.16E+05,5.69E+03,7.34E+03,1.55E+04,1.47E+04,1.99E+04,5.01E+03,6.19E+03,1.44E+03,1.65E+03,3.31E+03,2.26E+03,3.02E+03,2.43E+02,2.08E+02,3.67E+02
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.39E+04,2.12E+04,4.87E+04,6.28E+04,8.44E+04,4.75E+03,6.13E+03,1.26E+04,1.11E+04,1.50E+04,3.34E+03,4.12E+03,1.19E+03,1.37E+03,2.67E+03,1.72E+03,2.28E+03,2.00E+02,1.71E+02,2.96E+02
6,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.07E+04,1.61E+04,3.48E+04,3.68E+04,4.90E+04,3.49E+03,4.48E+03,8.71E+03,6.89E+03,9.14E+03,1.67E+03,2.05E+03,8.61E+02,9.86E+02,1.84E+03,1.07E+03,1.40E+03,1.44E+02,1.23E+02,2.04E+02
8,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.93E+03,1.01E+04,1.93E+04,1.53E+04,1.99E+04,2.10E+03,2.63E+03,4.73E+03,3.08E+03,4.01E+03,5.40E+02,6.56E+02,5.09E+02,5.71E+02,9.93E+02,4.83E+02,6.19E+02,8.45E+01,7.31E+01,1.10E+02
10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.77E+03,6.65E+03,1.18E+04,7.54E+03,9.66E+03,1.39E+03,1.69E+03,2.87E+03,1.60E+03,2.04E+03,2.18E+02,2.63E+02,3.35E+02,3.65E+02,6.02E+02,2.52E+02,3.18E+02,5.53E+01,4.67E+01,6.65E+01
14.604,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.41E+03,3.05E+03,4.82E+03,2.15E+03,2.68E+03,6.74E+02,7.57E+02,1.17E+03,4.90E+02,6.08E+02,4.45E+01,5.29E+01,1.61E+02,1.62E+02,2.45E+02,7.82E+01,9.57E+01,2.68E+01,2.08E+01,2.71E+01
14.721,0.00E+00,0.00E+00,0.00E+00,2.80E+04,2.38E+03,2.99E+03,4.73E+03,2.09E+03,2.61E+03,6.64E+02,7.44E+02,1.15E+03,4.78E+02,5.92E+02,4.30E+01,5.11E+01,1.58E+02,1.60E+02,2.40E+02,7.62E+01,9.32E+01,2.64E+01,2.04E+01,2.66E+01
15,0.00E+00,0.00E+00,0.00E+00,2.67E+04,2.30E+03,2.87E+03,4.52E+03,1.96E+03,2.44E+03,6.40E+02,7.13E+02,1.10E+03,4.50E+02,5.56E+02,3.97E+01,4.71E+01,1.52E+02,1.53E+02,2.29E+02,7.18E+01,8.76E+01,2.54E+01,1.96E+01,2.54E+01
17.38,0.00E+00,0.00E+00,0.00E+00,1.77E+04,1.74E+03,2.07E+03,3.12E+03,1.19E+03,1.45E+03,4.78E+02,5.12E+02,7.59E+02,2.78E+02,3.40E+02,2.10E+01,2.48E+01,1.14E+02,1.10E+02,1.59E+02,4.45E+01,5.37E+01,1.89E+01,1.40E+01,1.76E+01
17.519,0.00E+00,0.00E+00,1.20E+04,1.74E+04,1.71E+03,2.03E+03,3.06E+03,1.15E+03,1.41E+03,4.70E+02,5.03E+02,7.44E+02,2.71E+02,3.31E+02,2.03E+01,2.39E+01,1.12E+02,1.08E+02,1.56E+02,4.34E+01,5.23E+01,1.86E+01,1.38E+01,1.72E+01
18.039,0.00E+00,0.00E+00,1.13E+04,1.61E+04,1.61E+03,1.90E+03,2.84E+03,1.04E+03,1.27E+03,4.44E+02,4.70E+02,6.91E+02,2.46E+02,2.99E+02,1.78E+01,2.10E+01,1.05E+02,1.01E+02,1.45E+02,3.94E+01,4.74E+01,1.76E+01,1.29E+01,1.60E+01
18.184,0.00E+00,5.95E+03,1.11E+04,1.57E+04,1.59E+03,1.87E+03,2.78E+03,1.01E+03,1.24E+03,4.37E+02,4.62E+02,6.77E+02,2.39E+02,2.91E+02,1.72E+01,2.03E+01,1.04E+02,9.90E+01,1.42E+02,3.84E+01,4.61E+01,1.73E+01,1.27E+01,1.57E+01
20,0.00E+00,4.99E+03,8.59E+03,1.21E+04,1.32E+03,1.50E+03,2.18E+03,7.27E+02,8.81E+02,3.60E+02,3.70E+02,5.31E+02,1.74E+02,2.10E+02,1.13E+01,1.33E+01,8.54E+01,7.93E+01,1.11E+02,2.80E+01,3.33E+01,1.42E+01,1.01E+01,1.23E+01
30,0.00E+00,2.38E+03,2.99E+03,3.70E+03,5.78E+02,5.59E+02,7.31E+02,1.71E+02,1.99E+02,1.55E+02,1.39E+02,1.80E+02,4.29E+01,4.99E+01,1.85E+00,2.12E+00,3.65E+01,2.97E+01,3.77E+01,6.97E+00,7.94E+00,6.09E+00,3.80E+00,4.17E+00
40,0.00E+00,1.33E+03,1.36E+03,1.55E+03,3.13E+02,2.67E+02,3.24E+02,5.93E+01,6.72E+01,8.31E+01,6.66E+01,8.04E+01,1.54E+01,1.73E+01,4.99E-01,5.65E-01,1.96E+01,1.43E+01,1.69E+01,2.50E+00,2.77E+00,3.26E+00,1.83E+00,1.87E+00
