PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.10E+04,3.42E+04,1.45E+05,2.03E+05,3.15E+05,4.78E+05,6.14E+05,1.43E+04,1.22E+04,3.69E+04,3.33E+04,4.92E+04,2.41E+03,9.86E+02,2.34E+03
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.66E+04,2.81E+04,8.92E+04,1.27E+05,1.86E+05,1.58E+05,2.01E+05,7.87E+03,7.63E+03,2.01E+04,1.83E+04,2.61E+04,1.27E+03,5.81E+02,1.24E+03
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.85E+04,2.15E+04,5.90E+04,7.82E+04,1.12E+05,6.58E+04,8.31E+04,5.05E+03,5.23E+03,1.27E+04,1.09E+04,1.53E+04,7.94E+02,3.86E+02,7.73E+02
2.682,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.23E+04,1.51E+04,3.69E+04,4.38E+04,6.15E+04,2.52E+04,3.16E+04,3.15E+03,3.43E+03,7.65E+03,6.05E+03,8.32E+03,4.86E+02,2.47E+02,4.63E+02
2.7034,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.70E+05,1.21E+04,1.50E+04,3.64E+04,4.30E+04,6.04E+04,2.45E+04,3.07E+04,3.11E+03,3.39E+03,7.54E+03,5.95E+03,8.17E+03,4.80E+02,2.44E+02,4.56E+02
2.8006,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.78E+05,1.15E+04,1.43E+04,3.42E+04,3.99E+04,5.58E+04,2.17E+04,2.72E+04,2.93E+03,3.22E+03,7.08E+03,5.51E+03,7.56E+03,4.52E+02,2.31E+02,4.28E+02
2.823,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.08E+05,3.71E+05,1.14E+04,1.41E+04,3.38E+04,3.92E+04,5.49E+04,2.11E+04,2.65E+04,2.90E+03,3.18E+03,6.98E+03,5.42E+03,7.42E+03,4.46E+02,2.28E+02,4.22E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.26E+05,3.19E+05,1.04E+04,1.30E+04,3.04E+04,3.43E+04,4.78E+04,1.72E+04,2.15E+04,2.62E+03,2.89E+03,6.26E+03,4.74E+03,6.47E+03,4.02E+02,2.06E+02,3.78E+02
3.2781,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.81E+05,2.52E+05,9.06E+03,1.15E+04,2.60E+04,2.81E+04,3.89E+04,1.26E+04,1.57E+04,2.26E+03,2.52E+03,5.32E+03,3.88E+03,5.27E+03,3.45E+02,1.79E+02,3.25E+02
3.3043,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.12E+04,1.78E+05,2.46E+05,8.95E+03,1.13E+04,2.56E+04,2.76E+04,3.82E+04,1.22E+04,1.53E+04,2.23E+03,2.48E+03,5.24E+03,3.81E+03,5.17E+03,3.40E+02,1.76E+02,3.21E+02
