PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2
3.8371,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.51E+04,1.18E+05,1.61E+05,7.07E+03,9.02E+03,1.95E+04,1.94E+04,2.66E+04,7.18E+03,8.92E+03,1.73E+03,1.95E+03,3.95E+03,2.68E+03,3.60E+03,2.62E+02,1.37E+02,2.42E+02
3.8679,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.77E+04,7.41E+04,1.15E+05,1.58E+05,6.98E+03,8.91E+03,1.92E+04,1.90E+04,2.60E+04,6.97E+03,8.66E+03,1.71E+03,1.92E+03,3.89E+03,2.63E+03,3.53E+03,2.59E+02,1.35E+02,2.38E+02
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.74E+04,6.99E+04,1.05E+05,1.44E+05,6.61E+03,8.45E+03,1.80E+04,1.75E+04,2.39E+04,6.17E+03,7.66E+03,1.61E+03,1.82E+03,3.65E+03,2.42E+03,3.25E+03,2.44E+02,1.27E+02,2.23E+02
4.1268,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.65E+04,6.60E+04,9.60E+04,1.32E+05,6.28E+03,8.04E+03,1.70E+04,1.62E+04,2.21E+04,5.51E+03,6.83E+03,1.53E+03,1.72E+03,3.44E+03,2.25E+03,3.01E+03,2.31E+02,1.21E+02,2.10E+02
4.1599,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.79E+04,2.63E+04,6.51E+04,9.41E+04,1.29E+05,6.19E+03,7.94E+03,1.68E+04,1.59E+04,2.17E+04,5.35E+03,6.63E+03,1.51E+03,1.70E+03,3.38E+03,2.20E+03,2.95E+03,2.28E+02,1.19E+02,2.07E+02
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.39E+04,2.07E+04,4.64E+04,5.60E+04,7.55E+04,4.56E+03,5.84E+03,1.17E+04,9.95E+03,1.34E+04,2.70E+03,3.33E+03,1.09E+03,1.23E+03,2.35E+03,1.38E+03,1.83E+03,1.64E+02,8.87E+01,1.43E+02
6,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.05E+04,1.58E+04,3.28E+04,3.28E+04,4.36E+04,3.33E+03,4.23E+03,8.08E+03,6.11E+03,8.12E+03,1.34E+03,1.65E+03,7.87E+02,8.83E+02,1.61E+03,8.53E+02,1.11E+03,1.17E+02,6.35E+01,9.83E+01
8,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.72E+03,9.63E+03,1.80E+04,1.35E+04,1.76E+04,1.99E+03,2.45E+03,4.36E+03,2.71E+03,3.52E+03,4.29E+02,5.22E+02,4.64E+02,5.06E+02,8.66E+02,3.81E+02,4.88E+02,6.86E+01,3.64E+01,5.28E+01
10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.60E+03,6.27E+03,1.10E+04,6.61E+03,8.50E+03,1.32E+03,1.56E+03,2.63E+03,1.39E+03,1.78E+03,1.72E+02,2.08E+02,3.04E+02,3.21E+02,5.22E+02,1.97E+02,2.48E+02,4.55E+01,2.30E+01,3.18E+01
13.802,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.57E+03,3.19E+03,5.11E+03,2.26E+03,2.84E+03,7.08E+02,7.83E+02,1.22E+03,5.06E+02,6.32E+02,4.42E+01,5.28E+01,1.62E+02,1.60E+02,2.42E+02,7.24E+01,8.90E+01,2.43E+01,1.15E+01,1.48E+01
13.913,0.00E+00,0.00E+00,0.00E+00,3.00E+04,2.53E+03,3.14E+03,5.01E+03,2.20E+03,2.77E+03,6.97E+02,7.69E+02,1.20E+03,4.93E+02,6.16E+02,4.27E+01,5.10E+01,1.60E+02,1.57E+02,2.38E+02,7.06E+01,8.67E+01,2.39E+01,1.13E+01,1.45E+01
15,0.00E+00,0.00E+00,0.00E+00,2.44E+04,2.19E+03,2.66E+03,4.16E+03,1.70E+03,2.13E+03,6.01E+02,6.50E+02,9.96E+02,3.86E+02,4.80E+02,3.09E+01,3.67E+01,1.38E+02,1.33E+02,1.97E+02,5.54E+01,6.77E+01,2.06E+01,9.53E+00,1.20E+01
16.282,0.00E+00,0.00E+00,0.00E+00,1.94E+04,1.87E+03,2.21E+03,3.38E+03,1.29E+03,1.59E+03,5.11E+02,5.40E+02,8.11E+02,2.95E+02,3.64E+02,2.16E+01,2.56E+01,1.17E+02,1.10E+02,1.61E+02,4.24E+01,5.15E+01,1.75E+01,7.91E+00,9.80E+00
16.412,0.00E+00,0.00E+00,1.29E+04,1.90E+04,1.85E+03,2.17E+03,3.31E+03,1.25E+03,1.55E+03,5.03E+02,5.30E+02,7.95E+02,2.87E+02,3.54E+02,2.09E+01,2.48E+01,1.15E+02,1.08E+02,1.58E+02,4.13E+01,5.01E+01,1.72E+01,7.77E+00,9.60E+00
16.913,0.00E+00,0.00E+00,1.21E+04,1.76E+04,1.74E+03,2.02E+03,3.07E+03,1.13E+03,1.39E+03,4.73E+02,4.94E+02,7.37E+02,2.60E+02,3.20E+02,1.83E+01,2.17E+01,1.08E+02,1.01E+02,1.46E+02,3.74E+01,4.53E+01,1.62E+01,7.25E+00,8.90E+00
17.049,0.00E+00,6.44E+03,1.19E+04,1.72E+04,1.71E+03,1.99E+03,3.01E+03,1.10E+03,1.35E+03,4.66E+02,4.85E+02,7.22E+02,2.53E+02,3.11E+02,1.77E+01,2.09E+01,1.06E+02,9.91E+01,1.43E+02,3.65E+01,4.41E+01,1.59E+01,7.11E+00,8.72E+00
20,0.00E+00,4.86E+03,7.89E+03,1.10E+04,1.25E+03,1.37E+03,1.99E+03,6.26E+02,7.63E+02,3.37E+02,3.34E+02,4.79E+02,1.48E+02,1.80E+02,8.74E+00,1.03E+01,7.68E+01,6.81E+01,9.50E+01,2.14E+01,2.53E+01,1.15E+01,4.89E+00,5.79E+00
30,0.00E+00,2.27E+03,2.68E+03,3.34E+03,5.45E+02,5.03E+02,6.62E+02,1.45E+02,1.71E+02,1.44E+02,1.23E+02,1.61E+02,3.61E+01,4.21E+01,1.41E+00,1.63E+00,3.27E+01,2.52E+01,3.20E+01,5.26E+00,6.00E+00,4.88E+00,1.81E+00,1.95E+00
40,0.00E+00,1.26E+03,1.20E+03,1.40E+03,2.93E+02,2.38E+02,2.92E+02,5.02E+01,5.73E+01,7.70E+01,5.86E+01,7.15E+01,1.28E+01,1.45E+01,3.78E-01,4.29E-01,1.74E+01,1.20E+01,1.42E+01,1.87E+00,2.08E+00,2.60E+00,8.61E-01,8.67E-01
50,0.00E+00,7.80E+02,6.38E+02,6.99E+02,1.78E+02,1.31E+02,1.52E+02,2.17E+01,2.42E+01,4.67E+01,3.24E+01,3.73E+01,5.64E+00,6.25E+00,1.35E-01,1.52E-01,1.05E+01,6.61E+00,7.45E+00,8.29E-01,8.96E-01,1.58E+00,4.76E-01,4.54E-01
60,0.00E+00,5.20E+02,3.77E+02,3.95E+02,1.18E+02,7.92E+01,8.78E+01,1.09E+01,1.19E+01,3.07E+01,1.97E+01,2.17E+01,2.87E+00,3.11E+00,5.82E-02,6.45E-02,6.94E+00,4.03E+00,4.33E+00,4.22E-01,4.47E-01,1.04E+00,2.90E-01,2.64E-01
80,0.00E+00,2.68E+02,1.62E+02,1.58E+02,6.00E+01,3.54E+01,3.65E+01,3.66E+00,3.86E+00,1.56E+01,8.87E+00,9.09E+00,9.76E-01,1.02E+00,1.54E-02,1.68E-02,3.53E+00,1.83E+00,1.81E+00,1.44E-01,1.48E-01,5.27E-01,1.31E-01,1.11E-01
93.406,0.00E+00,1.85E+02,1.03E+02,9.63E+01,4.15E+01,2.28E+01,2.26E+01,2.03E+00,2.10E+00,1.08E+01,5.74E+00,5.65E+00,5.45E-01,5.63E-01,7.54E-03,8.05E-03,2.44E+00,1.18E+00,1.13E+00,8.07E-02,8.13E-02,3.64E-01,8.46E-02,6.88E-02
94.153,1.80E+03,1.82E+02,1.01E+02,9.38E+01,4.07E+01,2.23E+01,2.20E+01,1.97E+00,2.04E+00,1.06E+01,5.61E+00,5.51E+00,5.29E-01,5.45E-01,7.27E-03,7.75E-03,2.40E+00,1.16E+00,1.10E+00,7.83E-02,7.88E-02,3.57E-01,8.27E-02,6.72E-02
100,1.55E+03,1.57E+02,8.42E+01,7.73E+01,3.52E+01,1.88E+01,1.83E+01,1.57E+00,1.61E+00,9.15E+00,4.73E+00,4.57E+00,4.22E-01,4.32E-01,5.52E-03,5.86E-03,2.07E+00,9.75E-01,9.13E-01,6.25E-02,6.24E-02,3.08E-01,6.98E-02,5.58E-02
150,5.44E+02,5.82E+01,2.55E+01,2.10E+01,1.30E+01,5.90E+00,5.14E+00,3.39E-01,3.34E-01,3.38E+00,1.49E+00,1.30E+00,9.28E-02,9.10E-02,8.90E-04,9.18E-04,7.65E-01,3.08E-01,2.59E-01,1.38E-02,1.32E-02,1.14E-01,2.21E-02,1.58E-02
200,2.57E+02,2.84E+01,1.10E+01,8.43E+00,6.35E+00,2.59E+00,2.10E+00,1.17E-01,1.13E-01,1.65E+00,6.60E-01,5.31E-01,3.23E-02,3.07E-02,2.52E-04,2.56E-04,3.74E-01,1.36E-01,1.06E-01,4.81E-03,4.48E-03,5.56E-02,9.75E-03,6.50E-03
300,8.98E+01,1.04E+01,3.46E+00,2.41E+00,2.32E+00,8.35E-01,6.12E-01,2.76E-02,2.60E-02,6.04E-01,2.13E-01,1.55E-01,7.66E-03,7.16E-03,4.59E-05,4.67E-05,1.37E-01,4.41E-02,3.12E-02,1.14E-03,1.05E-03,2.04E-02,3.16E-03,1.90E-03
400,4.38E+01,5.16E+00,1.58E+00,1.04E+00,1.16E+00,3.85E-01,2.65E-01,1.05E-02,9.90E-03,3.01E-01,9.85E-02,6.75E-02,2.92E-03,2.73E-03,1.50E-05,1.56E-05,6.82E-02,2.04E-02,1.36E-02,4.35E-04,4.00E-04,1.01E-02,1.46E-03,8.29E-04
500,2.56E+01,3.05E+00,8.82E-01,5.57E-01,6.85E-01,2.16E-01,1.43E-01,5.09E-03,4.89E-03,1.78E-01,5.54E-02,3.64E-02,1.42E-03,1.35E-03,6.54E-06,7.01E-06,4.04E-02,1.15E-02,7.31E-03,2.13E-04,1.98E-04,6.01E-03,8.20E-04,4.48E-04
600,1.69E+01,2.02E+00,5.58E-01,3.43E-01,4.53E-01,1.37E-01,8.84E-02,2.91E-03,2.85E-03,1.18E-01,3.52E-02,2.25E-02,8.14E-04,7.91E-04,3.46E-06,3.75E-06,2.67E-02,7.29E-03,4.52E-03,1.22E-04,1.16E-04,3.97E-03,5.22E-04,2.77E-04
800,9.00E+00,1.08E+00,2.83E-01,1.67E-01,2.43E-01,6.97E-02,4.33E-02,1.27E-03,1.29E-03,6.31E-02,1.79E-02,1.10E-02,3.57E-04,3.59E-04,1.31E-06,1.58E-06,1.43E-02,3.71E-03,2.22E-03,5.32E-05,5.26E-05,2.13E-03,2.66E-04,1.36E-04
1000,5.69E+00,6.83E-01,1.73E-01,1.00E-01,1.53E-01,4.28E-02,2.59E-02,7.08E-04,7.43E-04,3.99E-02,1.10E-02,6.61E-03,1.99E-04,2.07E-04,7.21E-07,8.37E-07,9.03E-03,2.28E-03,1.33E-03,2.97E-05,3.03E-05,1.35E-03,1.63E-04,8.18E-05
1500,2.63E+00,3.14E-01,7.72E-02,4.30E-02,7.04E-02,1.91E-02,1.11E-02,2.75E-04,3.00E-04,1.83E-02,4.92E-03,2.84E-03,7.70E-05,8.41E-05,2.82E-07,3.12E-07,4.15E-03,1.02E-03,5.71E-04,1.14E-05,1.24E-05,6.19E-04,7.33E-05,3.56E-05
