PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2
1,0.00E+00,5.14E+04,3.49E+04,6.83E+04,5.78E+03,2.09E+03,4.09E+03
1.5,0.00E+00,2.26E+04,1.03E+04,2.01E+04,2.48E+03,6.45E+02,1.26E+03
2,0.00E+00,1.21E+04,4.16E+03,8.09E+03,1.31E+03,2.67E+02,5.19E+02
2.8021,0.00E+00,5.58E+03,1.39E+03,2.69E+03,5.98E+02,9.09E+01,1.76E+02
2.8245,8.58E+04,5.48E+03,1.35E+03,2.62E+03,5.87E+02,8.86E+01,1.72E+02
3,7.79E+04,4.75E+03,1.10E+03,2.14E+03,5.08E+02,7.28E+01,1.41E+02
4,3.74E+04,2.36E+03,4.16E+02,8.03E+02,2.52E+02,2.79E+01,5.38E+01
5,2.08E+04,1.34E+03,1.92E+02,3.68E+02,1.43E+02,1.30E+01,2.50E+01
6,1.27E+04,8.34E+02,1.00E+02,1.93E+02,8.93E+01,6.86E+00,1.31E+01
8,5.73E+03,3.87E+02,3.56E+01,6.80E+01,4.15E+01,2.45E+00,4.67E+00
10,3.04E+03,2.10E+02,1.57E+01,2.98E+01,2.26E+01,1.09E+00,2.06E+00
15,9.32E+02,6.68E+01,3.44E+00,6.47E+00,7.19E+00,2.41E-01,4.51E-01
20,3.95E+02,2.89E+01,1.15E+00,2.14E+00,3.12E+00,8.06E-02,1.50E-01
30,1.15E+02,8.62E+00,2.39E-01,4.38E-01,9.31E-01,1.69E-02,3.08E-02
40,4.71E+01,3.58E+00,7.77E-02,1.41E-01,3.87E-01,5.50E-03,9.94E-03
50,2.35E+01,1.80E+00,3.25E-02,5.82E-02,1.95E-01,2.31E-03,4.12E-03
60,1.32E+01,1.02E+00,1.60E-02,2.83E-02,1.10E-01,1.14E-03,2.00E-03
80,5.31E+00,4.13E-01,5.25E-03,9.12E-03,4.47E-02,3.74E-04,6.46E-04
100,2.61E+00,2.04E-01,2.24E-03,3.81E-03,2.21E-02,1.59E-04,2.71E-04
150,7.22E-01,5.68E-02,4.89E-04,8.06E-04,6.16E-03,3.47E-05,5.73E-05
200,2.93E-01,2.31E-02,1.72E-04,2.78E-04,2.51E-03,1.22E-05,1.98E-05
300,8.51E-02,6.75E-03,4.24E-05,6.73E-05,7.32E-04,3.01E-06,4.79E-06
400,3.70E-02,2.94E-03,1.67E-05,2.67E-05,3.19E-04,1.18E-06,1.90E-06
500,2.01E-02,1.60E-03,8.45E-06,1.38E-05,1.74E-04,5.99E-07,9.82E-07
600,1.26E-02,1.00E-03,5.01E-06,8.33E-06,1.09E-04,3.54E-07,5.96E-07
800,6.39E-03,5.09E-04,2.32E-06,4.08E-06,5.52E-05,1.63E-07,2.92E-07
1000,3.98E-03,3.16E-04,1.35E-06,2.48E-06,3.43E-05,9.44E-08,1.79E-07
1500,1.86E-03,1.48E-04,5.59E-07,1.13E-06,1.61E-05,3.90E-08,8.24E-08
