PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.55E+04,4.04E+04,9.16E+04,1.15E+05,1.69E+05,1.98E+04,2.53E+04,6.87E+03,6.27E+03,1.33E+04,6.08E+02
1.0845,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.15E+04,3.64E+04,8.12E+04,9.90E+04,1.44E+05,1.51E+04,1.94E+04,6.03E+03,5.56E+03,1.17E+04,5.30E+02
1.0932,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.17E+05,3.11E+04,3.60E+04,8.02E+04,9.75E+04,1.42E+05,1.47E+04,1.88E+04,5.95E+03,5.50E+03,1.15E+04,5.22E+02
1.1118,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.09E+06,3.04E+04,3.52E+04,7.82E+04,9.43E+04,1.37E+05,1.39E+04,1.78E+04,5.79E+03,5.36E+03,1.12E+04,5.08E+02
1.1207,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.27E+05,1.13E+06,3.00E+04,3.48E+04,7.72E+04,9.29E+04,1.35E+05,1.35E+04,1.73E+04,5.71E+03,5.30E+03,1.10E+04,5.01E+02
1.4063,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.38E+05,6.33E+05,2.12E+04,2.52E+04,5.37E+04,5.79E+04,8.35E+04,6.21E+03,7.92E+03,3.92E+03,3.72E+03,7.53E+03,3.39E+02
1.4176,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.03E+05,4.29E+05,6.21E+05,2.09E+04,2.49E+04,5.30E+04,5.69E+04,8.20E+04,6.04E+03,7.70E+03,3.86E+03,3.67E+03,7.43E+03,3.34E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.87E+05,3.73E+05,5.38E+05,1.91E+04,2.28E+04,4.82E+04,5.02E+04,7.22E+04,4.95E+03,6.31E+03,3.51E+03,3.35E+03,6.73E+03,3.02E+02
1.5307,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.83E+05,3.54E+05,5.11E+05,1.85E+04,2.21E+04,4.66E+04,4.79E+04,6.89E+04,4.60E+03,5.87E+03,3.39E+03,3.24E+03,6.49E+03,2.92E+02
1.543,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.70E+04,1.81E+05,3.47E+05,5.01E+05,1.82E+04,2.18E+04,4.59E+04,4.71E+04,6.76E+04,4.48E+03,5.70E+03,3.35E+03,3.20E+03,6.40E+03,2.88E+02
1.6989,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.94E+04,1.58E+05,2.73E+05,3.93E+05,1.56E+04,1.87E+04,3.88E+04,3.77E+04,5.39E+04,3.17E+03,4.03E+03,2.84E+03,2.72E+03,5.38E+03,2.42E+02
1.7125,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.72E+04,6.88E+04,1.56E+05,2.68E+05,3.85E+05,1.54E+04,1.85E+04,3.83E+04,3.70E+04,5.29E+04,3.08E+03,3.92E+03,2.80E+03,2.68E+03,5.30E+03,2.39E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.91E+04,5.60E+04,1.22E+05,1.78E+05,2.53E+05,1.19E+04,1.43E+04,2.89E+04,2.54E+04,3.61E+04,1.74E+03,2.21E+03,2.13E+03,2.05E+03,3.97E+03,1.81E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.14E+04,2.99E+04,5.97E+04,5.55E+04,7.80E+04,5.85E+03,6.84E+03,1.31E+04,8.75E+03,1.23E+04,3.69E+02,4.66E+02,1.03E+03,9.62E+02,1.78E+03,8.84E+01
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.33E+04,1.75E+04,3.33E+04,2.29E+04,3.19E+04,3.46E+03,3.86E+03,7.16E+03,3.85E+03,5.34E+03,1.16E+02,1.44E+02,6.01E+02,5.39E+02,9.68E+02,5.17E+01
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.97E+03,1.11E+04,2.05E+04,1.12E+04,1.54E+04,2.27E+03,2.41E+03,4.36E+03,1.96E+03,2.70E+03,4.57E+01,5.68E+01,3.93E+02,3.36E+02,5.88E+02,3.38E+01
6,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.43E+03,7.49E+03,1.34E+04,6.11E+03,8.38E+03,1.60E+03,1.62E+03,2.86E+03,1.11E+03,1.51E+03,2.10E+01,2.60E+01,2.76E+02,2.24E+02,3.85E+02,2.38E+01
6.701,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.22E+03,5.84E+03,1.03E+04,4.21E+03,5.74E+03,1.29E+03,1.26E+03,2.19E+03,7.76E+02,1.05E+03,1.30E+01,1.61E+01,2.22E+02,1.74E+02,2.96E+02,1.91E+01
6.7546,0.00E+00,0.00E+00,0.00E+00,6.77E+04,5.15E+03,5.73E+03,1.01E+04,4.09E+03,5.58E+03,1.27E+03,1.24E+03,2.15E+03,7.56E+02,1.03E+03,1.26E+01,1.55E+01,2.18E+02,1.71E+02,2.90E+02,1.88E+01
7.3112,0.00E+00,0.00E+00,0.00E+00,5.54E+04,4.43E+03,4.77E+03,8.35E+03,3.12E+03,4.24E+03,1.09E+03,1.03E+03,1.78E+03,5.83E+02,7.89E+02,8.86E+00,1.09E+01,1.86E+02,1.42E+02,2.39E+02,1.61E+01
