PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.43E+04,8.97E+04,1.84E+05,2.17E+05,3.16E+05,1.41E+04,1.53E+04,3.03E+04,1.09E+04,1.57E+04,5.19E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.46E+04,4.61E+04,9.08E+04,6.78E+04,9.81E+04,6.97E+03,7.29E+03,1.41E+04,3.64E+03,5.22E+03,2.52E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.14E+04,2.65E+04,5.11E+04,2.78E+04,4.01E+04,4.15E+03,4.09E+03,7.79E+03,1.56E+03,2.23E+03,1.49E+02
2.8358,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.15E+04,1.25E+04,2.36E+04,8.87E+03,1.27E+04,2.17E+03,1.91E+03,3.57E+03,5.20E+02,7.36E+02,7.86E+01
2.8585,0.00E+00,0.00E+00,0.00E+00,1.92E+05,1.13E+04,1.23E+04,2.32E+04,8.63E+03,1.23E+04,2.13E+03,1.88E+03,3.50E+03,5.06E+02,7.17E+02,7.74E+01
2.969,0.00E+00,0.00E+00,0.00E+00,1.73E+05,1.05E+04,1.13E+04,2.12E+04,7.59E+03,1.09E+04,1.98E+03,1.72E+03,3.21E+03,4.47E+02,6.33E+02,7.19E+01
2.9928,0.00E+00,0.00E+00,9.13E+04,1.70E+05,1.04E+04,1.11E+04,2.08E+04,7.39E+03,1.06E+04,1.95E+03,1.69E+03,3.15E+03,4.36E+02,6.16E+02,7.08E+01
3,0.00E+00,0.00E+00,9.22E+04,1.69E+05,1.03E+04,1.10E+04,2.07E+04,7.33E+03,1.05E+04,1.94E+03,1.68E+03,3.13E+03,4.32E+02,6.11E+02,7.05E+01
3.2009,0.00E+00,0.00E+00,7.68E+04,1.45E+05,9.16E+03,9.50E+03,1.77E+04,5.88E+03,8.39E+03,1.72E+03,1.45E+03,2.68E+03,3.49E+02,4.92E+02,6.22E+01
3.2265,0.00E+00,3.96E+04,7.54E+04,1.42E+05,9.02E+03,9.33E+03,1.74E+04,5.72E+03,8.16E+03,1.69E+03,1.42E+03,2.63E+03,3.39E+02,4.79E+02,6.12E+01
4,0.00E+00,2.86E+04,4.31E+04,7.89E+04,5.99E+03,5.58E+03,1.03E+04,2.70E+03,3.84E+03,1.11E+03,8.50E+02,1.55E+03,1.64E+02,2.28E+02,4.01E+01
5,0.00E+00,1.92E+04,2.34E+04,4.21E+04,3.86E+03,3.19E+03,5.79E+03,1.21E+03,1.71E+03,7.07E+02,4.86E+02,8.78E+02,7.45E+01,1.04E+02,2.56E+01
6,0.00E+00,1.36E+04,1.40E+04,2.49E+04,2.66E+03,1.98E+03,3.56E+03,6.17E+02,8.68E+02,4.86E+02,3.03E+02,5.40E+02,3.85E+01,5.33E+01,1.76E+01
8,0.00E+00,7.73E+03,6.04E+03,1.06E+04,1.46E+03,9.03E+02,1.59E+03,2.07E+02,2.89E+02,2.64E+02,1.39E+02,2.44E+02,1.31E+01,1.80E+01,9.53E+00
10,0.00E+00,4.85E+03,3.08E+03,5.31E+03,8.97E+02,4.79E+02,8.33E+02,8.66E+01,1.20E+02,1.62E+02,7.39E+01,1.28E+02,5.56E+00,7.58E+00,5.85E+00
15,0.00E+00,1.97E+03,8.70E+02,1.46E+03,3.58E+02,1.43E+02,2.43E+02,1.70E+01,2.32E+01,6.44E+01,2.23E+01,3.76E+01,1.11E+00,1.49E+00,2.32E+00
20,0.00E+00,1.00E+03,3.45E+02,5.66E+02,1.81E+02,5.88E+01,9.73E+01,5.16E+00,6.97E+00,3.26E+01,9.19E+00,1.51E+01,3.40E-01,4.51E-01,1.17E+00
22.066,0.00E+00,7.92E+02,2.50E+02,4.08E+02,1.43E+02,4.31E+01,7.07E+01,3.42E+00,4.59E+00,2.56E+01,6.74E+00,1.10E+01,2.26E-01,2.98E-01,9.25E-01
22.242,9.49E+03,7.77E+02,2.44E+02,3.97E+02,1.40E+02,4.20E+01,6.89E+01,3.31E+00,4.44E+00,2.51E+01,6.58E+00,1.07E+01,2.18E-01,2.88E-01,9.07E-01
30,4.42E+03,3.70E+02,9.04E+01,1.44E+02,6.64E+01,1.60E+01,2.56E+01,9.32E-01,1.23E+00,1.19E+01,2.52E+00,3.99E+00,6.19E-02,8.06E-02,4.30E-01
40,2.03E+03,1.76E+02,3.43E+01,5.30E+01,3.17E+01,6.19E+00,9.64E+00,2.73E-01,3.55E-01,5.70E+00,9.78E-01,1.51E+00,1.82E-02,2.33E-02,2.05E-01
50,1.10E+03,9.76E+01,1.60E+01,2.42E+01,1.76E+01,2.93E+00,4.46E+00,1.05E-01,1.35E-01,3.16E+00,4.64E-01,7.00E-01,7.02E-03,8.86E-03,1.14E-01
60,6.57E+02,5.97E+01,8.58E+00,1.27E+01,1.08E+01,1.59E+00,2.36E+00,4.80E-02,6.09E-02,1.94E+00,2.51E-01,3.71E-01,3.22E-03,4.02E-03,6.98E-02
80,2.89E+02,2.70E+01,3.19E+00,4.57E+00,4.88E+00,5.97E-01,8.60E-01,1.40E-02,1.75E-02,8.79E-01,9.48E-02,1.35E-01,9.45E-04,1.16E-03,3.17E-02
100,1.51E+02,1.45E+01,1.48E+00,2.06E+00,2.62E+00,2.79E-01,3.91E-01,5.45E-03,6.68E-03,4.72E-01,4.44E-02,6.16E-02,3.68E-04,4.43E-04,1.70E-02
150,4.63E+01,4.57E+00,3.73E-01,4.92E-01,8.30E-01,7.11E-02,9.43E-02,1.01E-03,1.20E-03,1.50E-01,1.13E-02,1.49E-02,6.84E-05,8.04E-05,5.39E-03
200,2.00E+01,2.01E+00,1.43E-01,1.82E-01,3.66E-01,2.74E-02,3.51E-02,3.19E-04,3.74E-04,6.60E-02,4.38E-03,5.54E-03,2.15E-05,2.51E-05,2.38E-03
300,6.28E+00,6.43E-01,3.91E-02,4.76E-02,1.17E-01,7.55E-03,9.22E-03,6.74E-05,7.96E-05,2.12E-02,1.20E-03,1.46E-03,4.55E-06,5.35E-06,7.63E-04
400,2.85E+00,2.95E-01,1.64E-02,1.96E-02,5.39E-02,3.17E-03,3.80E-03,2.38E-05,2.92E-05,9.73E-03,5.06E-04,6.02E-04,1.61E-06,1.95E-06,3.51E-04
500,1.60E+00,1.66E-01,8.62E-03,1.03E-02,3.03E-02,1.67E-03,2.00E-03,1.12E-05,1.42E-05,5.47E-03,2.67E-04,3.17E-04,7.55E-07,9.51E-07,1.97E-04
600,1.02E+00,1.06E-01,5.24E-03,6.28E-03,1.93E-02,1.02E-03,1.22E-03,6.25E-06,8.12E-06,3.49E-03,1.63E-04,1.94E-04,4.19E-07,5.51E-07,1.26E-04
800,5.24E-01,5.46E-02,2.51E-03,3.08E-03,9.98E-03,4.89E-04,5.99E-04,2.60E-06,3.74E-06,1.80E-03,7.81E-05,9.50E-05,1.75E-07,2.51E-07,6.52E-05
1000,3.27E-01,3.40E-02,1.49E-03,1.86E-03,6.22E-03,2.90E-04,3.63E-04,1.43E-06,2.14E-06,1.12E-03,4.62E-05,5.76E-05,9.48E-08,1.46E-07,4.08E-05
1500,1.51E-01,1.58E-02,6.36E-04,8.29E-04,2.88E-03,1.24E-04,1.62E-04,5.31E-07,9.15E-07,5.20E-04,1.97E-05,2.57E-05,3.49E-08,6.20E-08,1.91E-05
