PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2
1,0.00E+00,8.97E+04,1.12E+05,2.18E+05,1.41E+04,1.07E+04,2.09E+04,3.29E+02,4.86E+02,1.07E+03
1.5,0.00E+00,4.34E+04,3.58E+04,6.93E+04,6.33E+03,3.68E+03,7.14E+03,7.27E+01,1.07E+02,4.75E+02
2,0.00E+00,2.47E+04,1.53E+04,2.95E+04,3.49E+03,1.65E+03,3.18E+03,2.37E+01,3.48E+01,2.61E+02
3,0.00E+00,1.04E+04,4.37E+03,8.38E+03,1.45E+03,4.95E+02,9.50E+02,4.52E+00,6.63E+00,1.08E+02
4,0.00E+00,5.45E+03,1.73E+03,3.31E+03,7.50E+02,2.02E+02,3.85E+02,1.34E+00,1.95E+00,5.61E+01
4.9357,0.00E+00,3.32E+03,8.67E+02,1.65E+03,4.56E+02,1.03E+02,1.95E+02,5.46E-01,7.93E-01,3.41E+01
4.9752,4.80E+04,3.26E+03,8.44E+02,1.60E+03,4.47E+02,9.99E+01,1.90E+02,5.28E-01,7.66E-01,3.34E+01
5,4.78E+04,3.22E+03,8.30E+02,1.58E+03,4.42E+02,9.83E+01,1.87E+02,5.17E-01,7.50E-01,3.30E+01
6,3.04E+04,2.07E+03,4.50E+02,8.51E+02,2.83E+02,5.39E+01,1.02E+02,2.36E-01,3.41E-01,2.12E+01
8,1.43E+04,1.01E+03,1.67E+02,3.14E+02,1.38E+02,2.04E+01,3.84E+01,6.68E-02,9.63E-02,1.03E+01
10,7.82E+03,5.65E+02,7.64E+01,1.43E+02,7.73E+01,9.43E+00,1.76E+01,2.46E-02,3.53E-02,5.77E+00
15,2.52E+03,1.90E+02,1.78E+01,3.28E+01,2.61E+01,2.23E+00,4.12E+00,3.84E-03,5.47E-03,1.95E+00
20,1.10E+03,8.55E+01,6.17E+00,1.13E+01,1.17E+01,7.82E-01,1.43E+00,1.02E-03,1.44E-03,8.78E-01
30,3.33E+02,2.67E+01,1.36E+00,2.44E+00,3.68E+00,1.74E-01,3.11E-01,1.54E-04,2.15E-04,2.75E-01
40,1.40E+02,1.14E+01,4.57E-01,8.08E-01,1.58E+00,5.88E-02,1.04E-01,4.02E-05,5.56E-05,1.18E-01
50,7.07E+01,5.87E+00,1.96E-01,3.42E-01,8.11E-01,2.53E-02,4.40E-02,1.42E-05,1.94E-05,6.07E-02
60,4.04E+01,3.38E+00,9.80E-02,1.69E-01,4.67E-01,1.27E-02,2.18E-02,6.07E-06,8.24E-06,3.50E-02
80,1.65E+01,1.40E+00,3.30E-02,5.55E-02,1.94E-01,4.28E-03,7.19E-03,1.61E-06,2.15E-06,1.45E-02
100,8.24E+00,7.04E-01,1.43E-02,2.36E-02,9.76E-02,1.85E-03,3.06E-03,5.83E-07,7.73E-07,7.30E-03
150,2.33E+00,2.01E-01,3.20E-03,5.11E-03,2.79E-02,4.17E-04,6.64E-04,9.71E-08,1.26E-07,2.09E-03
200,9.56E-01,8.31E-02,1.15E-03,1.78E-03,1.15E-02,1.50E-04,2.33E-04,2.86E-08,3.73E-08,8.63E-04
300,2.82E-01,2.47E-02,2.89E-04,4.39E-04,3.43E-03,3.76E-05,5.73E-05,5.63E-09,7.47E-09,2.57E-04
400,1.24E-01,1.09E-02,1.15E-04,1.75E-04,1.51E-03,1.50E-05,2.29E-05,1.90E-09,2.68E-09,1.13E-04
500,6.77E-02,5.95E-03,5.87E-05,9.08E-05,8.26E-04,7.65E-06,1.19E-05,8.71E-10,1.27E-09,6.19E-05
600,4.25E-02,3.74E-03,3.49E-05,5.50E-05,5.19E-04,4.55E-06,7.19E-06,4.72E-10,7.44E-10,3.89E-05
800,2.16E-02,1.90E-03,1.63E-05,2.69E-05,2.64E-04,2.12E-06,3.52E-06,1.98E-10,3.38E-10,1.98E-05
1000,1.34E-02,1.18E-03,9.46E-06,1.64E-05,1.64E-04,1.23E-06,2.15E-06,1.07E-10,1.98E-10,1.24E-05
1500,6.29E-03,5.52E-04,3.96E-06,7.48E-06,7.68E-05,5.13E-07,9.76E-07,4.32E-11,9.35E-11,5.87E-06
