PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.23E+04,1.02E+05,2.17E+05,3.36E+05,4.89E+05,1.86E+04,2.08E+04,4.18E+04,2.92E+04,4.22E+04,1.53E+03
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.09E+04,5.67E+04,1.14E+05,1.10E+05,1.59E+05,9.29E+03,1.02E+04,1.99E+04,1.04E+04,1.48E+04,7.47E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.58E+04,3.39E+04,6.62E+04,4.66E+04,6.69E+04,5.56E+03,5.88E+03,1.12E+04,4.63E+03,6.59E+03,4.43E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.27E+04,1.49E+04,2.80E+04,1.28E+04,1.82E+04,2.63E+03,2.52E+03,4.68E+03,1.36E+03,1.91E+03,2.07E+02
3.5318,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.45E+03,1.03E+04,1.92E+04,7.42E+03,1.05E+04,1.93E+03,1.75E+03,3.21E+03,8.03E+02,1.13E+03,1.51E+02
3.56,0.00E+00,0.00E+00,0.00E+00,1.46E+05,9.31E+03,1.02E+04,1.89E+04,7.23E+03,1.02E+04,1.90E+03,1.72E+03,3.15E+03,7.83E+02,1.10E+03,1.49E+02
3.7273,0.00E+00,0.00E+00,0.00E+00,1.31E+05,8.55E+03,9.14E+03,1.69E+04,6.18E+03,8.75E+03,1.74E+03,1.54E+03,2.82E+03,6.73E+02,9.44E+02,1.39E+02
3.7571,0.00E+00,0.00E+00,6.88E+04,1.28E+05,8.42E+03,8.98E+03,1.66E+04,6.02E+03,8.52E+03,1.71E+03,1.52E+03,2.77E+03,6.56E+02,9.20E+02,1.37E+02
3.9904,0.00E+00,0.00E+00,5.97E+04,1.11E+05,7.51E+03,7.80E+03,1.44E+04,4.90E+03,6.92E+03,1.52E+03,1.32E+03,2.40E+03,5.37E+02,7.52E+02,1.22E+02
4,0.00E+00,3.38E+04,5.94E+04,1.10E+05,7.48E+03,7.76E+03,1.43E+04,4.85E+03,6.86E+03,1.52E+03,1.31E+03,2.38E+03,5.33E+02,7.46E+02,1.21E+02
4.0224,0.00E+00,3.12E+04,5.86E+04,1.09E+05,7.40E+03,7.66E+03,1.41E+04,4.76E+03,6.73E+03,1.50E+03,1.29E+03,2.35E+03,5.23E+02,7.32E+02,1.20E+02
5,0.00E+00,2.26E+04,3.34E+04,5.99E+04,4.87E+03,4.54E+03,8.23E+03,2.22E+03,3.13E+03,9.75E+02,7.66E+02,1.37E+03,2.50E+02,3.47E+02,7.77E+01
6,0.00E+00,1.62E+04,2.02E+04,3.57E+04,3.39E+03,2.87E+03,5.14E+03,1.16E+03,1.62E+03,6.74E+02,4.85E+02,8.59E+02,1.32E+02,1.82E+02,5.36E+01
8,0.00E+00,9.40E+03,8.93E+03,1.55E+04,1.88E+03,1.35E+03,2.36E+03,3.98E+02,5.52E+02,3.71E+02,2.29E+02,3.97E+02,4.65E+01,6.34E+01,2.94E+01
10,0.00E+00,6.00E+03,4.64E+03,7.89E+03,1.17E+03,7.32E+02,1.26E+03,1.70E+02,2.34E+02,2.30E+02,1.25E+02,2.13E+02,2.01E+01,2.73E+01,1.82E+01
15,0.00E+00,2.51E+03,1.35E+03,2.23E+03,4.78E+02,2.27E+02,3.79E+02,3.44E+01,4.66E+01,9.31E+01,3.90E+01,6.46E+01,4.16E+00,5.55E+00,7.39E+00
20,0.00E+00,1.30E+03,5.46E+02,8.78E+02,2.45E+02,9.55E+01,1.55E+02,1.07E+01,1.43E+01,4.77E+01,1.65E+01,2.66E+01,1.31E+00,1.73E+00,3.79E+00
26.663,0.00E+00,6.57E+02,2.16E+02,3.39E+02,1.23E+02,3.90E+01,6.19E+01,3.27E+00,4.31E+00,2.39E+01,6.77E+00,1.06E+01,4.04E-01,5.24E-01,1.90E+00
26.876,7.69E+03,6.45E+02,2.10E+02,3.30E+02,1.21E+02,3.81E+01,6.03E+01,3.16E+00,4.16E+00,2.35E+01,6.60E+00,1.04E+01,3.91E-01,5.06E-01,1.86E+00
30,5.82E+03,4.92E+02,1.47E+02,2.28E+02,9.20E+01,2.69E+01,4.21E+01,2.00E+00,2.61E+00,1.79E+01,4.67E+00,7.25E+00,2.47E-01,3.19E-01,1.42E+00
40,2.75E+03,2.38E+02,5.67E+01,8.53E+01,4.46E+01,1.06E+01,1.61E+01,5.95E-01,7.65E-01,8.67E+00,1.85E+00,2.79E+00,7.42E-02,9.40E-02,6.87E-01
50,1.50E+03,1.34E+02,2.69E+01,3.94E+01,2.50E+01,5.11E+00,7.57E+00,2.32E-01,2.93E-01,4.87E+00,8.95E-01,1.31E+00,2.90E-02,3.62E-02,3.85E-01
60,9.07E+02,8.25E+01,1.45E+01,2.09E+01,1.54E+01,2.79E+00,4.05E+00,1.07E-01,1.34E-01,3.01E+00,4.90E-01,7.03E-01,1.34E-02,1.66E-02,2.38E-01
80,4.03E+02,3.79E+01,5.49E+00,7.60E+00,7.11E+00,1.07E+00,1.50E+00,3.18E-02,3.89E-02,1.38E+00,1.88E-01,2.60E-01,4.01E-03,4.83E-03,1.10E-01
100,2.13E+02,2.05E+01,2.58E+00,3.46E+00,3.85E+00,5.08E-01,6.89E-01,1.25E-02,1.50E-02,7.50E-01,8.95E-02,1.20E-01,1.58E-03,1.87E-03,5.94E-02
150,6.61E+01,6.58E+00,6.62E-01,8.39E-01,1.24E+00,1.32E-01,1.69E-01,2.36E-03,2.77E-03,2.42E-01,2.33E-02,2.95E-02,2.99E-04,3.45E-04,1.92E-02
200,2.88E+01,2.93E+00,2.57E-01,3.13E-01,5.54E-01,5.17E-02,6.35E-02,7.50E-04,8.63E-04,1.08E-01,9.14E-03,1.11E-02,9.52E-05,1.09E-04,8.55E-03
