PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2
1,0.00E+00,0.00E+00,2.83E+05,5.51E+05,2.52E+04,2.62E+04,5.10E+04,8.78E+03,1.29E+04,1.61E+03
1.0055,0.00E+00,0.00E+00,2.79E+05,5.44E+05,2.50E+04,2.59E+04,5.03E+04,8.62E+03,1.26E+04,1.59E+03
1.0136,0.00E+00,1.29E+05,2.73E+05,5.33E+05,2.46E+04,2.54E+04,4.94E+04,8.39E+03,1.23E+04,1.57E+03
1.5,0.00E+00,6.94E+04,1.01E+05,1.95E+05,1.20E+04,1.01E+04,1.94E+04,2.14E+03,3.12E+03,7.49E+02
2,0.00E+00,4.24E+04,4.58E+04,8.77E+04,6.82E+03,4.85E+03,9.27E+03,7.49E+02,1.09E+03,4.24E+02
3,0.00E+00,1.96E+04,1.42E+04,2.68E+04,2.97E+03,1.61E+03,3.05E+03,1.60E+02,2.32E+02,1.84E+02
4,0.00E+00,1.08E+04,5.91E+03,1.11E+04,1.60E+03,7.02E+02,1.32E+03,5.12E+01,7.41E+01,9.94E+01
5,0.00E+00,6.64E+03,2.94E+03,5.49E+03,9.76E+02,3.60E+02,6.72E+02,2.06E+01,2.97E+01,6.04E+01
6,0.00E+00,4.40E+03,1.64E+03,3.05E+03,6.43E+02,2.05E+02,3.81E+02,9.64E+00,1.39E+01,3.98E+01
8,0.00E+00,2.24E+03,6.39E+02,1.18E+03,3.26E+02,8.21E+01,1.51E+02,2.84E+00,4.04E+00,2.01E+01
8.2946,0.00E+00,2.05E+03,5.66E+02,1.04E+03,2.99E+02,7.30E+01,1.34E+02,2.43E+00,3.45E+00,1.85E+01
8.361,2.76E+04,2.02E+03,5.51E+02,1.01E+03,2.93E+02,7.11E+01,1.31E+02,2.35E+00,3.34E+00,1.81E+01
10,1.78E+04,1.30E+03,3.02E+02,5.53E+02,1.89E+02,3.95E+01,7.22E+01,1.08E+00,1.53E+00,1.17E+01
15,6.03E+03,4.65E+02,7.49E+01,1.35E+02,6.75E+01,1.01E+01,1.81E+01,1.83E-01,2.57E-01,4.17E+00
20,2.73E+03,2.17E+02,2.71E+01,4.82E+01,3.16E+01,3.70E+00,6.56E+00,5.07E-02,7.05E-02,1.95E+00
30,8.61E+02,7.14E+01,6.30E+00,1.10E+01,1.04E+01,8.73E-01,1.52E+00,8.07E-03,1.11E-02,6.44E-01
40,3.71E+02,3.16E+01,2.20E+00,3.77E+00,4.62E+00,3.08E-01,5.24E-01,2.18E-03,2.95E-03,2.86E-01
50,1.92E+02,1.66E+01,9.70E-01,1.63E+00,2.43E+00,1.36E-01,2.29E-01,7.90E-04,1.06E-03,1.50E-01
60,1.11E+02,9.73E+00,4.95E-01,8.22E-01,1.43E+00,6.99E-02,1.15E-01,3.46E-04,4.59E-04,8.82E-02
80,4.63E+01,4.14E+00,1.72E-01,2.78E-01,6.08E-01,2.44E-02,3.92E-02,9.46E-05,1.24E-04,3.76E-02
100,2.35E+01,2.12E+00,7.58E-02,1.20E-01,3.12E-01,1.08E-02,1.70E-02,3.50E-05,4.53E-05,1.93E-02
150,6.78E+00,6.23E-01,1.76E-02,2.67E-02,9.17E-02,2.51E-03,3.80E-03,6.02E-06,7.64E-06,5.68E-03
200,2.83E+00,2.62E-01,6.41E-03,9.50E-03,3.86E-02,9.19E-04,1.35E-03,1.81E-06,2.29E-06,2.39E-03
300,8.49E-01,7.95E-02,1.64E-03,2.38E-03,1.17E-02,2.37E-04,3.40E-04,3.61E-07,4.65E-07,7.26E-04
400,3.76E-01,3.54E-02,6.67E-04,9.55E-04,5.22E-03,9.57E-05,1.37E-04,1.24E-07,1.66E-07,3.23E-04
500,2.07E-01,1.95E-02,3.44E-04,4.96E-04,2.88E-03,4.93E-05,7.12E-05,5.69E-08,8.01E-08,1.78E-04
600,1.30E-01,1.23E-02,2.06E-04,3.02E-04,1.82E-03,2.95E-05,4.33E-05,3.11E-08,4.61E-08,1.13E-04
800,6.66E-02,6.28E-03,9.65E-05,1.48E-04,9.28E-04,1.39E-05,2.12E-05,1.28E-08,2.10E-08,5.76E-05
1000,4.14E-02,3.91E-03,5.66E-05,8.98E-05,5.77E-04,8.11E-06,1.29E-05,6.86E-09,1.22E-08,3.59E-05
1500,1.93E-02,1.82E-03,2.37E-05,4.08E-05,2.69E-04,3.39E-06,5.84E-06,2.50E-09,5.23E-09,1.69E-05
