PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.80E+04,1.08E+05,2.38E+05,4.43E+05,6.46E+05,2.26E+04,2.57E+04,5.28E+04,4.64E+04,6.73E+04,2.96E+03,1.08E+03,2.09E+03
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.52E+04,6.40E+04,1.31E+05,1.51E+05,2.18E+05,1.14E+04,1.30E+04,2.57E+04,1.72E+04,2.47E+04,1.46E+03,5.31E+02,1.00E+03
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.90E+04,3.95E+04,7.82E+04,6.54E+04,9.37E+04,6.85E+03,7.60E+03,1.46E+04,7.89E+03,1.13E+04,8.65E+02,3.07E+02,5.68E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.46E+04,1.80E+04,3.41E+04,1.85E+04,2.63E+04,3.26E+03,3.33E+03,6.23E+03,2.41E+03,3.40E+03,4.07E+02,1.34E+02,2.40E+02
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.67E+03,9.62E+03,1.78E+04,7.16E+03,1.01E+04,1.89E+03,1.77E+03,3.23E+03,9.71E+02,1.36E+03,2.34E+02,7.24E+01,1.25E+02
4.1262,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.19E+03,8.96E+03,1.65E+04,6.45E+03,9.07E+03,1.78E+03,1.65E+03,3.00E+03,8.78E+02,1.23E+03,2.21E+02,6.74E+01,1.16E+02
4.1593,0.00E+00,0.00E+00,0.00E+00,1.16E+05,8.07E+03,8.80E+03,1.62E+04,6.27E+03,8.83E+03,1.75E+03,1.62E+03,2.95E+03,8.55E+02,1.20E+03,2.17E+02,6.62E+01,1.14E+02
4.3818,0.00E+00,0.00E+00,0.00E+00,1.06E+05,7.31E+03,7.81E+03,1.43E+04,5.25E+03,7.38E+03,1.59E+03,1.44E+03,2.60E+03,7.21E+02,1.01E+03,1.96E+02,5.87E+01,1.00E+02
4.4169,0.00E+00,0.00E+00,5.46E+04,1.04E+05,7.20E+03,7.67E+03,1.40E+04,5.11E+03,7.18E+03,1.56E+03,1.41E+03,2.55E+03,7.02E+02,9.81E+02,1.93E+02,5.76E+01,9.86E+01
4.6694,0.00E+00,0.00E+00,4.96E+04,9.07E+04,6.48E+03,6.73E+03,1.23E+04,4.22E+03,5.92E+03,1.40E+03,1.24E+03,2.23E+03,5.84E+02,8.14E+02,1.73E+02,5.06E+01,8.62E+01
4.7068,0.00E+00,2.73E+04,4.86E+04,8.89E+04,6.38E+03,6.61E+03,1.20E+04,4.11E+03,5.76E+03,1.38E+03,1.21E+03,2.19E+03,5.68E+02,7.92E+02,1.70E+02,4.96E+01,8.45E+01
5,0.00E+00,2.45E+04,4.21E+04,7.60E+04,5.69E+03,5.73E+03,1.04E+04,3.33E+03,4.66E+03,1.22E+03,1.05E+03,1.89E+03,4.64E+02,6.46E+02,1.51E+02,4.30E+01,7.29E+01
6,0.00E+00,1.82E+04,2.60E+04,4.57E+04,3.99E+03,3.67E+03,6.56E+03,1.75E+03,2.44E+03,8.50E+02,6.75E+02,1.19E+03,2.49E+02,3.44E+02,1.05E+02,2.76E+01,4.61E+01
8,0.00E+00,1.07E+04,1.16E+04,2.00E+04,2.23E+03,1.76E+03,3.07E+03,6.15E+02,8.49E+02,4.71E+02,3.25E+02,5.62E+02,8.97E+01,1.23E+02,5.85E+01,1.33E+01,2.17E+01
10,0.00E+00,6.91E+03,6.12E+03,1.03E+04,1.40E+03,9.70E+02,1.66E+03,2.67E+02,3.65E+02,2.94E+02,1.79E+02,3.05E+02,3.96E+01,5.38E+01,3.64E+01,7.34E+00,1.18E+01
15,0.00E+00,2.95E+03,1.82E+03,2.96E+03,5.80E+02,3.10E+02,5.11E+02,5.53E+01,7.45E+01,1.21E+02,5.78E+01,9.48E+01,8.43E+00,1.13E+01,1.50E+01,2.37E+00,3.67E+00
20,0.00E+00,1.55E+03,7.47E+02,1.18E+03,3.01E+02,1.32E+02,2.13E+02,1.75E+01,2.33E+01,6.25E+01,2.48E+01,3.97E+01,2.70E+00,3.55E+00,7.74E+00,1.02E+00,1.54E+00
30,0.00E+00,5.97E+02,2.05E+02,3.12E+02,1.15E+02,3.81E+01,5.88E+01,3.34E+00,4.33E+00,2.37E+01,7.21E+00,1.11E+01,5.23E-01,6.71E-01,2.94E+00,2.96E-01,4.28E-01
30.45,0.00E+00,5.76E+02,1.95E+02,2.97E+02,1.10E+02,3.64E+01,5.60E+01,3.14E+00,4.07E+00,2.29E+01,6.88E+00,1.05E+01,4.92E-01,6.31E-01,2.84E+00,2.82E-01,4.08E-01
30.694,6.65E+03,5.64E+02,1.90E+02,2.89E+02,1.08E+02,3.55E+01,5.46E+01,3.04E+00,3.93E+00,2.25E+01,6.71E+00,1.03E+01,4.76E-01,6.10E-01,2.78E+00,2.76E-01,3.98E-01
40,3.37E+03,2.93E+02,8.01E+01,1.18E+02,5.61E+01,1.53E+01,2.29E+01,1.01E+00,1.28E+00,1.16E+01,2.91E+00,4.32E+00,1.59E-01,2.01E-01,1.44E+00,1.19E-01,1.68E-01
50,1.85E+03,1.66E+02,3.83E+01,5.50E+01,3.17E+01,7.46E+00,1.08E+01,3.96E-01,4.96E-01,6.58E+00,1.42E+00,2.05E+00,6.29E-02,7.80E-02,8.14E-01,5.83E-02,7.96E-02
60,1.13E+03,1.03E+02,2.09E+01,2.93E+01,1.97E+01,4.11E+00,5.84E+00,1.84E-01,2.28E-01,4.09E+00,7.86E-01,1.11E+00,2.94E-02,3.59E-02,5.06E-01,3.23E-02,4.30E-02
80,5.07E+02,4.77E+01,7.98E+00,1.08E+01,9.18E+00,1.60E+00,2.18E+00,5.53E-02,6.70E-02,1.90E+00,3.06E-01,4.15E-01,8.86E-03,1.06E-02,2.35E-01,1.26E-02,1.61E-02
100,2.69E+02,2.60E+01,3.78E+00,4.94E+00,5.01E+00,7.65E-01,1.01E+00,2.19E-02,2.61E-02,1.04E+00,1.47E-01,1.93E-01,3.52E-03,4.14E-03,1.29E-01,6.03E-03,7.49E-03
150,8.44E+01,8.45E+00,9.85E-01,1.21E+00,1.64E+00,2.02E-01,2.51E-01,4.19E-03,4.85E-03,3.39E-01,3.89E-02,4.80E-02,6.76E-04,7.74E-04,4.20E-02,1.60E-03,1.87E-03
200,3.70E+01,3.79E+00,3.86E-01,4.55E-01,7.35E-01,7.99E-02,9.52E-02,1.34E-03,1.53E-03,1.53E-01,1.54E-02,1.82E-02,2.17E-04,2.45E-04,1.89E-02,6.33E-04,7.09E-04
300,1.18E+01,1.24E+00,1.08E-01,1.21E-01,2.41E-01,2.26E-02,2.55E-02,2.90E-04,3.31E-04,5.01E-02,4.36E-03,4.89E-03,4.69E-05,5.32E-05,6.21E-03,1.79E-04,1.91E-04
400,5.43E+00,5.77E-01,4.60E-02,5.03E-02,1.12E-01,9.63E-03,1.06E-02,1.04E-04,1.21E-04,2.34E-02,1.86E-03,2.04E-03,1.68E-05,1.96E-05,2.89E-03,7.64E-05,7.94E-05
500,3.06E+00,3.27E-01,2.45E-02,2.65E-02,6.37E-02,5.14E-03,5.61E-03,4.91E-05,5.89E-05,1.32E-02,9.93E-04,1.08E-03,7.93E-06,9.56E-06,1.64E-03,4.08E-05,4.20E-05
600,1.96E+00,2.10E-01,1.50E-02,1.63E-02,4.09E-02,3.15E-03,3.44E-03,2.74E-05,3.44E-05,8.50E-03,6.09E-04,6.60E-04,4.44E-06,5.54E-06,1.05E-03,2.50E-05,2.58E-05
800,1.01E+00,1.09E-01,7.26E-03,7.96E-03,2.12E-02,1.53E-03,1.69E-03,1.16E-05,1.57E-05,4.41E-03,2.95E-04,3.24E-04,1.88E-06,2.53E-06,5.46E-04,1.21E-05,1.27E-05
1000,6.33E-01,6.80E-02,4.32E-03,4.82E-03,1.32E-02,9.12E-04,1.02E-03,6.37E-06,8.93E-06,2.75E-03,1.76E-04,1.96E-04,1.02E-06,1.46E-06,3.42E-04,7.24E-06,7.71E-06
1500,2.93E-01,3.14E-02,1.86E-03,2.14E-03,6.11E-03,3.92E-04,4.53E-04,2.54E-06,3.72E-06,1.27E-03,7.57E-05,8.70E-05,3.79E-07,6.10E-07,1.58E-04,3.13E-06,3.47E-06
