PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2
1,0.00E+00,8.21E+04,9.13E+04,1.78E+05,1.23E+04,8.69E+03,1.70E+04,1.05E+02,1.55E+02,9.49E+02
1.5,0.00E+00,3.90E+04,2.88E+04,5.60E+04,5.50E+03,2.94E+03,5.71E+03,2.27E+01,3.35E+01,4.20E+02
2,0.00E+00,2.19E+04,1.22E+04,2.36E+04,3.02E+03,1.30E+03,2.51E+03,7.26E+00,1.07E+01,2.30E+02
3,0.00E+00,9.13E+03,3.44E+03,6.61E+03,1.24E+03,3.83E+02,7.36E+02,1.36E+00,1.99E+00,9.43E+01
4,0.00E+00,4.72E+03,1.35E+03,2.58E+03,6.35E+02,1.54E+02,2.95E+02,3.99E-01,5.82E-01,4.84E+01
4.4614,0.00E+00,3.65E+03,9.42E+02,1.80E+03,4.89E+02,1.08E+02,2.07E+02,2.51E-01,3.64E-01,3.73E+01
4.4971,5.35E+04,3.58E+03,9.17E+02,1.75E+03,4.80E+02,1.05E+02,2.01E+02,2.42E-01,3.52E-01,3.66E+01
5,4.17E+04,2.77E+03,6.43E+02,1.22E+03,3.72E+02,7.44E+01,1.42E+02,1.54E-01,2.23E-01,2.83E+01
6,2.61E+04,1.77E+03,3.46E+02,6.57E+02,2.37E+02,4.05E+01,7.70E+01,6.97E-02,1.01E-01,1.80E+01
8,1.22E+04,8.54E+02,1.28E+02,2.41E+02,1.14E+02,1.52E+01,2.87E+01,1.95E-02,2.82E-02,8.70E+00
10,6.63E+03,4.76E+02,5.79E+01,1.08E+02,6.38E+01,6.97E+00,1.31E+01,7.09E-03,1.02E-02,4.86E+00
15,2.12E+03,1.59E+02,1.33E+01,2.47E+01,2.13E+01,1.63E+00,3.01E+00,1.10E-03,1.57E-03,1.62E+00
20,9.19E+02,7.07E+01,4.59E+00,8.42E+00,9.53E+00,5.65E-01,1.04E+00,2.89E-04,4.10E-04,7.25E-01
30,2.76E+02,2.19E+01,9.99E-01,1.80E+00,2.96E+00,1.24E-01,2.23E-01,4.34E-05,6.07E-05,2.25E-01
40,1.15E+02,9.33E+00,3.34E-01,5.94E-01,1.26E+00,4.17E-02,7.40E-02,1.12E-05,1.55E-05,9.62E-02
50,5.81E+01,4.77E+00,1.43E-01,2.50E-01,6.45E-01,1.79E-02,3.12E-02,3.94E-06,5.40E-06,4.92E-02
60,3.31E+01,2.73E+00,7.11E-02,1.23E-01,3.71E-01,8.92E-03,1.54E-02,1.68E-06,2.29E-06,2.82E-02
80,1.35E+01,1.13E+00,2.38E-02,4.03E-02,1.53E-01,2.99E-03,5.06E-03,4.42E-07,5.94E-07,1.17E-02
100,6.72E+00,5.66E-01,1.03E-02,1.71E-02,7.68E-02,1.29E-03,2.15E-03,1.60E-07,2.12E-07,5.85E-03
150,1.89E+00,1.61E-01,2.29E-03,3.68E-03,2.18E-02,2.89E-04,4.64E-04,2.64E-08,3.47E-08,1.66E-03
200,7.74E-01,6.62E-02,8.19E-04,1.28E-03,9.00E-03,1.03E-04,1.62E-04,7.76E-09,1.02E-08,6.86E-04
300,2.28E-01,1.96E-02,2.05E-04,3.14E-04,2.67E-03,2.59E-05,3.98E-05,1.52E-09,2.05E-09,2.03E-04
400,9.98E-02,8.60E-03,8.15E-05,1.25E-04,1.17E-03,1.03E-05,1.59E-05,5.16E-10,7.24E-10,8.93E-05
500,5.45E-02,4.71E-03,4.15E-05,6.49E-05,6.41E-04,5.25E-06,8.21E-06,2.35E-10,3.49E-10,4.89E-05
600,3.42E-02,2.96E-03,2.46E-05,3.94E-05,4.02E-04,3.11E-06,4.99E-06,1.28E-10,2.04E-10,3.07E-05
800,1.74E-02,1.50E-03,1.15E-05,1.92E-05,2.04E-04,1.45E-06,2.44E-06,5.29E-11,9.35E-11,1.57E-05
1000,1.08E-02,9.34E-04,6.68E-06,1.17E-05,1.27E-04,8.42E-07,1.48E-06,2.92E-11,5.50E-11,9.77E-06
1500,5.06E-03,4.37E-04,2.78E-06,5.30E-06,5.95E-05,3.49E-07,6.78E-07,1.30E-11,2.75E-11,4.64E-06
