PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.12E+06,3.38E+04,3.87E+04,8.59E+04,1.04E+05,1.52E+05,9.67E+03,1.24E+04,6.54E+03,6.04E+03,1.27E+04,5.99E+02
1.0063,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.22E+06,3.34E+04,3.84E+04,8.51E+04,1.03E+05,1.51E+05,9.47E+03,1.22E+04,6.48E+03,5.98E+03,1.25E+04,5.93E+02
1.0143,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.93E+05,1.26E+06,3.30E+04,3.80E+04,8.40E+04,1.02E+05,1.48E+05,9.22E+03,1.18E+04,6.39E+03,5.91E+03,1.24E+04,5.85E+02
1.2858,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.74E+05,6.89E+05,2.29E+04,2.71E+04,5.77E+04,6.22E+04,9.00E+04,4.08E+03,5.23E+03,4.31E+03,4.09E+03,8.31E+03,3.89E+02
1.2961,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.16E+05,4.65E+05,6.75E+05,2.26E+04,2.68E+04,5.70E+04,6.11E+04,8.84E+04,3.97E+03,5.08E+03,4.25E+03,4.04E+03,8.20E+03,3.83E+02
1.3917,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.98E+05,3.91E+05,5.66E+05,2.02E+04,2.40E+04,5.06E+04,5.22E+04,7.53E+04,3.09E+03,3.95E+03,3.77E+03,3.60E+03,7.24E+03,3.38E+02
1.4029,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.34E+04,1.96E+05,3.83E+05,5.54E+05,1.99E+04,2.37E+04,4.99E+04,5.13E+04,7.39E+04,3.00E+03,3.84E+03,3.71E+03,3.55E+03,7.14E+03,3.33E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.79E+04,1.80E+05,3.24E+05,4.70E+05,1.79E+04,2.14E+04,4.45E+04,4.40E+04,6.33E+04,2.36E+03,3.02E+03,3.31E+03,3.17E+03,6.34E+03,2.96E+02
1.5507,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.55E+04,1.71E+05,2.99E+05,4.32E+05,1.69E+04,2.03E+04,4.20E+04,4.07E+04,5.85E+04,2.10E+03,2.68E+03,3.13E+03,3.00E+03,5.97E+03,2.79E+02
1.5631,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.16E+04,7.48E+04,1.69E+05,2.93E+05,4.24E+05,1.67E+04,2.00E+04,4.14E+04,4.00E+04,5.74E+04,2.04E+03,2.60E+03,3.08E+03,2.96E+03,5.88E+03,2.75E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.74E+04,5.36E+04,1.15E+05,1.52E+05,2.17E+05,1.10E+04,1.32E+04,2.64E+04,2.19E+04,3.11E+04,8.20E+02,1.04E+03,2.00E+03,1.92E+03,3.71E+03,1.76E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.02E+04,2.79E+04,5.48E+04,4.65E+04,6.55E+04,5.39E+03,6.21E+03,1.19E+04,7.38E+03,1.04E+04,1.71E+02,2.16E+02,9.57E+02,8.89E+02,1.65E+03,8.59E+01
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.24E+04,1.60E+04,3.02E+04,1.90E+04,2.65E+04,3.17E+03,3.47E+03,6.41E+03,3.20E+03,4.45E+03,5.27E+01,6.59E+01,5.58E+02,4.93E+02,8.88E+02,5.01E+01
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.35E+03,1.00E+04,1.84E+04,9.21E+03,1.27E+04,2.08E+03,2.15E+03,3.88E+03,1.61E+03,2.23E+03,2.06E+01,2.57E+01,3.64E+02,3.05E+02,5.36E+02,3.27E+01
6,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.96E+03,6.71E+03,1.20E+04,5.00E+03,6.87E+03,1.46E+03,1.43E+03,2.53E+03,9.03E+02,1.24E+03,9.39E+00,1.17E+01,2.55E+02,2.02E+02,3.49E+02,2.29E+01
6.1943,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.61E+03,6.24E+03,1.11E+04,4.49E+03,6.16E+03,1.38E+03,1.33E+03,2.34E+03,8.14E+02,1.11E+03,8.17E+00,1.01E+01,2.39E+02,1.88E+02,3.24E+02,2.15E+01
6.2439,0.00E+00,0.00E+00,0.00E+00,7.39E+04,5.53E+03,6.13E+03,1.09E+04,4.37E+03,5.99E+03,1.35E+03,1.30E+03,2.30E+03,7.93E+02,1.08E+03,7.89E+00,9.80E+00,2.36E+02,1.84E+02,3.18E+02,2.12E+01
6.721,0.00E+00,0.00E+00,0.00E+00,6.16E+04,4.81E+03,5.17E+03,9.12E+03,3.39E+03,4.64E+03,1.17E+03,1.10E+03,1.92E+03,6.23E+02,8.49E+02,5.70E+00,7.07E+00,2.04E+02,1.55E+02,2.66E+02,1.83E+01
6.7748,0.00E+00,0.00E+00,3.42E+04,6.03E+04,4.74E+03,5.07E+03,8.94E+03,3.30E+03,4.51E+03,1.15E+03,1.08E+03,1.88E+03,6.06E+02,8.27E+02,5.51E+00,6.83E+00,2.00E+02,1.53E+02,2.60E+02,1.80E+01
7.0872,0.00E+00,0.00E+00,3.10E+04,5.36E+04,4.34E+03,4.56E+03,8.00E+03,2.82E+03,3.85E+03,1.05E+03,9.71E+02,1.69E+03,5.22E+02,7.10E+02,4.51E+00,5.58E+00,1.83E+02,1.37E+02,2.33E+02,1.64E+01
7.1439,0.00E+00,1.73E+04,3.03E+04,5.25E+04,4.28E+03,4.48E+03,7.84E+03,2.75E+03,3.75E+03,1.04E+03,9.53E+02,1.65E+03,5.08E+02,6.91E+02,4.35E+00,5.39E+00,1.80E+02,1.35E+02,2.29E+02,1.62E+01
8,0.00E+00,1.43E+04,2.28E+04,3.89E+04,3.43E+03,3.41E+03,5.90E+03,1.85E+03,2.51E+03,8.28E+02,7.27E+02,1.25E+03,3.47E+02,4.70E+02,2.62E+00,3.24E+00,1.43E+02,1.03E+02,1.72E+02,1.29E+01
10,0.00E+00,9.63E+03,1.24E+04,2.05E+04,2.20E+03,1.96E+03,3.31E+03,8.32E+02,1.12E+03,5.25E+02,4.19E+02,7.00E+02,1.60E+02,2.15E+02,9.52E-01,1.17E+00,9.08E+01,5.91E+01,9.69E+01,8.16E+00
15,0.00E+00,4.40E+03,3.95E+03,6.19E+03,9.45E+02,6.78E+02,1.09E+03,1.85E+02,2.45E+02,2.23E+02,1.45E+02,2.32E+02,3.71E+01,4.88E+01,1.46E-01,1.77E-01,3.84E+01,2.08E+01,3.22E+01,3.45E+00
20,0.00E+00,2.41E+03,1.69E+03,2.56E+03,5.05E+02,3.05E+02,4.73E+02,6.15E+01,7.99E+01,1.18E+02,6.59E+01,1.02E+02,1.26E+01,1.63E+01,3.70E-02,4.46E-02,2.04E+01,9.42E+00,1.41E+01,1.83E+00
30,0.00E+00,9.74E+02,4.90E+02,7.05E+02,2.00E+02,9.41E+01,1.38E+02,1.24E+01,1.57E+01,4.68E+01,2.05E+01,3.01E+01,2.61E+00,3.29E+00,5.11E-03,6.08E-03,8.09E+00,2.94E+00,4.17E+00,7.23E-01
40,0.00E+00,4.95E+02,1.99E+02,2.75E+02,1.01E+02,3.96E+01,5.59E+01,3.92E+00,4.85E+00,2.36E+01,8.67E+00,1.22E+01,8.31E-01,1.03E+00,1.24E-03,1.46E-03,4.07E+00,1.24E+00,1.70E+00,3.64E-01
43.559,0.00E+00,4.02E+02,1.52E+02,2.08E+02,8.21E+01,3.05E+01,4.26E+01,2.77E+00,3.41E+00,1.91E+01,6.69E+00,9.31E+00,5.90E-01,7.24E-01,8.16E-04,9.56E-04,3.31E+00,9.60E-01,1.30E+00,2.96E-01
43.908,4.46E+03,3.95E+02,1.48E+02,2.02E+02,8.05E+01,2.97E+01,4.15E+01,2.68E+00,3.30E+00,1.88E+01,6.53E+00,9.08E+00,5.72E-01,7.00E-01,7.84E-04,9.19E-04,3.24E+00,9.37E-01,1.26E+00,2.90E-01
50,3.17E+03,2.87E+02,9.80E+01,1.31E+02,5.85E+01,1.99E+01,2.73E+01,1.58E+00,1.93E+00,1.36E+01,4.38E+00,5.98E+00,3.39E-01,4.11E-01,4.13E-04,4.81E-04,2.36E+00,6.29E-01,8.32E-01,2.10E-01
60,1.98E+03,1.82E+02,5.46E+01,7.11E+01,3.70E+01,1.13E+01,1.50E+01,7.53E-01,9.02E-01,8.63E+00,2.49E+00,3.30E+00,1.62E-01,1.92E-01,1.68E-04,1.94E-04,1.49E+00,3.57E-01,4.60E-01,1.33E-01
80,9.15E+02,8.68E+01,2.16E+01,2.68E+01,1.77E+01,4.56E+00,5.79E+00,2.33E-01,2.72E-01,4.13E+00,1.01E+00,1.28E+00,5.06E-02,5.86E-02,4.09E-05,4.64E-05,7.13E-01,1.45E-01,1.78E-01,6.37E-02
100,4.96E+02,4.83E+01,1.05E+01,1.26E+01,9.87E+00,2.25E+00,2.74E+00,9.43E-02,1.08E-01,2.30E+00,4.99E-01,6.08E-01,2.06E-02,2.34E-02,1.38E-05,1.55E-05,3.98E-01,7.17E-02,8.47E-02,3.55E-02
150,1.60E+02,1.63E+01,2.85E+00,3.17E+00,3.34E+00,6.21E-01,7.07E-01,1.87E-02,2.08E-02,7.79E-01,1.39E-01,1.57E-01,4.11E-03,4.51E-03,2.02E-06,2.23E-06,1.35E-01,1.99E-02,2.19E-02,1.20E-02
200,7.15E+01,7.48E+00,1.15E+00,1.22E+00,1.54E+00,2.53E-01,2.74E-01,6.13E-03,6.70E-03,3.59E-01,5.66E-02,6.09E-02,1.35E-03,1.46E-03,5.47E-07,6.00E-07,6.20E-02,8.14E-03,8.52E-03,5.54E-03
300,2.34E+01,2.52E+00,3.32E-01,3.31E-01,5.20E-01,7.40E-02,7.53E-02,1.35E-03,1.48E-03,1.21E-01,1.66E-02,1.68E-02,3.00E-04,3.23E-04,9.46E-08,1.05E-07,2.10E-02,2.39E-03,2.35E-03,1.88E-03
400,1.09E+01,1.19E+00,1.44E-01,1.39E-01,2.47E-01,3.22E-02,3.17E-02,4.95E-04,5.45E-04,5.76E-02,7.24E-03,7.08E-03,1.09E-04,1.21E-04,2.97E-08,3.41E-08,9.95E-03,1.04E-03,9.90E-04,8.91E-04
500,6.20E+00,6.84E-01,7.74E-02,7.36E-02,1.41E-01,1.74E-02,1.68E-02,2.35E-04,2.68E-04,3.30E-02,3.92E-03,3.77E-03,5.21E-05,5.92E-05,1.27E-08,1.52E-08,5.71E-03,5.63E-04,5.27E-04,5.11E-04
600,3.99E+00,4.42E-01,4.78E-02,4.52E-02,9.14E-02,1.08E-02,1.03E-02,1.32E-04,1.56E-04,2.14E-02,2.43E-03,2.31E-03,2.93E-05,3.42E-05,6.56E-09,8.23E-09,3.69E-03,3.49E-04,3.24E-04,3.31E-04
