PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2
8,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.52E+03,9.15E+03,1.68E+04,1.19E+04,1.56E+04,1.88E+03,2.28E+03,4.00E+03,2.36E+03,3.08E+03,3.36E+02,4.10E+02,4.20E+02,4.44E+02,7.48E+02,2.91E+02,3.71E+02,5.40E+01,1.21E+01,1.62E+01
10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.42E+03,5.89E+03,1.02E+04,5.77E+03,7.45E+03,1.24E+03,1.44E+03,2.41E+03,1.20E+03,1.55E+03,1.34E+02,1.62E+02,2.74E+02,2.79E+02,4.49E+02,1.49E+02,1.88E+02,3.53E+01,7.60E+00,9.74E+00
13.026,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.73E+03,3.35E+03,5.42E+03,2.39E+03,3.02E+03,7.44E+02,8.11E+02,1.28E+03,5.22E+02,6.58E+02,4.37E+01,5.24E+01,1.64E+02,1.57E+02,2.39E+02,6.53E+01,7.99E+01,2.10E+01,4.27E+00,5.18E+00
13.13,0.00E+00,0.00E+00,0.00E+00,3.20E+04,2.69E+03,3.29E+03,5.31E+03,2.32E+03,2.94E+03,7.33E+02,7.97E+02,1.25E+03,5.09E+02,6.41E+02,4.22E+01,5.06E+01,1.61E+02,1.54E+02,2.34E+02,6.37E+01,7.79E+01,2.07E+01,4.19E+00,5.08E+00
15,0.00E+00,0.00E+00,0.00E+00,2.22E+04,2.09E+03,2.44E+03,3.81E+03,1.47E+03,1.85E+03,5.63E+02,5.90E+02,9.02E+02,3.30E+02,4.11E+02,2.37E+01,2.83E+01,1.23E+02,1.14E+02,1.68E+02,4.14E+01,5.01E+01,1.59E+01,3.10E+00,3.65E+00
15.236,0.00E+00,0.00E+00,0.00E+00,2.13E+04,2.02E+03,2.36E+03,3.67E+03,1.39E+03,1.75E+03,5.46E+02,5.69E+02,8.67E+02,3.13E+02,3.90E+02,2.21E+01,2.64E+01,1.20E+02,1.10E+02,1.62E+02,3.94E+01,4.75E+01,1.54E+01,2.99E+00,3.51E+00
15.358,0.00E+00,0.00E+00,1.39E+04,2.09E+04,1.99E+03,2.32E+03,3.59E+03,1.36E+03,1.70E+03,5.37E+02,5.58E+02,8.50E+02,3.05E+02,3.79E+02,2.14E+01,2.55E+01,1.18E+02,1.08E+02,1.59E+02,3.83E+01,4.63E+01,1.51E+01,2.94E+00,3.44E+00
15.841,0.00E+00,0.00E+00,1.31E+04,1.92E+04,1.88E+03,2.16E+03,3.32E+03,1.22E+03,1.52E+03,5.05E+02,5.20E+02,7.86E+02,2.75E+02,3.42E+02,1.87E+01,2.22E+01,1.11E+02,1.00E+02,1.47E+02,3.46E+01,4.17E+01,1.42E+01,2.73E+00,3.18E+00
15.968,0.00E+00,6.96E+03,1.28E+04,1.88E+04,1.85E+03,2.12E+03,3.26E+03,1.18E+03,1.48E+03,4.97E+02,5.10E+02,7.70E+02,2.68E+02,3.32E+02,1.80E+01,2.15E+01,1.09E+02,9.86E+01,1.44E+02,3.37E+01,4.06E+01,1.40E+01,2.68E+00,3.12E+00
20,0.00E+00,4.72E+03,7.18E+03,9.96E+03,1.18E+03,1.24E+03,1.81E+03,5.36E+02,6.57E+02,3.14E+02,3.00E+02,4.31E+02,1.25E+02,1.52E+02,6.65E+00,7.84E+00,6.86E+01,5.78E+01,8.04E+01,1.58E+01,1.87E+01,8.82E+00,1.58E+00,1.75E+00
30,0.00E+00,2.16E+03,2.39E+03,3.01E+03,5.11E+02,4.50E+02,5.97E+02,1.23E+02,1.46E+02,1.34E+02,1.09E+02,1.43E+02,3.01E+01,3.54E+01,1.06E+00,1.23E+00,2.90E+01,2.11E+01,2.68E+01,3.84E+00,4.37E+00,3.73E+00,5.74E-01,5.82E-01
40,0.00E+00,1.19E+03,1.06E+03,1.25E+03,2.74E+02,2.11E+02,2.62E+02,4.23E+01,4.86E+01,7.10E+01,5.14E+01,6.32E+01,1.06E+01,1.21E+01,2.83E-01,3.22E-01,1.54E+01,9.94E+00,1.19E+01,1.36E+00,1.50E+00,1.98E+00,2.71E-01,2.57E-01
50,0.00E+00,7.33E+02,5.60E+02,6.24E+02,1.66E+02,1.15E+02,1.35E+02,1.82E+01,2.05E+01,4.29E+01,2.82E+01,3.29E+01,4.64E+00,5.18E+00,1.01E-01,1.13E-01,9.30E+00,5.45E+00,6.16E+00,5.96E-01,6.44E-01,1.19E+00,1.49E-01,1.34E-01
60,0.00E+00,4.86E+02,3.29E+02,3.51E+02,1.09E+02,6.93E+01,7.80E+01,9.11E+00,1.00E+01,2.82E+01,1.71E+01,1.91E+01,2.35E+00,2.57E+00,4.31E-02,4.80E-02,6.10E+00,3.32E+00,3.58E+00,3.02E-01,3.20E-01,7.84E-01,9.00E-02,7.78E-02
80,0.00E+00,2.49E+02,1.41E+02,1.40E+02,5.54E+01,3.08E+01,3.22E+01,3.03E+00,3.23E+00,1.43E+01,7.61E+00,7.93E+00,7.94E-01,8.41E-01,1.13E-02,1.22E-02,3.10E+00,1.49E+00,1.49E+00,1.02E-01,1.05E-01,3.97E-01,4.02E-02,3.24E-02
88.263,0.00E+00,1.97E+02,1.05E+02,1.02E+02,4.38E+01,2.32E+01,2.37E+01,2.08E+00,2.19E+00,1.13E+01,5.76E+00,5.85E+00,5.48E-01,5.73E-01,7.18E-03,7.71E-03,2.45E+00,1.12E+00,1.10E+00,7.07E-02,7.18E-02,3.13E-01,3.04E-02,2.39E-02
88.97,1.93E+03,1.93E+02,1.03E+02,9.95E+01,4.29E+01,2.27E+01,2.32E+01,2.02E+00,2.13E+00,1.10E+01,5.63E+00,5.71E+00,5.31E-01,5.56E-01,6.92E-03,7.43E-03,2.40E+00,1.10E+00,1.07E+00,6.86E-02,6.96E-02,3.07E-01,2.98E-02,2.33E-02
100,1.43E+03,1.45E+02,7.26E+01,6.83E+01,3.23E+01,1.62E+01,1.61E+01,1.29E+00,1.34E+00,8.32E+00,4.03E+00,3.97E+00,3.42E-01,3.53E-01,4.04E-03,4.31E-03,1.81E+00,7.88E-01,7.47E-01,4.42E-02,4.42E-02,2.31E-01,2.13E-02,1.62E-02
150,5.02E+02,5.34E+01,2.17E+01,1.85E+01,1.19E+01,5.03E+00,4.49E+00,2.78E-01,2.77E-01,3.05E+00,1.26E+00,1.12E+00,7.45E-02,7.38E-02,6.46E-04,6.71E-04,6.63E-01,2.46E-01,2.10E-01,9.67E-03,9.27E-03,8.49E-02,6.67E-03,4.58E-03
200,2.35E+02,2.59E+01,9.33E+00,7.38E+00,5.77E+00,2.20E+00,1.83E+00,9.56E-02,9.29E-02,1.48E+00,5.52E-01,4.56E-01,2.58E-02,2.48E-02,1.82E-04,1.87E-04,3.22E-01,1.08E-01,8.59E-02,3.35E-03,3.14E-03,4.13E-02,2.93E-03,1.87E-03
300,8.19E+01,9.40E+00,2.92E+00,2.10E+00,2.10E+00,7.02E-01,5.30E-01,2.25E-02,2.15E-02,5.40E-01,1.77E-01,1.33E-01,6.11E-03,5.79E-03,3.35E-05,3.44E-05,1.17E-01,3.47E-02,2.51E-02,7.95E-04,7.32E-04,1.50E-02,9.40E-04,5.46E-04
400,3.98E+01,4.66E+00,1.33E+00,9.03E-01,1.04E+00,3.22E-01,2.29E-01,8.46E-03,8.13E-03,2.68E-01,8.14E-02,5.75E-02,2.31E-03,2.20E-03,1.08E-05,1.13E-05,5.81E-02,1.59E-02,1.09E-02,3.01E-04,2.78E-04,7.44E-03,4.32E-04,2.37E-04
500,2.32E+01,2.75E+00,7.38E-01,4.84E-01,6.14E-01,1.80E-01,1.24E-01,4.11E-03,4.01E-03,1.58E-01,4.56E-02,3.10E-02,1.13E-03,1.09E-03,4.71E-06,5.00E-06,3.43E-02,8.94E-03,5.86E-03,1.47E-04,1.38E-04,4.40E-03,2.42E-04,1.28E-04
600,1.52E+01,1.81E+00,4.66E-01,2.98E-01,4.05E-01,1.14E-01,7.63E-02,2.35E-03,2.34E-03,1.04E-01,2.89E-02,1.92E-02,6.43E-04,6.32E-04,2.44E-06,2.72E-06,2.27E-02,5.67E-03,3.62E-03,8.37E-05,8.03E-05,2.90E-03,1.54E-04,7.92E-05
800,8.12E+00,9.69E-01,2.36E-01,1.46E-01,2.16E-01,5.79E-02,3.74E-02,1.03E-03,1.06E-03,5.57E-02,1.47E-02,9.40E-03,2.83E-04,2.90E-04,9.80E-07,1.14E-06,1.21E-02,2.88E-03,1.78E-03,3.68E-05,3.67E-05,1.55E-03,7.82E-05,3.90E-05
1000,5.13E+00,6.12E-01,1.44E-01,8.71E-02,1.37E-01,3.55E-02,2.23E-02,5.68E-04,6.11E-04,3.52E-02,9.00E-03,5.63E-03,1.57E-04,1.65E-04,4.87E-07,6.16E-07,7.64E-03,1.76E-03,1.06E-03,2.04E-05,2.11E-05,9.80E-04,4.80E-05,2.35E-05
1500,2.36E+00,2.81E-01,6.40E-02,3.75E-02,6.27E-02,1.58E-02,9.64E-03,2.21E-04,2.46E-04,1.62E-02,4.02E-03,2.42E-03,6.05E-05,6.78E-05,1.81E-07,2.37E-07,3.51E-03,7.87E-04,4.59E-04,7.83E-06,8.67E-06,4.51E-04,2.16E-05,1.03E-05
