PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.06E+04,3.65E+04,1.40E+05,1.99E+05,3.05E+05,4.11E+05,5.28E+05,1.33E+04,1.15E+04,3.29E+04,2.77E+04,4.03E+04,1.92E+03,3.41E+02,7.30E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.64E+04,2.87E+04,8.53E+04,1.19E+05,1.75E+05,1.33E+05,1.69E+05,7.30E+03,7.09E+03,1.79E+04,1.50E+04,2.12E+04,1.01E+03,1.99E+02,3.88E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.82E+04,2.14E+04,5.60E+04,7.26E+04,1.04E+05,5.45E+04,6.89E+04,4.66E+03,4.82E+03,1.12E+04,8.85E+03,1.23E+04,6.27E+02,1.31E+02,2.41E+02
2.4861,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.34E+04,1.64E+04,3.94E+04,4.70E+04,6.62E+04,2.66E+04,3.35E+04,3.28E+03,3.51E+03,7.71E+03,5.69E+03,7.80E+03,4.35E+02,9.40E+01,1.68E+02
2.506,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.66E+05,1.32E+04,1.62E+04,3.89E+04,4.62E+04,6.51E+04,2.59E+04,3.26E+04,3.24E+03,3.47E+03,7.60E+03,5.59E+03,7.67E+03,4.29E+02,9.28E+01,1.66E+02
2.592,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.18E+05,1.26E+04,1.55E+04,3.68E+04,4.30E+04,6.05E+04,2.31E+04,2.90E+04,3.07E+03,3.30E+03,7.16E+03,5.20E+03,7.12E+03,4.05E+02,8.80E+01,1.56E+02
2.6128,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.82E+05,4.11E+05,1.24E+04,1.53E+04,3.63E+04,4.23E+04,5.94E+04,2.25E+04,2.82E+04,3.03E+03,3.26E+03,7.06E+03,5.11E+03,6.99E+03,4.00E+02,8.69E+01,1.54E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.07E+05,2.89E+05,1.01E+04,1.26E+04,2.86E+04,3.12E+04,4.34E+04,1.40E+04,1.75E+04,2.41E+03,2.63E+03,5.51E+03,3.77E+03,5.11E+03,3.15E+02,6.94E+01,1.20E+02
3.0514,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.98E+05,2.75E+05,9.79E+03,1.23E+04,2.77E+04,3.00E+04,4.17E+04,1.32E+04,1.64E+04,2.34E+03,2.56E+03,5.34E+03,3.62E+03,4.91E+03,3.06E+02,6.99E+01,1.16E+02
3.0758,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.93E+04,1.94E+05,2.69E+05,9.67E+03,1.22E+04,2.73E+04,2.95E+04,4.09E+04,1.28E+04,1.60E+04,2.31E+03,2.52E+03,5.26E+03,3.56E+03,4.82E+03,3.02E+02,6.90E+01,1.15E+02
3.5464,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.19E+04,1.31E+05,1.81E+05,7.72E+03,9.80E+03,2.11E+04,2.11E+04,2.90E+04,7.70E+03,9.60E+03,1.81E+03,2.00E+03,4.03E+03,2.55E+03,3.43E+03,2.36E+02,5.46E+01,8.77E+01
3.5748,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.05E+04,8.08E+04,1.28E+05,1.77E+05,7.62E+03,9.68E+03,2.08E+04,2.07E+04,2.85E+04,7.48E+03,9.32E+03,1.79E+03,1.97E+03,3.97E+03,2.50E+03,3.36E+03,2.32E+02,5.39E+01,8.64E+01
3.8233,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.92E+04,7.18E+04,1.06E+05,1.47E+05,6.83E+03,8.70E+03,1.83E+04,1.76E+04,2.41E+04,5.86E+03,7.29E+03,1.59E+03,1.76E+03,3.49E+03,2.13E+03,2.84E+03,2.06E+02,4.81E+01,7.59E+01
3.8539,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.96E+04,2.89E+04,7.08E+04,1.04E+05,1.44E+05,6.74E+03,8.59E+03,1.81E+04,1.72E+04,2.36E+04,5.69E+03,7.08E+03,1.57E+03,1.74E+03,3.44E+03,2.09E+03,2.79E+03,2.03E+02,4.74E+01,7.48E+01
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.84E+04,2.79E+04,6.61E+04,9.44E+04,1.30E+05,6.34E+03,8.08E+03,1.68E+04,1.57E+04,2.15E+04,4.97E+03,6.17E+03,1.47E+03,1.63E+03,3.20E+03,1.90E+03,2.54E+03,1.90E+02,4.45E+01,6.95E+01
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.36E+04,2.02E+04,4.42E+04,4.99E+04,6.75E+04,4.36E+03,5.53E+03,1.09E+04,8.84E+03,1.19E+04,2.15E+03,2.65E+03,9.94E+02,1.10E+03,2.05E+03,1.08E+03,1.42E+03,1.27E+02,2.99E+01,4.45E+01
6,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.04E+04,1.53E+04,3.08E+04,2.90E+04,3.87E+04,3.17E+03,3.97E+03,7.47E+03,5.39E+03,7.17E+03,1.06E+03,1.30E+03,7.15E+02,7.82E+02,1.40E+03,6.59E+02,8.57E+02,9.10E+01,2.13E+01,3.04E+01
