PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2
1,2.11E+04,9.30E+02,4.36E+00,8.68E+00
1.5,6.45E+03,2.92E+02,9.02E-01,1.79E+00
2,2.73E+03,1.25E+02,2.88E-01,5.73E-01
3,7.92E+02,3.69E+01,5.78E-02,1.15E-01
4,3.23E+02,1.52E+01,1.81E-02,3.58E-02
5,1.60E+02,7.58E+00,7.28E-03,1.44E-02
6,8.95E+01,4.26E+00,3.43E-03,6.77E-03
8,3.55E+01,1.70E+00,1.04E-03,2.04E-03
10,1.72E+01,8.26E-01,4.07E-04,7.99E-04
15,4.55E+00,2.20E-01,7.37E-05,1.44E-04
20,1.76E+00,8.51E-02,2.18E-05,4.24E-05
30,4.55E-01,2.21E-02,3.93E-06,7.57E-06
40,1.74E-01,8.45E-03,1.17E-06,2.24E-06
50,8.21E-02,4.00E-03,4.61E-07,8.72E-07
60,4.45E-02,2.17E-03,2.17E-07,4.05E-07
80,1.69E-02,8.27E-04,6.63E-08,1.23E-07
100,8.04E-03,3.92E-04,2.69E-08,4.93E-08
150,2.09E-03,1.02E-04,5.44E-09,9.75E-09
200,8.21E-04,4.00E-05,1.82E-09,3.25E-09
300,2.29E-04,1.12E-05,4.25E-10,7.59E-10
400,9.76E-05,4.75E-06,1.61E-10,2.99E-10
500,5.24E-05,2.55E-06,7.95E-11,1.53E-10
600,3.26E-05,1.59E-06,4.61E-11,9.35E-11
800,1.64E-05,8.01E-07,2.11E-11,4.65E-11
1000,1.02E-05,4.99E-07,1.22E-11,2.97E-11
1500,4.82E-06,2.37E-07,6.06E-12,1.69E-11
