PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.11E+04,3.58E+04,6.97E+04,2.28E+04,3.34E+04,2.48E+03,2.01E+02,3.85E+02
1.1209,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.56E+04,2.82E+04,5.47E+04,1.57E+04,2.29E+04,2.02E+03,1.58E+02,3.01E+02
1.1299,0.00E+00,0.00E+00,0.00E+00,4.26E+05,2.52E+04,2.77E+04,5.37E+04,1.53E+04,2.23E+04,1.99E+03,1.55E+02,2.96E+02
1.1493,0.00E+00,0.00E+00,0.00E+00,5.34E+05,2.45E+04,2.67E+04,5.18E+04,1.44E+04,2.11E+04,1.93E+03,1.50E+02,2.85E+02
1.1585,0.00E+00,0.00E+00,2.07E+05,5.31E+05,2.41E+04,2.63E+04,5.09E+04,1.41E+04,2.05E+04,1.91E+03,1.47E+02,2.80E+02
1.2895,0.00E+00,0.00E+00,2.18E+05,4.23E+05,2.00E+04,2.07E+04,4.01E+04,9.82E+03,1.43E+04,1.57E+03,1.16E+02,2.20E+02
1.2998,0.00E+00,9.80E+04,2.14E+05,4.14E+05,1.97E+04,2.04E+04,3.93E+04,9.56E+03,1.39E+04,1.54E+03,1.14E+02,2.16E+02
1.5,0.00E+00,8.16E+04,1.48E+05,2.85E+05,1.52E+04,1.47E+04,2.82E+04,5.84E+03,8.51E+03,1.18E+03,8.18E+01,1.55E+02
2,0.00E+00,5.12E+04,6.99E+04,1.33E+05,8.83E+03,7.31E+03,1.39E+04,2.11E+03,3.06E+03,6.80E+02,4.08E+01,7.68E+01
3,0.00E+00,2.46E+04,2.24E+04,4.23E+04,3.93E+03,2.54E+03,4.77E+03,4.70E+02,6.79E+02,3.00E+02,1.44E+01,2.63E+01
4,0.00E+00,1.39E+04,9.59E+03,1.79E+04,2.15E+03,1.14E+03,2.13E+03,1.55E+02,2.23E+02,1.64E+02,6.48E+00,1.18E+01
5,0.00E+00,8.73E+03,4.85E+03,9.00E+03,1.33E+03,5.97E+02,1.11E+03,6.38E+01,9.16E+01,1.01E+02,3.40E+00,6.13E+00
6,0.00E+00,5.87E+03,2.74E+03,5.06E+03,8.85E+02,3.46E+02,6.37E+02,3.05E+01,4.36E+01,6.74E+01,1.98E+00,3.54E+00
8,0.00E+00,3.05E+03,1.09E+03,1.99E+03,4.56E+02,1.43E+02,2.60E+02,9.21E+00,1.31E+01,3.47E+01,8.16E-01,1.45E+00
10,0.00E+00,1.80E+03,5.24E+02,9.49E+02,2.68E+02,7.00E+01,1.26E+02,3.57E+00,5.05E+00,2.04E+01,4.02E-01,7.06E-01
10.321,0.00E+00,1.67E+03,4.72E+02,8.53E+02,2.49E+02,6.32E+01,1.14E+02,3.12E+00,4.41E+00,1.89E+01,3.63E-01,6.36E-01
10.404,2.19E+04,1.64E+03,4.60E+02,8.31E+02,2.44E+02,6.16E+01,1.11E+02,3.01E+00,4.26E+00,1.86E+01,3.53E-01,6.20E-01
15,8.57E+03,6.61E+02,1.34E+02,2.37E+02,9.82E+01,1.84E+01,3.26E+01,6.18E-01,8.61E-01,7.47E+00,1.06E-01,1.83E-01
20,3.94E+03,3.14E+02,4.93E+01,8.64E+01,4.67E+01,6.91E+00,1.21E+01,1.75E-01,2.41E-01,3.55E+00,3.98E-02,6.78E-02
