PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.95E+04,4.26E+04,1.10E+05,1.51E+05,2.23E+05,1.18E+05,1.50E+05,7.82E+03,6.66E+03,1.50E+04,6.17E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.29E+04,2.70E+04,6.19E+04,7.51E+04,1.08E+05,3.27E+04,4.12E+04,4.14E+03,3.82E+03,7.95E+03,3.16E+02
1.5268,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.23E+04,2.64E+04,6.02E+04,7.26E+04,1.04E+05,3.08E+04,3.88E+04,4.03E+03,3.72E+03,7.72E+03,3.06E+02
1.5391,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.18E+05,2.20E+04,2.61E+04,5.95E+04,7.14E+04,1.03E+05,3.00E+04,3.78E+04,3.98E+03,3.67E+03,7.62E+03,3.02E+02
1.5765,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.73E+05,2.13E+04,2.53E+04,5.72E+04,6.81E+04,9.77E+04,2.77E+04,3.48E+04,3.82E+03,3.54E+03,7.32E+03,2.90E+02
1.5891,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.94E+05,7.76E+05,2.10E+04,2.50E+04,5.65E+04,6.70E+04,9.61E+04,2.69E+04,3.39E+04,3.77E+03,3.50E+03,7.23E+03,2.86E+02
1.9332,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.29E+05,4.70E+05,1.56E+04,1.89E+04,4.10E+04,4.43E+04,6.29E+04,1.37E+04,1.72E+04,2.73E+03,2.59E+03,5.16E+03,2.04E+02
1.9487,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.61E+05,3.22E+05,4.60E+05,1.54E+04,1.87E+04,4.04E+04,4.35E+04,6.17E+04,1.34E+04,1.68E+04,2.70E+03,2.55E+03,5.09E+03,2.02E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.49E+05,3.01E+05,4.30E+05,1.48E+04,1.80E+04,3.87E+04,4.11E+04,5.82E+04,1.22E+04,1.53E+04,2.58E+03,2.45E+03,4.86E+03,1.93E+02
2.1591,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.36E+05,2.47E+05,3.51E+05,1.31E+04,1.60E+04,3.39E+04,3.45E+04,4.87E+04,9.29E+03,1.16E+04,2.27E+03,2.16E+03,4.23E+03,1.68E+02
2.1764,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.60E+04,1.34E+05,2.42E+05,3.44E+05,1.29E+04,1.58E+04,3.34E+04,3.39E+04,4.78E+04,9.03E+03,1.13E+04,2.24E+03,2.13E+03,4.17E+03,1.66E+02
2.3667,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.01E+04,1.17E+05,1.95E+05,2.77E+05,1.13E+04,1.39E+04,2.88E+04,2.78E+04,3.91E+04,6.68E+03,8.35E+03,1.94E+03,1.85E+03,3.58E+03,1.43E+02
2.3857,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.37E+04,4.96E+04,1.16E+05,1.91E+05,2.71E+05,1.11E+04,1.37E+04,2.83E+04,2.73E+04,3.84E+04,6.49E+03,8.11E+03,1.91E+03,1.83E+03,3.53E+03,1.43E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.48E+04,3.62E+04,7.91E+04,1.02E+05,1.43E+05,7.59E+03,9.30E+03,1.85E+04,1.55E+04,2.15E+04,2.78E+03,3.46E+03,1.28E+03,1.22E+03,2.28E+03,9.61E+01
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.62E+04,2.32E+04,4.64E+04,4.41E+04,6.09E+04,4.59E+03,5.50E+03,1.04E+04,7.18E+03,9.85E+03,9.16E+02,1.13E+03,7.63E+02,7.15E+02,1.27E+03,5.72E+01
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.13E+04,1.55E+04,2.94E+04,2.22E+04,3.04E+04,3.06E+03,3.55E+03,6.49E+03,3.81E+03,5.17E+03,3.76E+02,4.57E+02,5.05E+02,4.59E+02,7.92E+02,3.78E+01
6,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.24E+03,1.08E+04,1.99E+04,1.25E+04,1.69E+04,2.18E+03,2.44E+03,4.34E+03,2.22E+03,2.99E+03,1.77E+02,2.16E+02,3.57E+02,3.15E+02,5.29E+02,2.68E+01
8,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.91E+03,5.89E+03,1.03E+04,4.84E+03,6.46E+03,1.26E+03,1.31E+03,2.23E+03,9.09E+02,1.20E+03,5.27E+01,6.38E+01,2.05E+02,1.68E+02,2.71E+02,1.54E+01
8.9246,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+03,4.61E+03,7.88E+03,3.34E+03,4.44E+03,1.02E+03,1.03E+03,1.71E+03,6.39E+02,8.43E+02,3.29E+01,3.97E+01,1.65E+02,1.31E+02,2.09E+02,1.24E+01
8.996,0.00E+00,0.00E+00,0.00E+00,4.91E+04,3.94E+03,4.53E+03,7.73E+03,3.25E+03,4.32E+03,1.00E+03,1.01E+03,1.68E+03,6.23E+02,8.21E+02,3.18E+01,3.83E+01,1.62E+02,1.29E+02,2.05E+02,1.22E+01
9.9831,0.00E+00,0.00E+00,0.00E+00,3.74E+04,3.23E+03,3.57E+03,5.99E+03,2.27E+03,3.00E+03,8.14E+02,7.93E+02,1.30E+03,4.43E+02,5.80E+02,2.02E+01,2.42E+01,1.32E+02,1.01E+02,1.59E+02,9.90E+00
10,0.00E+00,0.00E+00,2.38E+04,3.73E+04,3.22E+03,3.55E+03,5.96E+03,2.26E+03,2.98E+03,8.12E+02,7.90E+02,1.30E+03,4.40E+02,5.77E+02,2.00E+01,2.41E+01,1.31E+02,1.01E+02,1.58E+02,9.86E+00
10.063,0.00E+00,0.00E+00,2.21E+04,3.67E+04,3.18E+03,3.50E+03,5.87E+03,2.21E+03,2.92E+03,8.01E+02,7.78E+02,1.28E+03,4.31E+02,5.65E+02,1.95E+01,2.34E+01,1.30E+02,9.95E+01,1.55E+02,9.74E+00
10.446,0.00E+00,0.00E+00,2.04E+04,3.33E+04,2.96E+03,3.21E+03,5.34E+03,1.94E+03,2.56E+03,7.44E+02,7.13E+02,1.16E+03,3.81E+02,4.98E+02,1.65E+01,1.98E+01,1.20E+02,9.12E+01,1.42E+02,9.04E+00
10.53,0.00E+00,1.13E+04,2.00E+04,3.26E+04,2.91E+03,3.15E+03,5.24E+03,1.89E+03,2.49E+03,7.32E+02,7.00E+02,1.14E+03,3.71E+02,4.84E+02,1.59E+01,1.91E+01,1.18E+02,8.95E+01,1.39E+02,8.89E+00
15,0.00E+00,6.05E+03,7.89E+03,1.19E+04,1.44E+03,1.33E+03,2.09E+03,5.37E+02,6.93E+02,3.55E+02,2.96E+02,4.57E+02,1.10E+02,1.41E+02,3.25E+00,3.86E+00,5.72E+01,3.78E+01,5.57E+01,4.30E+00
