PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2
1,0.00E+00,4.42E+04,2.60E+04,5.10E+04,4.65E+03,1.16E+03,2.28E+03
1.5,0.00E+00,1.91E+04,7.52E+03,1.47E+04,1.96E+03,3.48E+02,6.80E+02
2,0.00E+00,1.01E+04,3.01E+03,5.86E+03,1.02E+03,1.42E+02,2.77E+02
2.4534,0.00E+00,6.28E+03,1.54E+03,2.99E+03,6.36E+02,7.36E+01,1.43E+02
2.4731,9.86E+04,6.16E+03,1.50E+03,2.91E+03,6.24E+02,7.18E+01,1.40E+02
3,6.45E+04,3.88E+03,7.84E+02,1.52E+03,3.92E+02,3.80E+01,7.37E+01
4,3.07E+04,1.90E+03,2.92E+02,5.64E+02,1.92E+02,1.44E+01,2.77E+01
5,1.69E+04,1.07E+03,1.33E+02,2.57E+02,1.08E+02,6.60E+00,1.27E+01
6,1.03E+04,6.63E+02,6.93E+01,1.33E+02,6.71E+01,3.46E+00,6.64E+00
8,4.58E+03,3.05E+02,2.43E+01,4.66E+01,3.09E+01,1.22E+00,2.34E+00
10,2.41E+03,1.64E+02,1.06E+01,2.03E+01,1.67E+01,5.39E-01,1.02E+00
15,7.32E+02,5.16E+01,2.30E+00,4.34E+00,5.24E+00,1.17E-01,2.20E-01
20,3.08E+02,2.21E+01,7.60E-01,1.42E+00,2.26E+00,3.89E-02,7.25E-02
30,8.89E+01,6.53E+00,1.56E-01,2.88E-01,6.66E-01,8.03E-03,1.48E-02
40,3.63E+01,2.70E+00,5.05E-02,9.20E-02,2.76E-01,2.60E-03,4.72E-03
50,1.80E+01,1.35E+00,2.11E-02,3.79E-02,1.38E-01,1.09E-03,1.95E-03
60,1.01E+01,7.61E-01,1.03E-02,1.84E-02,7.78E-02,5.33E-04,9.45E-04
80,4.05E+00,3.07E-01,3.37E-03,5.89E-03,3.14E-02,1.74E-04,3.03E-04
100,1.99E+00,1.51E-01,1.43E-03,2.45E-03,1.55E-02,7.39E-05,1.27E-04
150,5.46E-01,4.19E-02,3.11E-04,5.16E-04,4.29E-03,1.60E-05,2.67E-05
200,2.21E-01,1.70E-02,1.09E-04,1.78E-04,1.74E-03,5.63E-06,9.18E-06
300,6.40E-02,4.94E-03,2.67E-05,4.29E-05,5.06E-04,1.38E-06,2.22E-06
400,2.78E-02,2.15E-03,1.05E-05,1.70E-05,2.20E-04,5.40E-07,8.78E-07
500,1.51E-02,1.17E-03,5.33E-06,8.72E-06,1.20E-04,2.73E-07,4.54E-07
600,9.45E-03,7.32E-04,3.14E-06,5.29E-06,7.50E-05,1.61E-07,2.75E-07
800,4.79E-03,3.71E-04,1.46E-06,2.58E-06,3.80E-05,7.43E-08,1.35E-07
1000,2.98E-03,2.31E-04,8.41E-07,1.58E-06,2.36E-05,4.29E-08,8.26E-08
1500,1.40E-03,1.08E-04,3.49E-07,7.21E-07,1.11E-05,1.77E-08,3.83E-08
