PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,5f5/2,5f7/2,6s1/2,6p1/2,6p3/2,6d3/2,6d5/2,7s1/2
21.288,0.00E+00,4.86E+03,9.30E+03,1.26E+04,1.32E+03,1.60E+03,2.29E+03,8.33E+02,9.91E+02,3.70E+02,4.08E+02,5.76E+02,2.07E+02,2.45E+02,1.57E+01,1.83E+01,9.52E+01,9.65E+01,1.34E+02,4.00E+01,4.71E+01,2.12E-01,2.38E-01,1.94E+01,1.70E+01,2.18E+01,3.11E-01,3.37E-01,2.18E+00
30,0.00E+00,2.64E+03,3.88E+03,4.70E+03,6.63E+02,7.15E+02,9.23E+02,2.49E+02,2.86E+02,1.83E+02,1.82E+02,2.34E+02,6.46E+01,7.40E+01,3.46E+00,3.95E+00,4.69E+01,4.31E+01,5.45E+01,1.26E+01,1.43E+01,4.72E-02,5.20E-02,9.66E+00,7.61E+00,8.89E+00,9.82E-02,1.03E-01,1.07E+00
40,0.00E+00,1.51E+03,1.80E+03,2.00E+03,3.64E+02,3.51E+02,4.16E+02,8.79E+01,9.79E+01,9.95E+01,8.97E+01,1.06E+02,2.36E+01,2.62E+01,9.51E-01,1.07E+00,2.54E+01,2.12E+01,2.48E+01,4.63E+00,5.10E+00,1.31E-02,1.42E-02,5.22E+00,3.75E+00,4.04E+00,3.61E-02,3.65E-02,5.79E-01
50,0.00E+00,9.50E+02,9.79E+02,1.01E+03,2.24E+02,1.98E+02,2.20E+02,3.87E+01,4.20E+01,6.10E+01,5.08E+01,5.64E+01,1.06E+01,1.15E+01,3.46E-01,3.83E-01,1.55E+01,1.20E+01,1.32E+01,2.09E+00,2.23E+00,4.78E-03,5.11E-03,3.20E+00,2.12E+00,2.15E+00,1.63E-02,1.61E-02,3.55E-01
60,0.00E+00,6.42E+02,5.89E+02,5.77E+02,1.50E+02,1.22E+02,1.29E+02,1.97E+01,2.09E+01,4.06E+01,3.16E+01,3.32E+01,5.47E+00,5.79E+00,1.51E-01,1.65E-01,1.03E+01,7.48E+00,7.78E+00,1.08E+00,1.13E+00,2.10E-03,2.21E-03,2.12E+00,1.32E+00,1.27E+00,8.44E-03,8.15E-03,2.36E-01
80,0.00E+00,3.38E+02,2.61E+02,2.35E+02,7.77E+01,5.65E+01,5.45E+01,6.74E+00,6.90E+00,2.10E+01,1.47E+01,1.42E+01,1.91E+00,1.95E+00,4.09E-02,4.38E-02,5.34E+00,3.48E+00,3.33E+00,3.79E-01,3.82E-01,5.69E-04,5.88E-04,1.10E+00,6.14E-01,5.43E-01,2.96E-03,2.75E-03,1.22E-01
100,0.00E+00,2.02E+02,1.38E+02,1.16E+02,4.61E+01,3.07E+01,2.77E+01,2.93E+00,2.92E+00,1.24E+01,8.00E+00,7.24E+00,8.40E-01,8.34E-01,1.50E-02,1.58E-02,3.16E+00,1.90E+00,1.70E+00,1.67E-01,1.64E-01,2.09E-04,2.12E-04,6.50E-01,3.36E-01,2.77E-01,1.31E-03,1.18E-03,7.21E-02
113.12,0.00E+00,1.51E+02,9.68E+01,7.87E+01,3.44E+01,2.18E+01,1.90E+01,1.85E+00,1.82E+00,9.27E+00,5.70E+00,4.98E+00,5.34E-01,5.22E-01,8.60E-03,8.98E-03,2.36E+00,1.36E+00,1.17E+00,1.06E-01,1.03E-01,1.20E-04,1.21E-04,4.84E-01,2.40E-01,1.91E-01,8.31E-04,7.42E-04,5.37E-02
114.03,1.40E+03,1.48E+02,9.46E+01,7.67E+01,3.38E+01,2.13E+01,1.85E+01,1.80E+00,1.76E+00,9.10E+00,5.58E+00,4.86E+00,5.18E-01,5.06E-01,8.30E-03,8.66E-03,2.31E+00,1.33E+00,1.14E+00,1.03E-01,9.96E-02,1.16E-04,1.17E-04,4.75E-01,2.34E-01,1.86E-01,8.07E-04,7.20E-04,5.27E-02
150,7.02E+02,7.69E+01,4.31E+01,3.22E+01,1.75E+01,9.97E+00,7.98E+00,6.50E-01,6.18E-01,4.70E+00,2.62E+00,2.10E+00,1.90E-01,1.80E-01,2.45E-03,2.51E-03,1.20E+00,6.26E-01,4.94E-01,3.79E-02,3.54E-02,3.43E-05,3.40E-05,2.45E-01,1.10E-01,8.07E-02,2.96E-04,2.56E-04,2.72E-02
200,3.38E+02,3.82E+01,1.90E+01,1.31E+01,8.67E+00,4.50E+00,3.30E+00,2.28E-01,2.11E-01,2.34E+00,1.19E+00,8.74E-01,6.72E-02,6.19E-02,7.08E-04,7.06E-04,5.94E-01,2.84E-01,2.06E-01,1.35E-02,1.22E-02,9.96E-06,9.72E-06,1.22E-01,5.00E-02,3.36E-02,1.05E-04,8.85E-05,1.35E-02
300,1.21E+02,1.43E+01,6.15E+00,3.79E+00,3.25E+00,1.49E+00,9.78E-01,5.47E-02,4.94E-02,8.75E-01,3.95E-01,2.60E-01,1.62E-02,1.46E-02,1.32E-04,1.31E-04,2.23E-01,9.46E-02,6.12E-02,3.26E-03,2.90E-03,1.86E-06,1.81E-06,4.57E-02,1.67E-02,1.00E-02,2.55E-05,2.10E-05,5.07E-03
400,6.00E+01,7.23E+00,2.85E+00,1.64E+00,1.64E+00,6.98E-01,4.27E-01,2.08E-02,1.88E-02,4.43E-01,1.86E-01,1.14E-01,6.22E-03,5.57E-03,4.27E-05,4.30E-05,1.13E-01,4.45E-02,2.68E-02,1.25E-03,1.11E-03,6.00E-07,5.96E-07,2.31E-02,7.83E-03,4.39E-03,9.76E-06,8.06E-06,2.57E-03
500,3.55E+01,4.33E+00,1.61E+00,8.80E-01,9.84E-01,3.96E-01,2.31E-01,1.02E-02,9.30E-03,2.65E-01,1.06E-01,6.16E-02,3.06E-03,2.76E-03,1.85E-05,1.95E-05,6.74E-02,2.53E-02,1.45E-02,6.14E-04,5.51E-04,2.62E-07,2.67E-07,1.38E-02,4.45E-03,2.38E-03,4.80E-06,4.01E-06,1.54E-03
600,2.35E+01,2.88E+00,1.03E+00,5.43E-01,6.55E-01,2.54E-01,1.43E-01,5.91E-03,5.45E-03,1.77E-01,6.78E-02,3.81E-02,1.77E-03,1.62E-03,1.00E-05,1.08E-05,4.49E-02,1.62E-02,9.00E-03,3.57E-04,3.24E-04,1.42E-07,1.48E-07,9.21E-03,2.86E-03,1.47E-03,2.79E-06,2.36E-06,1.02E-03
800,1.27E+01,1.56E+00,5.24E-01,2.65E-01,3.54E-01,1.30E-01,7.00E-02,2.60E-03,2.48E-03,9.54E-02,3.49E-02,1.87E-02,7.82E-04,7.40E-04,4.00E-06,4.33E-06,2.43E-02,8.35E-03,4.41E-03,1.57E-04,1.47E-04,5.49E-08,6.14E-08,4.98E-03,1.47E-03,7.22E-04,1.23E-06,1.08E-06,5.55E-04
1000,8.04E+00,9.89E-01,3.23E-01,1.58E-01,2.25E-01,8.06E-02,4.18E-02,1.46E-03,1.41E-03,6.05E-02,2.16E-02,1.12E-02,4.40E-04,4.23E-04,2.11E-06,2.47E-06,1.54E-02,5.16E-03,2.63E-03,8.84E-05,8.47E-05,2.88E-08,3.36E-08,3.16E-03,9.09E-04,4.31E-04,6.95E-07,6.27E-07,3.53E-04
1500,3.71E+00,4.55E-01,1.45E-01,6.74E-02,1.03E-01,3.64E-02,1.78E-02,5.65E-04,5.79E-04,2.78E-02,9.72E-03,4.76E-03,1.71E-04,1.73E-04,7.83E-07,9.25E-07,7.07E-03,2.33E-03,1.12E-03,3.43E-05,3.45E-05,9.92E-09,1.30E-08,1.45E-03,4.10E-04,1.85E-04,2.75E-07,2.64E-07,1.65E-04
