PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2
50,3.01E+03,2.71E+02,8.90E+01,1.20E+02,5.50E+01,1.80E+01,2.48E+01,1.38E+00,1.68E+00,1.27E+01,3.94E+00,5.42E+00,2.91E-01,3.55E-01,2.40E-04,2.80E-04,2.22E+00,5.71E-01,7.63E-01,2.02E-01
60,1.88E+03,1.72E+02,4.95E+01,6.49E+01,3.48E+01,1.02E+01,1.37E+01,6.53E-01,7.85E-01,8.05E+00,2.23E+00,2.99E+00,1.39E-01,1.66E-01,9.71E-05,1.12E-04,1.40E+00,3.24E-01,4.21E-01,1.28E-01
80,8.62E+02,8.17E+01,1.95E+01,2.44E+01,1.66E+01,4.10E+00,5.24E+00,2.01E-01,2.36E-01,3.84E+00,9.02E-01,1.15E+00,4.32E-02,5.03E-02,2.35E-05,2.68E-05,6.68E-01,1.31E-01,1.62E-01,6.10E-02
100,4.66E+02,4.54E+01,9.44E+00,1.14E+01,9.22E+00,2.01E+00,2.48E+00,8.13E-02,9.36E-02,2.14E+00,4.44E-01,5.47E-01,1.75E-02,2.00E-02,7.93E-06,8.94E-06,3.71E-01,6.44E-02,7.70E-02,3.39E-02
150,1.50E+02,1.52E+01,2.55E+00,2.88E+00,3.11E+00,5.54E-01,6.37E-01,1.61E-02,1.79E-02,7.21E-01,1.23E-01,1.41E-01,3.49E-03,3.85E-03,1.16E-06,1.28E-06,1.25E-01,1.78E-02,1.99E-02,1.14E-02
200,6.68E+01,6.98E+00,1.02E+00,1.10E+00,1.43E+00,2.25E-01,2.46E-01,5.25E-03,5.77E-03,3.31E-01,5.00E-02,5.44E-02,1.14E-03,1.24E-03,3.12E-07,3.44E-07,5.76E-02,7.25E-03,7.69E-03,5.26E-03
300,2.18E+01,2.34E+00,2.95E-01,2.99E-01,4.81E-01,6.55E-02,6.74E-02,1.16E-03,1.27E-03,1.12E-01,1.46E-02,1.49E-02,2.53E-04,2.75E-04,5.38E-08,6.02E-08,1.94E-02,2.12E-03,2.11E-03,1.77E-03
400,1.02E+01,1.11E+00,1.28E-01,1.25E-01,2.28E-01,2.84E-02,2.84E-02,4.23E-04,4.68E-04,5.29E-02,6.35E-03,6.29E-03,9.23E-05,1.02E-04,1.70E-08,1.96E-08,9.19E-03,9.21E-04,8.90E-04,8.41E-04
500,5.77E+00,6.34E-01,6.87E-02,6.63E-02,1.30E-01,1.54E-02,1.51E-02,2.01E-04,2.29E-04,3.03E-02,3.43E-03,3.35E-03,4.38E-05,5.02E-05,7.20E-09,8.67E-09,5.27E-03,4.98E-04,4.74E-04,4.82E-04
600,3.71E+00,4.09E-01,4.24E-02,4.07E-02,8.41E-02,9.51E-03,9.25E-03,1.12E-04,1.34E-04,1.96E-02,2.12E-03,2.06E-03,2.47E-05,2.91E-05,3.72E-09,4.71E-09,3.40E-03,3.08E-04,2.91E-04,3.12E-04
800,1.93E+00,2.14E-01,2.08E-02,1.99E-02,4.39E-02,4.67E-03,4.54E-03,4.83E-05,6.09E-05,1.02E-02,1.04E-03,1.01E-03,1.05E-05,1.33E-05,1.43E-09,1.97E-09,1.78E-03,1.51E-04,1.43E-04,1.63E-04
1000,1.21E+00,1.34E-01,1.24E-02,1.20E-02,2.75E-02,2.80E-03,2.74E-03,2.65E-05,3.46E-05,6.39E-03,6.25E-04,6.09E-04,5.76E-06,7.63E-06,7.20E-10,1.08E-09,1.11E-03,9.07E-05,8.63E-05,1.03E-04
1500,5.59E-01,6.16E-02,5.40E-03,5.28E-03,1.27E-02,1.21E-03,1.21E-03,1.01E-05,1.46E-05,2.94E-03,2.71E-04,2.68E-04,2.17E-06,3.17E-06,2.73E-10,4.66E-10,5.12E-04,3.94E-05,3.82E-05,4.83E-05
