PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2
1,0.00E+00,0.00E+00,3.32E+05,6.39E+05,2.68E+04,2.87E+04,5.59E+04,1.28E+04,1.87E+04,6.31E+02
1.0851,0.00E+00,0.00E+00,2.63E+05,5.11E+05,2.32E+04,2.40E+04,4.66E+04,9.76E+03,1.42E+04,5.44E+02
1.0938,0.00E+00,1.17E+05,2.57E+05,5.00E+05,2.29E+04,2.36E+04,4.58E+04,9.50E+03,1.39E+04,5.36E+02
1.5,0.00E+00,7.34E+04,1.15E+05,2.23E+05,1.28E+04,1.13E+04,2.17E+04,3.18E+03,4.62E+03,2.96E+02
2,0.00E+00,4.55E+04,5.32E+04,1.02E+05,7.37E+03,5.50E+03,1.05E+04,1.12E+03,1.63E+03,1.69E+02
3,0.00E+00,2.13E+04,1.66E+04,3.15E+04,3.23E+03,1.85E+03,3.49E+03,2.43E+02,3.51E+02,7.36E+01
4,0.00E+00,1.18E+04,7.00E+03,1.31E+04,1.75E+03,8.16E+02,1.53E+03,7.86E+01,1.13E+02,4.01E+01
5,0.00E+00,7.32E+03,3.50E+03,6.53E+03,1.07E+03,4.21E+02,7.83E+02,3.18E+01,4.55E+01,2.45E+01
6,0.00E+00,4.87E+03,1.96E+03,3.64E+03,7.09E+02,2.41E+02,4.47E+02,1.50E+01,2.13E+01,1.62E+01
8,0.00E+00,2.50E+03,7.70E+02,1.41E+03,3.62E+02,9.76E+01,1.79E+02,4.45E+00,6.30E+00,8.26E+00
8.9344,0.00E+00,1.92E+03,5.34E+02,9.77E+02,2.77E+02,6.83E+01,1.25E+02,2.77E+00,3.92E+00,6.33E+00
9.0059,2.52E+04,1.88E+03,5.20E+02,9.51E+02,2.72E+02,6.66E+01,1.22E+02,2.68E+00,3.79E+00,6.21E+00
10,1.98E+04,1.46E+03,3.66E+02,6.68E+02,2.11E+02,4.73E+01,8.60E+01,1.71E+00,2.41E+00,4.81E+00
15,6.82E+03,5.26E+02,9.16E+01,1.64E+02,7.59E+01,1.22E+01,2.18E+01,2.91E-01,4.07E-01,1.73E+00
20,3.10E+03,2.47E+02,3.34E+01,5.91E+01,3.57E+01,4.51E+00,7.95E+00,8.12E-02,1.12E-01,8.15E-01
30,9.85E+02,8.19E+01,7.83E+00,1.35E+01,1.19E+01,1.07E+00,1.85E+00,1.31E-02,1.78E-02,2.71E-01
40,4.27E+02,3.65E+01,2.75E+00,4.68E+00,5.30E+00,3.82E-01,6.45E-01,3.54E-03,4.76E-03,1.21E-01
50,2.21E+02,1.92E+01,1.22E+00,2.03E+00,2.80E+00,1.70E-01,2.82E-01,1.29E-03,1.72E-03,6.38E-02
60,1.28E+02,1.13E+01,6.23E-01,1.03E+00,1.64E+00,8.73E-02,1.43E-01,5.65E-04,7.45E-04,3.76E-02
80,5.37E+01,4.83E+00,2.17E-01,3.49E-01,7.04E-01,3.06E-02,4.88E-02,1.55E-04,2.02E-04,1.61E-02
100,2.72E+01,2.48E+00,9.62E-02,1.51E-01,3.62E-01,1.36E-02,2.12E-02,5.78E-05,7.42E-05,8.27E-03
150,7.90E+00,7.32E-01,2.24E-02,3.38E-02,1.07E-01,3.18E-03,4.77E-03,9.98E-06,1.26E-05,2.45E-03
200,3.30E+00,3.09E-01,8.20E-03,1.20E-02,4.53E-02,1.17E-03,1.70E-03,3.00E-06,3.77E-06,1.03E-03
300,9.95E-01,9.39E-02,2.11E-03,3.02E-03,1.38E-02,3.02E-04,4.29E-04,6.02E-07,7.69E-07,3.15E-04
400,4.42E-01,4.19E-02,8.59E-04,1.22E-03,6.15E-03,1.22E-04,1.73E-04,2.07E-07,2.76E-07,1.41E-04
500,2.43E-01,2.31E-02,4.43E-04,6.33E-04,3.40E-03,6.32E-05,9.00E-05,9.50E-08,1.33E-07,7.77E-05
600,1.53E-01,1.46E-02,2.65E-04,3.85E-04,2.14E-03,3.78E-05,5.48E-05,5.22E-08,7.67E-08,4.91E-05
800,7.83E-02,7.46E-03,1.25E-04,1.89E-04,1.10E-03,1.78E-05,2.68E-05,2.15E-08,3.49E-08,2.51E-05
1000,4.87E-02,4.64E-03,7.32E-05,1.14E-04,6.82E-04,1.04E-05,1.63E-05,1.15E-08,2.04E-08,1.57E-05
1500,2.27E-02,2.16E-03,3.06E-05,5.19E-05,3.17E-04,4.37E-06,7.39E-06,4.22E-09,8.83E-09,7.38E-06
