PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2
10,0.00E+00,1.09E+04,1.63E+04,2.68E+04,2.60E+03,2.54E+03,4.26E+03,1.28E+03,1.70E+03,6.37E+02,5.55E+02,9.22E+02,2.52E+02,3.35E+02,4.00E+00,4.90E+00,1.12E+02,8.00E+01,1.30E+02,1.52E+00,1.94E+00,1.04E+01
15,0.00E+00,5.05E+03,5.31E+03,8.20E+03,1.13E+03,9.06E+02,1.44E+03,2.92E+02,3.82E+02,2.74E+02,1.99E+02,3.14E+02,6.02E+01,7.83E+01,6.27E-01,7.58E-01,4.79E+01,2.87E+01,4.41E+01,3.66E-01,4.57E-01,4.47E+00
20,0.00E+00,2.82E+03,2.31E+03,3.43E+03,6.12E+02,4.17E+02,6.37E+02,9.89E+01,1.27E+02,1.47E+02,9.21E+01,1.40E+02,2.09E+01,2.67E+01,1.63E-01,1.96E-01,2.57E+01,1.34E+01,1.97E+01,1.28E-01,1.56E-01,2.39E+00
30,0.00E+00,1.17E+03,6.88E+02,9.63E+02,2.47E+02,1.33E+02,1.91E+02,2.05E+01,2.56E+01,5.90E+01,2.95E+01,4.23E+01,4.46E+00,5.55E+00,2.33E-02,2.76E-02,1.03E+01,4.32E+00,5.97E+00,2.73E-02,3.26E-02,9.59E-01
40,0.00E+00,6.02E+02,2.84E+02,3.81E+02,1.26E+02,5.69E+01,7.84E+01,6.56E+00,8.02E+00,3.00E+01,1.28E+01,1.75E+01,1.45E+00,1.76E+00,5.75E-03,6.71E-03,5.26E+00,1.87E+00,2.47E+00,8.89E-03,1.04E-02,4.88E-01
50,0.00E+00,3.53E+02,1.41E+02,1.83E+02,7.36E+01,2.90E+01,3.87E+01,2.69E+00,3.22E+00,1.75E+01,6.54E+00,8.67E+00,5.98E-01,7.14E-01,1.94E-03,2.24E-03,3.07E+00,9.58E-01,1.22E+00,3.68E-03,4.21E-03,2.85E-01
50.262,0.00E+00,3.49E+02,1.39E+02,1.80E+02,7.27E+01,2.86E+01,3.80E+01,2.63E+00,3.15E+00,1.73E+01,6.44E+00,8.52E+00,5.86E-01,6.99E-01,1.89E-03,2.18E-03,3.03E+00,9.43E-01,1.20E+00,3.60E-03,4.12E-03,2.81E-01
50.665,3.79E+03,3.42E+02,1.36E+02,1.75E+02,7.13E+01,2.79E+01,3.71E+01,2.55E+00,3.05E+00,1.70E+01,6.29E+00,8.31E+00,5.68E-01,6.77E-01,1.81E-03,2.09E-03,2.97E+00,9.20E-01,1.17E+00,3.49E-03,3.99E-03,2.76E-01
60,2.44E+03,2.26E+02,7.96E+01,1.00E+02,4.70E+01,1.66E+01,2.15E+01,1.29E+00,1.52E+00,1.12E+01,3.76E+00,4.83E+00,2.89E-01,3.40E-01,7.95E-04,9.10E-04,1.96E+00,5.51E-01,6.83E-01,1.78E-03,2.01E-03,1.82E-01
80,1.14E+03,1.09E+02,3.19E+01,3.82E+01,2.27E+01,6.84E+00,8.40E+00,4.05E-01,4.66E-01,5.41E+00,1.55E+00,1.90E+00,9.16E-02,1.04E-01,1.97E-04,2.22E-04,9.48E-01,2.28E-01,2.68E-01,5.65E-04,6.20E-04,8.78E-02
100,6.26E+02,6.13E+01,1.57E+01,1.80E+01,1.28E+01,3.41E+00,4.02E+00,1.65E-01,1.86E-01,3.04E+00,7.77E-01,9.11E-01,3.76E-02,4.20E-02,6.72E-05,7.48E-05,5.33E-01,1.14E-01,1.29E-01,2.32E-04,2.50E-04,4.94E-02
150,2.05E+02,2.10E+01,4.33E+00,4.61E+00,4.39E+00,9.64E-01,1.05E+00,3.33E-02,3.63E-02,1.05E+00,2.21E-01,2.39E-01,7.64E-03,8.24E-03,1.00E-05,1.09E-05,1.83E-01,3.24E-02,3.39E-02,4.72E-05,4.90E-05,1.70E-02
200,9.23E+01,9.75E+00,1.76E+00,1.78E+00,2.04E+00,3.97E-01,4.11E-01,1.10E-02,1.18E-02,4.87E-01,9.12E-02,9.37E-02,2.54E-03,2.69E-03,2.72E-06,2.95E-06,8.53E-02,1.34E-02,1.33E-02,1.57E-05,1.60E-05,7.91E-03
300,3.05E+01,3.33E+00,5.18E-01,4.90E-01,7.00E-01,1.18E-01,1.14E-01,2.46E-03,2.63E-03,1.67E-01,2.72E-02,2.61E-02,5.70E-04,6.01E-04,4.76E-07,5.22E-07,2.92E-02,3.99E-03,3.71E-03,3.52E-06,3.59E-06,2.71E-03
400,1.43E+01,1.59E+00,2.26E-01,2.06E-01,3.34E-01,5.19E-02,4.84E-02,9.01E-04,9.79E-04,7.98E-02,1.20E-02,1.11E-02,2.09E-04,2.24E-04,1.49E-07,1.68E-07,1.40E-02,1.76E-03,1.57E-03,1.29E-06,1.34E-06,1.30E-03
500,8.18E+00,9.14E-01,1.23E-01,1.10E-01,1.93E-01,2.82E-02,2.58E-02,4.33E-04,4.79E-04,4.60E-02,6.51E-03,5.90E-03,1.00E-04,1.11E-04,6.46E-08,7.60E-08,8.06E-03,9.56E-04,8.39E-04,6.20E-07,6.62E-07,7.48E-04
600,5.29E+00,5.93E-01,7.61E-02,6.73E-02,1.25E-01,1.76E-02,1.59E-02,2.44E-04,2.77E-04,2.98E-02,4.05E-03,3.63E-03,5.65E-05,6.43E-05,3.35E-08,4.07E-08,5.23E-03,5.95E-04,5.16E-04,3.49E-07,3.85E-07,4.86E-04
800,2.77E+00,3.11E-01,3.75E-02,3.30E-02,6.56E-02,8.68E-03,7.77E-03,1.05E-04,1.26E-04,1.57E-02,2.00E-03,1.78E-03,2.42E-05,2.92E-05,1.27E-08,1.68E-08,2.74E-03,2.94E-04,2.53E-04,1.50E-07,1.77E-07,2.56E-04
1000,1.73E+00,1.95E-01,2.26E-02,1.99E-02,4.11E-02,5.23E-03,4.68E-03,5.71E-05,7.36E-05,9.81E-03,1.21E-03,1.07E-03,1.33E-05,1.69E-05,6.55E-09,9.20E-09,1.72E-03,1.77E-04,1.53E-04,8.24E-08,1.03E-07,1.61E-04
1500,8.00E-01,8.97E-02,9.82E-03,8.68E-03,1.89E-02,2.28E-03,2.05E-03,2.19E-05,2.97E-05,4.51E-03,5.27E-04,4.71E-04,5.02E-06,6.99E-06,2.25E-09,3.58E-09,7.91E-04,7.74E-05,6.71E-05,3.14E-08,4.38E-08,7.52E-05
