PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,6d3/2,6d5/2,7s1/2
100,0.00E+00,1.89E+02,1.20E+02,1.04E+02,4.28E+01,2.68E+01,2.47E+01,2.46E+00,2.48E+00,1.14E+01,6.92E+00,6.38E+00,6.96E-01,6.97E-01,1.14E-02,1.21E-02,2.83E+00,1.59E+00,1.45E+00,1.31E-01,1.30E-01,5.69E-01,2.75E-01,2.34E-01,1.03E-03,9.51E-04,6.58E-02
107.21,0.00E+00,1.60E+02,9.83E+01,8.33E+01,3.63E+01,2.21E+01,1.99E+01,1.90E+00,1.89E+00,9.69E+00,5.71E+00,5.16E+00,5.38E-01,5.34E-01,8.35E-03,8.79E-03,2.40E+00,1.32E+00,1.17E+00,1.01E-01,9.94E-02,4.82E-01,2.27E-01,1.89E-01,7.96E-04,7.30E-04,5.57E-02
108.07,1.50E+03,1.57E+02,9.61E+01,8.12E+01,3.56E+01,2.16E+01,1.95E+01,1.84E+00,1.84E+00,9.50E+00,5.58E+00,5.04E+00,5.22E-01,5.18E-01,8.05E-03,8.48E-03,2.35E+00,1.29E+00,1.14E+00,9.85E-02,9.65E-02,4.73E-01,2.22E-01,1.85E-01,7.73E-04,7.08E-04,5.47E-02
150,6.56E+02,7.13E+01,3.72E+01,2.86E+01,1.61E+01,8.62E+00,7.07E+00,5.44E-01,5.22E-01,4.30E+00,2.24E+00,1.84E+00,1.56E-01,1.49E-01,1.87E-03,1.91E-03,1.06E+00,5.19E-01,4.18E-01,2.95E-02,2.79E-02,2.14E-01,8.92E-02,6.76E-02,2.32E-04,2.05E-04,2.47E-02
200,3.14E+02,3.52E+01,1.63E+01,1.16E+01,7.96E+00,3.86E+00,2.92E+00,1.90E-01,1.77E-01,2.12E+00,1.01E+00,7.63E-01,5.49E-02,5.12E-02,5.34E-04,5.38E-04,5.26E-01,2.33E-01,1.73E-01,1.04E-02,9.57E-03,1.06E-01,4.02E-02,2.80E-02,8.18E-05,7.04E-05,1.22E-02
300,1.12E+02,1.31E+01,5.24E+00,3.35E+00,2.96E+00,1.27E+00,8.60E-01,4.52E-02,4.14E-02,7.91E-01,3.33E-01,2.26E-01,1.32E-02,1.20E-02,9.87E-05,9.96E-05,1.96E-01,7.71E-02,5.14E-02,2.51E-03,2.26E-03,3.93E-02,1.33E-02,8.31E-03,1.97E-05,1.66E-05,4.55E-03
400,5.50E+01,6.59E+00,2.42E+00,1.44E+00,1.49E+00,5.91E-01,3.75E-01,1.72E-02,1.57E-02,3.98E-01,1.56E-01,9.85E-02,5.04E-03,4.58E-03,3.20E-05,3.26E-05,9.86E-02,3.61E-02,2.24E-02,9.58E-04,8.64E-04,1.98E-02,6.21E-03,3.63E-03,7.52E-06,6.37E-06,2.29E-03
500,3.25E+01,3.93E+00,1.36E+00,7.76E-01,8.90E-01,3.35E-01,2.03E-01,8.47E-03,7.83E-03,2.38E-01,8.83E-02,5.33E-02,2.49E-03,2.28E-03,1.44E-05,1.47E-05,5.88E-02,2.05E-02,1.22E-02,4.74E-04,4.31E-04,1.18E-02,3.52E-03,1.97E-03,3.72E-06,3.19E-06,1.37E-03
600,2.15E+01,2.61E+00,8.65E-01,4.78E-01,5.92E-01,2.14E-01,1.25E-01,4.85E-03,4.56E-03,1.58E-01,5.65E-02,3.30E-02,1.43E-03,1.33E-03,7.48E-06,8.03E-06,3.91E-02,1.31E-02,7.53E-03,2.72E-04,2.51E-04,7.86E-03,2.25E-03,1.22E-03,2.14E-06,1.86E-06,9.11E-04
800,1.15E+01,1.41E+00,4.41E-01,2.33E-01,3.19E-01,1.10E-01,6.13E-02,2.13E-03,2.07E-03,8.51E-02,2.90E-02,1.62E-02,6.29E-04,6.07E-04,2.93E-06,3.34E-06,2.11E-02,6.71E-03,3.69E-03,1.20E-04,1.14E-04,4.23E-03,1.16E-03,5.97E-04,9.45E-07,8.54E-07,4.92E-04
1000,7.31E+00,8.92E-01,2.71E-01,1.39E-01,2.02E-01,6.75E-02,3.66E-02,1.20E-03,1.18E-03,5.39E-02,1.79E-02,9.66E-03,3.54E-04,3.48E-04,1.53E-06,1.78E-06,1.33E-02,4.14E-03,2.20E-03,6.72E-05,6.59E-05,2.68E-03,7.13E-04,3.57E-04,5.32E-07,4.96E-07,3.13E-04
1500,3.37E+00,4.10E-01,1.22E-01,5.96E-02,9.28E-02,3.04E-02,1.56E-02,4.62E-04,4.84E-04,2.48E-02,8.04E-03,4.13E-03,1.37E-04,1.43E-04,6.10E-07,6.57E-07,6.13E-03,1.86E-03,9.43E-04,2.61E-05,2.69E-05,1.23E-03,3.21E-04,1.53E-04,2.10E-07,2.10E-07,1.46E-04
