PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2
96.824,1.73E+03,1.77E+02,9.96E+01,9.12E+01,3.96E+01,2.22E+01,2.15E+01,1.94E+00,2.00E+00,1.04E+01,5.60E+00,5.41E+00,5.28E-01,5.40E-01,7.46E-03,8.00E-03,2.39E+00,1.18E+00,1.11E+00,8.27E-02,8.28E-02,3.78E-01,1.16E-01,9.43E-02
100,1.60E+03,1.63E+02,9.06E+01,8.22E+01,3.66E+01,2.02E+01,1.94E+01,1.72E+00,1.76E+00,9.58E+00,5.12E+00,4.90E+00,4.68E-01,4.77E-01,6.44E-03,6.80E-03,2.21E+00,1.08E+00,1.01E+00,7.33E-02,7.31E-02,3.49E-01,1.06E-01,8.54E-02
150,5.65E+02,6.07E+01,2.75E+01,2.24E+01,1.36E+01,6.37E+00,5.49E+00,3.74E-01,3.67E-01,3.55E+00,1.62E+00,1.39E+00,1.03E-01,1.01E-01,1.04E-03,1.07E-03,8.20E-01,3.44E-01,2.87E-01,1.63E-02,1.55E-02,1.29E-01,3.38E-02,2.43E-02
200,2.68E+02,2.97E+01,1.19E+01,9.00E+00,6.65E+00,2.81E+00,2.25E+00,1.29E-01,1.24E-01,1.74E+00,7.20E-01,5.72E-01,3.60E-02,3.43E-02,2.94E-04,3.00E-04,4.02E-01,1.52E-01,1.18E-01,5.68E-03,5.28E-03,6.34E-02,1.50E-02,1.00E-02
300,9.40E+01,1.09E+01,3.77E+00,2.58E+00,2.44E+00,9.09E-01,6.56E-01,3.05E-02,2.86E-02,6.39E-01,2.33E-01,1.68E-01,8.57E-03,7.96E-03,5.37E-05,5.50E-05,1.47E-01,4.95E-02,3.46E-02,1.35E-03,1.24E-03,2.33E-02,4.87E-03,2.94E-03
400,4.59E+01,5.42E+00,1.72E+00,1.11E+00,1.22E+00,4.20E-01,2.85E-01,1.16E-02,1.09E-02,3.19E-01,1.08E-01,7.29E-02,3.27E-03,3.04E-03,1.77E-05,1.83E-05,7.36E-02,2.29E-02,1.51E-02,5.16E-04,4.73E-04,1.16E-02,2.25E-03,1.28E-03
500,2.69E+01,3.22E+00,9.63E-01,5.96E-01,7.23E-01,2.36E-01,1.54E-01,5.65E-03,5.39E-03,1.89E-01,6.09E-02,3.94E-02,1.60E-03,1.51E-03,7.77E-06,8.09E-06,4.37E-02,1.29E-02,8.14E-03,2.52E-04,2.35E-04,6.89E-03,1.27E-03,6.92E-04
600,1.77E+01,2.13E+00,6.10E-01,3.67E-01,4.78E-01,1.50E-01,9.50E-02,3.23E-03,3.14E-03,1.25E-01,3.88E-02,2.44E-02,9.15E-04,8.81E-04,4.03E-06,4.41E-06,2.89E-02,8.23E-03,5.03E-03,1.45E-04,1.37E-04,4.56E-03,8.09E-04,4.28E-04
800,9.47E+00,1.14E+00,3.09E-01,1.79E-01,2.57E-01,7.65E-02,4.65E-02,1.41E-03,1.42E-03,6.71E-02,1.98E-02,1.19E-02,4.02E-04,3.99E-04,1.56E-06,1.83E-06,1.55E-02,4.19E-03,2.47E-03,6.33E-05,6.23E-05,2.45E-03,4.12E-04,2.10E-04
1000,5.99E+00,7.22E-01,1.90E-01,1.07E-01,1.62E-01,4.70E-02,2.78E-02,7.88E-04,8.17E-04,4.24E-02,1.22E-02,7.15E-03,2.24E-04,2.31E-04,8.14E-07,9.88E-07,9.79E-03,2.58E-03,1.48E-03,3.54E-05,3.58E-05,1.55E-03,2.54E-04,1.26E-04
1500,2.76E+00,3.32E-01,8.46E-02,4.60E-02,7.45E-02,2.10E-02,1.19E-02,3.05E-04,3.31E-04,1.95E-02,5.44E-03,3.07E-03,8.65E-05,9.38E-05,2.81E-07,3.71E-07,4.50E-03,1.15E-03,6.34E-04,1.37E-05,1.47E-05,7.11E-04,1.14E-04,5.47E-05
