PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2
1,0.00E+00,2.49E+04,8.83E+03,1.74E+04,1.78E+03,5.35E+01,1.05E+02
1.5,0.00E+00,1.01E+04,2.40E+03,4.71E+03,7.15E+02,1.49E+01,2.93E+01
1.5483,0.00E+00,9.35E+03,2.16E+03,4.24E+03,6.64E+02,1.34E+01,2.64E+01
1.5607,1.61E+05,9.18E+03,2.10E+03,4.13E+03,6.52E+02,1.31E+01,2.57E+01
2,9.31E+04,5.08E+03,9.16E+02,1.79E+03,3.61E+02,5.77E+00,1.13E+01
3,3.26E+04,1.84E+03,2.25E+02,4.39E+02,1.31E+02,1.43E+00,2.80E+00
4,1.49E+04,8.68E+02,8.07E+01,1.57E+02,6.17E+01,5.18E-01,1.01E+00
5,8.00E+03,4.76E+02,3.58E+01,6.95E+01,3.38E+01,2.31E-01,4.48E-01
6,4.76E+03,2.88E+02,1.82E+01,3.54E+01,2.05E+01,1.18E-01,2.28E-01
8,2.06E+03,1.28E+02,6.18E+00,1.19E+01,9.13E+00,4.02E-02,7.74E-02
10,1.07E+03,6.75E+01,2.63E+00,5.06E+00,4.81E+00,1.71E-02,3.29E-02
15,3.13E+02,2.04E+01,5.42E-01,1.03E+00,1.45E+00,3.55E-03,6.74E-03
20,1.29E+02,8.52E+00,1.74E-01,3.29E-01,6.09E-01,1.14E-03,2.15E-03
30,3.64E+01,2.44E+00,3.46E-02,6.47E-02,1.74E-01,2.28E-04,4.24E-04
40,1.46E+01,9.87E-01,1.10E-02,2.03E-02,7.06E-02,7.24E-05,1.33E-04
50,7.16E+00,4.86E-01,4.53E-03,8.25E-03,3.48E-02,2.98E-05,5.42E-05
60,3.99E+00,2.72E-01,2.20E-03,3.96E-03,1.95E-02,1.44E-05,2.60E-05
80,1.58E+00,1.08E-01,7.06E-04,1.25E-03,7.74E-03,4.64E-06,8.22E-06
100,7.67E-01,5.27E-02,2.96E-04,5.16E-04,3.78E-03,1.94E-06,3.39E-06
150,2.08E-01,1.44E-02,6.31E-05,1.07E-04,1.03E-03,4.14E-07,7.03E-07
200,8.35E-02,5.77E-03,2.19E-05,3.64E-05,4.14E-04,1.43E-07,2.40E-07
300,2.39E-02,1.66E-03,5.30E-06,8.70E-06,1.19E-04,3.46E-08,5.75E-08
400,1.03E-02,7.18E-04,2.07E-06,3.43E-06,5.15E-05,1.34E-08,2.27E-08
500,5.60E-03,3.89E-04,1.04E-06,1.77E-06,2.79E-05,6.75E-09,1.17E-08
600,3.50E-03,2.43E-04,6.13E-07,1.07E-06,1.74E-05,3.97E-09,7.11E-09
800,1.77E-03,1.23E-04,2.82E-07,5.23E-07,8.83E-06,1.82E-09,3.51E-09
1000,1.10E-03,7.65E-05,1.63E-07,3.17E-07,5.50E-06,1.05E-09,2.17E-09
1500,5.17E-04,3.59E-05,6.70E-08,1.46E-07,2.60E-06,4.38E-10,1.05E-09
