PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.40E+04,7.36E+04,1.47E+05,1.29E+05,1.88E+05,1.00E+04,1.04E+04,2.04E+04,1.48E+03,2.15E+03,9.59E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.82E+04,3.54E+04,6.88E+04,3.81E+04,5.53E+04,4.93E+03,4.78E+03,9.22E+03,4.62E+02,6.67E+02,4.66E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.71E+04,1.95E+04,3.73E+04,1.51E+04,2.18E+04,2.91E+03,2.60E+03,4.96E+03,1.89E+02,2.72E+02,2.74E+02
2.2225,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.41E+04,1.55E+04,2.94E+04,1.06E+04,1.53E+04,2.39E+03,2.06E+03,3.90E+03,1.35E+02,1.93E+02,2.24E+02
2.2403,0.00E+00,0.00E+00,0.00E+00,2.58E+05,1.39E+04,1.52E+04,2.89E+04,1.04E+04,1.49E+04,2.36E+03,2.02E+03,3.83E+03,1.31E+02,1.88E+02,2.21E+02
2.31,0.00E+00,0.00E+00,0.00E+00,2.34E+05,1.32E+04,1.42E+04,2.69E+04,9.34E+03,1.35E+04,2.22E+03,1.89E+03,3.57E+03,1.19E+02,1.70E+02,2.08E+02
2.3285,0.00E+00,0.00E+00,1.23E+05,2.30E+05,1.30E+04,1.39E+04,2.64E+04,9.09E+03,1.31E+04,2.19E+03,1.85E+03,3.50E+03,1.16E+02,1.66E+02,2.05E+02
2.5123,0.00E+00,0.00E+00,1.01E+05,1.93E+05,1.13E+04,1.17E+04,2.22E+04,7.02E+03,1.01E+04,1.89E+03,1.56E+03,2.93E+03,8.99E+01,1.29E+02,1.77E+02
2.5324,0.00E+00,5.04E+04,9.95E+04,1.89E+05,1.11E+04,1.15E+04,2.17E+04,6.83E+03,9.83E+03,1.87E+03,1.53E+03,2.88E+03,8.75E+01,1.25E+02,1.75E+02
3,0.00E+00,3.98E+04,6.42E+04,1.20E+05,8.09E+03,7.71E+03,1.44E+04,3.80E+03,5.45E+03,1.34E+03,1.02E+03,1.91E+03,4.92E+01,6.97E+01,1.27E+02
