PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2
12.95,0.00E+00,0.00E+00,1.68E+04,2.63E+04,2.42E+03,2.74E+03,4.40E+03,1.66E+03,2.13E+03,6.33E+02,6.38E+02,1.00E+03,3.52E+02,4.48E+02,2.19E+01,2.64E+01,1.24E+02,1.06E+02,1.59E+02,2.51E+01,2.98E+01
13.388,0.00E+00,0.00E+00,1.57E+04,2.41E+04,2.27E+03,2.54E+03,4.04E+03,1.48E+03,1.89E+03,5.93E+02,5.91E+02,9.23E+02,3.15E+02,4.00E+02,1.89E+01,2.28E+01,1.16E+02,9.79E+01,1.46E+02,2.25E+01,2.67E+01
13.496,0.00E+00,8.48E+03,1.53E+04,2.36E+04,2.23E+03,2.49E+03,3.96E+03,1.44E+03,1.84E+03,5.83E+02,5.80E+02,9.05E+02,3.07E+02,3.90E+02,1.83E+01,2.20E+01,1.14E+02,9.61E+01,1.43E+02,2.19E+01,2.60E+01
15,0.00E+00,7.04E+03,1.16E+04,1.77E+04,1.82E+03,1.94E+03,3.02E+03,9.95E+02,1.26E+03,4.71E+02,4.52E+02,6.91E+02,2.15E+02,2.71E+02,1.15E+01,1.37E+01,9.18E+01,7.48E+01,1.09E+02,1.54E+01,1.81E+01
20,0.00E+00,4.20E+03,5.45E+03,7.66E+03,1.02E+03,9.60E+02,1.41E+03,3.56E+02,4.42E+02,2.60E+02,2.24E+02,3.24E+02,7.99E+01,9.84E+01,3.14E+00,3.72E+00,5.05E+01,3.71E+01,5.14E+01,5.74E+00,6.60E+00
30,0.00E+00,1.88E+03,1.76E+03,2.28E+03,4.30E+02,3.35E+02,4.54E+02,7.97E+01,9.57E+01,1.09E+02,7.88E+01,1.05E+02,1.86E+01,2.22E+01,4.88E-01,5.69E-01,2.11E+01,1.30E+01,1.67E+01,1.35E+00,1.50E+00
40,0.00E+00,1.01E+03,7.66E+02,9.34E+02,2.27E+02,1.53E+02,1.95E+02,2.68E+01,3.14E+01,5.72E+01,3.62E+01,4.57E+01,6.42E+00,7.44E+00,1.27E-01,1.45E-01,1.11E+01,6.06E+00,7.27E+00,4.65E-01,5.04E-01
50,0.00E+00,6.16E+02,3.97E+02,4.62E+02,1.37E+02,8.20E+01,9.97E+01,1.14E+01,1.30E+01,3.43E+01,1.95E+01,2.35E+01,2.77E+00,3.14E+00,4.46E-02,5.01E-02,6.65E+00,3.27E+00,3.74E+00,2.01E-01,2.13E-01
60,0.00E+00,4.05E+02,2.30E+02,2.58E+02,8.91E+01,4.88E+01,5.70E+01,5.64E+00,6.33E+00,2.23E+01,1.16E+01,1.35E+01,1.38E+00,1.54E+00,1.89E-02,2.10E-02,4.34E+00,1.95E+00,2.15E+00,1.01E-01,1.05E-01
76.274,0.00E+00,2.29E+02,1.12E+02,1.19E+02,5.02E+01,2.43E+01,2.70E+01,2.22E+00,2.43E+00,1.26E+01,5.83E+00,6.41E+00,5.51E-01,5.99E-01,6.11E-03,6.69E-03,2.44E+00,9.79E-01,1.02E+00,4.03E-02,4.08E-02
