PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2
1,0.00E+00,9.68E+04,1.34E+05,2.61E+05,1.59E+04,1.29E+04,2.51E+04,7.33E+02,1.08E+03,1.17E+03
1.5,0.00E+00,4.79E+04,4.38E+04,8.47E+04,7.20E+03,4.51E+03,8.74E+03,1.65E+02,2.43E+02,5.27E+02
2,0.00E+00,2.75E+04,1.89E+04,3.64E+04,4.00E+03,2.05E+03,3.94E+03,5.45E+01,8.01E+01,2.91E+02
3,0.00E+00,1.18E+04,5.48E+03,1.05E+04,1.67E+03,6.27E+02,1.20E+03,1.07E+01,1.56E+01,1.22E+02
4,0.00E+00,6.23E+03,2.19E+03,4.17E+03,8.73E+02,2.59E+02,4.92E+02,3.20E+00,4.67E+00,6.35E+01
5,0.00E+00,3.71E+03,1.06E+03,2.00E+03,5.17E+02,1.27E+02,2.41E+02,1.24E+00,1.79E+00,3.76E+01
5.4342,0.00E+00,3.04E+03,8.01E+02,1.51E+03,4.24E+02,9.69E+01,1.83E+02,8.65E-01,1.25E+00,3.08E+01
5.4777,4.33E+04,2.99E+03,7.80E+02,1.47E+03,4.16E+02,9.45E+01,1.79E+02,8.36E-01,1.21E+00,3.02E+01
6,3.49E+04,2.40E+03,5.75E+02,1.08E+03,3.33E+02,7.01E+01,1.32E+02,5.65E-01,8.16E-01,2.42E+01
8,1.66E+04,1.18E+03,2.16E+02,4.04E+02,1.63E+02,2.68E+01,5.02E+01,1.62E-01,2.33E-01,1.19E+01
10,9.13E+03,6.64E+02,9.92E+01,1.85E+02,9.22E+01,1.25E+01,2.32E+01,6.01E-02,8.61E-02,6.70E+00
15,2.97E+03,2.26E+02,2.33E+01,4.29E+01,3.14E+01,2.99E+00,5.50E+00,9.53E-03,1.35E-02,2.29E+00
20,1.31E+03,1.02E+02,8.17E+00,1.49E+01,1.43E+01,1.06E+00,1.92E+00,2.54E-03,3.58E-03,1.04E+00
30,3.98E+02,3.22E+01,1.81E+00,3.24E+00,4.51E+00,2.37E-01,4.23E-01,3.88E-04,5.40E-04,3.28E-01
40,1.68E+02,1.39E+01,6.15E-01,1.08E+00,1.95E+00,8.09E-02,1.42E-01,1.02E-04,1.40E-04,1.42E-01
50,8.52E+01,7.14E+00,2.65E-01,4.59E-01,1.00E+00,3.50E-02,6.05E-02,3.61E-05,4.92E-05,7.30E-02
60,4.87E+01,4.13E+00,1.33E-01,2.27E-01,5.80E-01,1.76E-02,3.00E-02,1.55E-05,2.10E-05,4.22E-02
80,2.00E+01,1.72E+00,4.49E-02,7.52E-02,2.42E-01,5.97E-03,9.96E-03,4.13E-06,5.51E-06,1.76E-02
100,1.00E+01,8.67E-01,1.95E-02,3.20E-02,1.22E-01,2.60E-03,4.25E-03,1.50E-06,1.99E-06,8.89E-03
150,2.84E+00,2.49E-01,4.40E-03,6.97E-03,3.51E-02,5.87E-04,9.28E-04,2.52E-07,3.26E-07,2.55E-03
200,1.17E+00,1.03E-01,1.58E-03,2.44E-03,1.45E-02,2.11E-04,3.26E-04,7.43E-08,9.65E-08,1.06E-03
300,3.46E-01,3.07E-02,3.99E-04,6.02E-04,4.34E-03,5.33E-05,8.05E-05,1.47E-08,1.94E-08,3.16E-04
400,1.52E-01,1.35E-02,1.60E-04,2.41E-04,1.91E-03,2.13E-05,3.22E-05,4.97E-09,6.92E-09,1.39E-04
500,8.33E-02,7.42E-03,8.16E-05,1.25E-04,1.05E-03,1.09E-05,1.67E-05,2.28E-09,3.31E-09,7.64E-05
600,5.24E-02,4.67E-03,4.86E-05,7.56E-05,6.60E-04,6.49E-06,1.01E-05,1.23E-09,1.93E-09,4.81E-05
800,2.66E-02,2.38E-03,2.27E-05,3.71E-05,3.36E-04,3.03E-06,4.96E-06,5.09E-10,8.81E-10,2.45E-05
1000,1.66E-02,1.48E-03,1.32E-05,2.25E-05,2.09E-04,1.76E-06,3.02E-06,2.74E-10,5.16E-10,1.53E-05
1500,7.74E-03,6.90E-04,5.50E-06,1.03E-05,9.75E-05,7.33E-07,1.37E-06,1.11E-10,2.32E-10,7.24E-06
