PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.11E+04,4.01E+04,1.31E+05,1.86E+05,2.80E+05,2.93E+05,3.76E+05,1.14E+04,9.95E+03,2.58E+04,1.59E+04,2.25E+04,5.38E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.57E+04,2.90E+04,7.73E+04,1.05E+05,1.52E+05,9.04E+04,1.15E+05,6.18E+03,5.98E+03,1.39E+04,8.31E+03,1.15E+04,2.79E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.73E+04,2.08E+04,5.00E+04,6.14E+04,8.75E+04,3.60E+04,4.54E+04,3.92E+03,3.99E+03,8.68E+03,4.80E+03,6.53E+03,1.72E+02
2.1266,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.58E+04,1.92E+04,4.52E+04,5.42E+04,7.70E+04,2.93E+04,3.70E+04,3.55E+03,3.64E+03,7.81E+03,4.23E+03,5.74E+03,1.55E+02
2.1436,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.60E+04,1.56E+04,1.90E+04,4.46E+04,5.33E+04,7.57E+04,2.85E+04,3.60E+04,3.50E+03,3.60E+03,7.70E+03,4.16E+03,5.64E+03,1.53E+02
2.2102,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.95E+05,1.49E+04,1.82E+04,4.25E+04,5.01E+04,7.09E+04,2.57E+04,3.24E+04,3.33E+03,3.44E+03,7.31E+03,3.90E+03,5.28E+03,1.45E+02
2.2279,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.93E+04,4.96E+05,1.48E+04,1.80E+04,4.19E+04,4.92E+04,6.97E+04,2.51E+04,3.16E+04,3.29E+03,3.40E+03,7.21E+03,3.83E+03,5.19E+03,1.43E+02
2.6342,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.34E+05,3.29E+05,1.14E+04,1.42E+04,3.15E+04,3.42E+04,4.79E+04,1.41E+04,1.77E+04,2.49E+03,2.62E+03,5.35E+03,2.66E+03,3.57E+03,1.07E+02
2.6553,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.15E+05,2.29E+05,3.22E+05,1.13E+04,1.40E+04,3.11E+04,3.36E+04,4.70E+04,1.37E+04,1.72E+04,2.46E+03,2.58E+03,5.27E+03,2.61E+03,3.50E+03,1.06E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.82E+04,1.65E+05,2.31E+05,9.31E+03,1.17E+04,2.50E+04,2.53E+04,3.52E+04,8.87E+03,1.11E+04,2.00E+03,2.12E+03,4.21E+03,1.97E+03,2.63E+03,8.52E+01
