PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,7s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.16E+04,1.51E+05,2.08E+05,3.29E+05,5.86E+05,7.54E+05,1.56E+04,1.31E+04,4.33E+04,4.19E+04,6.27E+04,3.21E+03,2.19E+03,6.05E+03,1.21E+02
1.1306,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.99E+04,1.33E+05,1.90E+05,2.93E+05,4.32E+05,5.54E+05,1.31E+04,1.15E+04,3.63E+04,3.57E+04,5.29E+04,2.66E+03,1.88E+03,5.03E+03,9.85E+01
1.1397,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.74E+04,2.98E+04,1.32E+05,1.89E+05,2.91E+05,4.24E+05,5.43E+05,1.30E+04,1.14E+04,3.59E+04,3.53E+04,5.23E+04,2.62E+03,1.87E+03,4.97E+03,9.72E+01
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.63E+04,2.67E+04,9.53E+04,1.37E+05,2.03E+05,2.01E+05,2.56E+05,8.70E+03,8.34E+03,2.37E+04,2.35E+04,3.39E+04,1.70E+03,1.31E+03,3.23E+03,6.07E+01
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.89E+04,2.13E+04,6.37E+04,8.68E+04,1.25E+05,8.54E+04,1.08E+05,5.61E+03,5.81E+03,1.50E+04,1.43E+04,2.02E+04,1.07E+03,8.84E+02,2.01E+03,3.68E+01
2.9957,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.08E+04,1.34E+04,3.33E+04,3.94E+04,5.50E+04,2.30E+04,2.87E+04,2.95E+03,3.28E+03,7.48E+03,6.34E+03,8.72E+03,5.47E+02,4.85E+02,9.93E+02,1.89E+01
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.08E+04,1.34E+04,3.32E+04,3.92E+04,5.48E+04,2.29E+04,2.86E+04,2.94E+03,3.28E+03,7.46E+03,6.32E+03,8.69E+03,5.46E+02,4.84E+02,9.90E+02,1.89E+01
3.0196,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.53E+05,1.07E+04,1.33E+04,3.29E+04,3.87E+04,5.40E+04,2.24E+04,2.79E+04,2.91E+03,3.25E+03,7.37E+03,6.23E+03,8.57E+03,5.40E+02,4.79E+02,9.78E+02,1.87E+01
3.1356,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.22E+05,1.01E+04,1.26E+04,3.08E+04,3.57E+04,4.96E+04,1.97E+04,2.45E+04,2.73E+03,3.07E+03,6.89E+03,5.74E+03,7.87E+03,5.06E+02,4.51E+02,9.13E+02,1.75E+01
3.1607,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.85E+05,3.15E+05,1.00E+04,1.25E+04,3.04E+04,3.50E+04,4.87E+04,1.91E+04,2.39E+04,2.70E+03,3.03E+03,6.79E+03,5.64E+03,7.73E+03,4.99E+02,4.46E+02,9.00E+02,1.73E+01
