PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2
1,1.16E+05,5.32E+03,3.57E+02,7.08E+02
1.5,3.90E+04,1.87E+03,8.57E+01,1.70E+02
2,1.75E+04,8.63E+02,3.00E+01,5.93E+01
3,5.44E+03,2.79E+02,6.51E+00,1.28E+01
4,2.32E+03,1.22E+02,2.13E+00,4.20E+00
5,1.19E+03,6.31E+01,8.84E-01,1.74E+00
6,6.82E+02,3.66E+01,4.28E-01,8.41E-01
8,2.81E+02,1.53E+01,1.36E-01,2.65E-01
10,1.40E+02,7.67E+00,5.52E-02,1.07E-01
15,3.88E+01,2.15E+00,1.06E-02,2.05E-02
20,1.54E+01,8.59E-01,3.25E-03,6.25E-03
30,4.13E+00,2.32E-01,6.11E-04,1.16E-03
40,1.61E+00,9.06E-02,1.87E-04,3.51E-04
50,7.71E-01,4.36E-02,7.46E-05,1.39E-04
60,4.23E-01,2.39E-02,3.55E-05,6.55E-05
80,1.63E-01,9.26E-03,1.11E-05,2.01E-05
100,7.82E-02,4.44E-03,4.55E-06,8.16E-06
150,2.07E-02,1.18E-03,9.39E-07,1.65E-06
200,8.17E-03,4.66E-04,3.20E-07,5.52E-07
300,2.31E-03,1.31E-04,7.55E-08,1.30E-07
400,9.89E-04,5.63E-05,2.91E-08,5.10E-08
500,5.33E-04,3.03E-05,1.45E-08,2.62E-08
600,3.32E-04,1.89E-05,8.47E-09,1.58E-08
800,1.68E-04,9.54E-06,3.86E-09,7.76E-09
1000,1.04E-04,5.93E-06,2.21E-09,4.77E-09
1500,4.91E-05,2.80E-06,9.07E-10,2.25E-09
