PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,7s1/2
15.44,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E+03,2.91E+03,4.56E+03,2.04E+03,2.52E+03,6.42E+02,7.31E+02,1.12E+03,4.75E+02,5.84E+02,4.45E+01,5.27E+01,1.59E+02,1.64E+02,2.46E+02,8.30E+01,1.01E+02,3.01E+01,2.64E+01,3.67E+01,3.11E+00
15.563,0.00E+00,0.00E+00,0.00E+00,2.63E+04,2.24E+03,2.86E+03,4.47E+03,1.99E+03,2.45E+03,6.32E+02,7.19E+02,1.10E+03,4.63E+02,5.69E+02,4.30E+01,5.09E+01,1.56E+02,1.61E+02,2.42E+02,8.09E+01,9.85E+01,2.96E+01,2.59E+01,3.60E+01,3.06E+00
18.543,0.00E+00,0.00E+00,0.00E+00,1.62E+04,1.61E+03,1.94E+03,2.88E+03,1.09E+03,1.33E+03,4.47E+02,4.86E+02,7.10E+02,2.61E+02,3.16E+02,2.02E+01,2.37E+01,1.10E+02,1.09E+02,1.56E+02,4.59E+01,5.51E+01,2.08E+01,1.75E+01,2.33E+01,2.15E+00
18.692,0.00E+00,0.00E+00,1.12E+04,1.59E+04,1.58E+03,1.90E+03,2.82E+03,1.06E+03,1.29E+03,4.40E+02,4.77E+02,6.96E+02,2.55E+02,3.08E+02,1.95E+01,2.29E+01,1.08E+02,1.07E+02,1.53E+02,4.48E+01,5.36E+01,2.05E+01,1.72E+01,2.28E+01,2.12E+00
19.232,0.00E+00,0.00E+00,1.05E+04,1.47E+04,1.50E+03,1.78E+03,2.62E+03,9.62E+02,1.16E+03,4.15E+02,4.47E+02,6.47E+02,2.32E+02,2.79E+02,1.72E+01,2.02E+01,1.02E+02,1.00E+02,1.42E+02,4.08E+01,4.87E+01,1.96E+01,1.61E+01,2.12E+01,2.00E+00
19.386,0.00E+00,5.48E+03,1.03E+04,1.44E+04,1.47E+03,1.75E+03,2.57E+03,9.36E+02,1.13E+03,4.09E+02,4.39E+02,6.34E+02,2.26E+02,2.72E+02,1.67E+01,1.95E+01,1.01E+02,9.84E+01,1.39E+02,3.97E+01,4.74E+01,1.93E+01,1.58E+01,2.08E+01,1.97E+00
20,0.00E+00,5.20E+03,9.45E+03,1.32E+04,1.39E+03,1.63E+03,2.37E+03,8.39E+02,1.01E+03,3.84E+02,4.09E+02,5.86E+02,2.03E+02,2.44E+02,1.45E+01,1.70E+01,9.44E+01,9.16E+01,1.29E+02,3.58E+01,4.26E+01,1.81E+01,1.47E+01,1.92E+01,1.85E+00
30,0.00E+00,2.49E+03,3.33E+03,4.08E+03,6.12E+02,6.19E+02,8.05E+02,1.99E+02,2.31E+02,1.66E+02,1.55E+02,2.00E+02,5.08E+01,5.87E+01,2.39E+00,2.74E+00,4.06E+01,3.48E+01,4.42E+01,9.04E+00,1.03E+01,7.78E+00,5.58E+00,6.58E+00,7.95E-01
40,0.00E+00,1.40E+03,1.52E+03,1.72E+03,3.33E+02,2.99E+02,3.59E+02,6.96E+01,7.84E+01,8.95E+01,7.53E+01,9.01E+01,1.83E+01,2.05E+01,6.51E-01,7.34E-01,2.18E+01,1.69E+01,1.99E+01,3.27E+00,3.61E+00,4.18E+00,2.71E+00,2.97E+00,4.27E-01
50,0.00E+00,8.78E+02,8.18E+02,8.69E+02,2.04E+02,1.66E+02,1.88E+02,3.05E+01,3.34E+01,5.47E+01,4.22E+01,4.75E+01,8.16E+00,8.92E+00,2.35E-01,2.62E-01,1.33E+01,9.46E+00,1.05E+01,1.46E+00,1.58E+00,2.55E+00,1.52E+00,1.57E+00,2.60E-01
60,0.00E+00,5.90E+02,4.89E+02,4.93E+02,1.36E+02,1.02E+02,1.10E+02,1.54E+01,1.66E+01,3.62E+01,2.60E+01,2.79E+01,4.19E+00,4.48E+00,1.02E-01,1.12E-01,8.81E+00,5.83E+00,6.17E+00,7.53E-01,7.93E-01,1.68E+00,9.37E-01,9.20E-01,1.72E-01
80,0.00E+00,3.07E+02,2.14E+02,1.99E+02,6.99E+01,4.65E+01,4.62E+01,5.23E+00,5.43E+00,1.86E+01,1.19E+01,1.18E+01,1.45E+00,1.49E+00,2.75E-02,2.96E-02,4.52E+00,2.68E+00,2.61E+00,2.61E-01,2.66E-01,8.65E-01,4.30E-01,3.90E-01,8.83E-02
100,0.00E+00,1.82E+02,1.12E+02,9.81E+01,4.12E+01,2.50E+01,2.33E+01,2.26E+00,2.28E+00,1.10E+01,6.43E+00,5.98E+00,6.31E-01,6.35E-01,9.95E-03,1.06E-02,2.67E+00,1.45E+00,1.33E+00,1.14E-01,1.13E-01,5.09E-01,2.33E-01,1.98E-01,5.20E-02
104.34,0.00E+00,1.65E+02,9.91E+01,8.57E+01,3.72E+01,2.22E+01,2.04E+01,1.92E+00,1.93E+00,9.90E+00,5.71E+00,5.26E+00,5.39E-01,5.40E-01,8.21E-03,8.68E-03,2.41E+00,1.29E+00,1.16E+00,9.77E-02,9.63E-02,4.60E-01,2.07E-01,1.74E-01,4.70E-02
105.17,1.55E+03,1.62E+02,9.69E+01,8.36E+01,3.65E+01,2.17E+01,1.99E+01,1.87E+00,1.88E+00,9.71E+00,5.59E+00,5.13E+00,5.24E-01,5.24E-01,7.91E-03,8.37E-03,2.36E+00,1.26E+00,1.14E+00,9.48E-02,9.34E-02,4.51E-01,2.02E-01,1.70E-01,4.61E-02
150,6.34E+02,6.86E+01,3.46E+01,2.70E+01,1.55E+01,8.00E+00,6.65E+00,4.96E-01,4.79E-01,4.10E+00,2.07E+00,1.72E+00,1.41E-01,1.36E-01,1.62E-03,1.66E-03,9.99E-01,4.69E-01,3.82E-01,2.56E-02,2.43E-02,1.91E-01,7.52E-02,5.71E-02,1.95E-02
200,3.02E+02,3.38E+01,1.51E+01,1.09E+01,7.62E+00,3.57E+00,2.74E+00,1.73E-01,1.62E-01,2.02E+00,9.28E-01,7.11E-01,4.95E-02,4.64E-02,4.62E-04,4.66E-04,4.93E-01,2.10E-01,1.58E-01,9.02E-03,8.32E-03,9.40E-02,3.37E-02,2.36E-02,9.60E-03
300,1.07E+02,1.25E+01,4.83E+00,3.14E+00,2.83E+00,1.17E+00,8.05E-01,4.11E-02,3.78E-02,7.50E-01,3.05E-01,2.10E-01,1.19E-02,1.09E-02,8.51E-05,8.59E-05,1.83E-01,6.92E-02,4.67E-02,2.17E-03,1.96E-03,3.49E-02,1.11E-02,6.99E-03,3.56E-03
400,5.26E+01,6.28E+00,2.22E+00,1.35E+00,1.42E+00,5.43E-01,3.50E-01,1.56E-02,1.44E-02,3.77E-01,1.42E-01,9.15E-02,4.52E-03,4.14E-03,2.74E-05,2.84E-05,9.19E-02,3.23E-02,2.04E-02,8.26E-04,7.47E-04,1.75E-02,5.17E-03,3.05E-03,1.79E-03
500,3.10E+01,3.74E+00,1.25E+00,7.28E-01,8.46E-01,3.07E-01,1.89E-01,7.67E-03,7.15E-03,2.25E-01,8.06E-02,4.95E-02,2.24E-03,2.07E-03,1.24E-05,1.29E-05,5.47E-02,1.83E-02,1.10E-02,4.08E-04,3.73E-04,1.04E-02,2.93E-03,1.65E-03,1.07E-03
600,2.05E+01,2.48E+00,7.94E-01,4.48E-01,5.62E-01,1.96E-01,1.17E-01,4.39E-03,4.16E-03,1.49E-01,5.15E-02,3.06E-02,1.28E-03,1.20E-03,6.53E-06,6.87E-06,3.63E-02,1.17E-02,6.83E-03,2.34E-04,2.18E-04,6.93E-03,1.87E-03,1.02E-03,7.11E-04
800,1.10E+01,1.34E+00,4.04E-01,2.19E-01,3.02E-01,1.00E-01,5.73E-02,1.93E-03,1.89E-03,8.03E-02,2.64E-02,1.50E-02,5.63E-04,5.48E-04,2.50E-06,2.92E-06,1.96E-02,5.99E-03,3.34E-03,1.03E-04,9.91E-05,3.73E-03,9.59E-04,5.01E-04,3.84E-04
1000,6.96E+00,8.47E-01,2.48E-01,1.31E-01,1.91E-01,6.17E-02,3.42E-02,1.08E-03,1.08E-03,5.08E-02,1.63E-02,8.98E-03,3.16E-04,3.15E-04,1.38E-06,1.53E-06,1.24E-02,3.69E-03,2.00E-03,5.77E-05,5.69E-05,2.36E-03,5.91E-04,3.00E-04,2.44E-04
1500,3.21E+00,3.90E-01,1.11E-01,5.59E-02,8.79E-02,2.78E-02,1.46E-02,4.18E-04,4.41E-04,2.33E-02,7.30E-03,3.84E-03,1.22E-04,1.29E-04,5.52E-07,5.85E-07,5.68E-03,1.66E-03,8.57E-04,2.23E-05,2.33E-05,1.09E-03,2.66E-04,1.29E-04,1.15E-04
