PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2
1,0.00E+00,1.10E+05,1.86E+05,3.63E+05,1.96E+04,1.78E+04,3.46E+04,2.41E+03,3.54E+03,1.36E+03
1.5,0.00E+00,5.68E+04,6.31E+04,1.22E+05,9.03E+03,6.47E+03,1.25E+04,5.59E+02,8.20E+02,6.21E+02
2,0.00E+00,3.34E+04,2.78E+04,5.34E+04,5.06E+03,3.00E+03,5.77E+03,1.90E+02,2.78E+02,3.46E+02
3,0.00E+00,1.48E+04,8.27E+03,1.58E+04,2.16E+03,9.51E+02,1.81E+03,3.87E+01,5.65E+01,1.47E+02
4,0.00E+00,7.94E+03,3.37E+03,6.38E+03,1.14E+03,4.02E+02,7.61E+02,1.19E+01,1.73E+01,7.81E+01
5,0.00E+00,4.79E+03,1.64E+03,3.10E+03,6.85E+02,2.01E+02,3.78E+02,4.67E+00,6.77E+00,4.68E+01
6,0.00E+00,3.13E+03,9.04E+02,1.70E+03,4.46E+02,1.12E+02,2.11E+02,2.14E+00,3.09E+00,3.04E+01
6.5044,0.00E+00,2.58E+03,6.91E+02,1.29E+03,3.67E+02,8.64E+01,1.62E+02,1.52E+00,2.18E+00,2.50E+01
6.5565,3.57E+04,2.53E+03,6.73E+02,1.26E+03,3.60E+02,8.42E+01,1.58E+02,1.47E+00,2.11E+00,2.46E+01
8,2.19E+04,1.56E+03,3.45E+02,6.41E+02,2.21E+02,4.37E+01,8.14E+01,6.20E-01,8.88E-01,1.51E+01
10,1.22E+04,8.90E+02,1.60E+02,2.96E+02,1.26E+02,2.06E+01,3.82E+01,2.34E-01,3.34E-01,8.62E+00
15,4.04E+03,3.09E+02,3.85E+01,7.03E+01,4.39E+01,5.07E+00,9.25E+00,3.82E-02,5.41E-02,3.00E+00
20,1.79E+03,1.42E+02,1.37E+01,2.47E+01,2.02E+01,1.82E+00,3.28E+00,1.03E-02,1.45E-02,1.38E+00
30,5.54E+02,4.54E+01,3.10E+00,5.47E+00,6.50E+00,4.17E-01,7.37E-01,1.60E-03,2.22E-03,4.43E-01
40,2.36E+02,1.98E+01,1.06E+00,1.85E+00,2.84E+00,1.45E-01,2.51E-01,4.26E-04,5.83E-04,1.94E-01
50,1.21E+02,1.03E+01,4.62E-01,7.92E-01,1.47E+00,6.31E-02,1.08E-01,1.52E-04,2.07E-04,1.01E-01
60,6.92E+01,5.97E+00,2.34E-01,3.95E-01,8.57E-01,3.20E-02,5.39E-02,6.60E-05,8.86E-05,5.85E-02
80,2.87E+01,2.51E+00,7.98E-02,1.32E-01,3.61E-01,1.10E-02,1.80E-02,1.78E-05,2.35E-05,2.46E-02
100,1.44E+01,1.27E+00,3.49E-02,5.64E-02,1.83E-01,4.80E-03,7.75E-03,6.52E-06,8.53E-06,1.25E-02
150,4.11E+00,3.68E-01,7.94E-03,1.24E-02,5.32E-02,1.10E-03,1.71E-03,1.10E-06,1.42E-06,3.63E-03
200,1.70E+00,1.54E-01,2.87E-03,4.37E-03,2.22E-02,3.98E-04,6.03E-04,3.27E-07,4.20E-07,1.52E-03
300,5.07E-01,4.61E-02,7.32E-04,1.08E-03,6.66E-03,1.01E-04,1.50E-04,6.47E-08,8.50E-08,4.55E-04
400,2.24E-01,2.04E-02,2.94E-04,4.34E-04,2.95E-03,4.07E-05,6.02E-05,2.22E-08,3.03E-08,2.02E-04
500,1.23E-01,1.12E-02,1.50E-04,2.25E-04,1.62E-03,2.09E-05,3.12E-05,1.01E-08,1.46E-08,1.11E-04
600,7.72E-02,7.06E-03,8.97E-05,1.37E-04,1.02E-03,1.24E-05,1.90E-05,5.56E-09,8.38E-09,6.98E-05
800,3.93E-02,3.60E-03,4.21E-05,6.68E-05,5.20E-04,5.83E-06,9.28E-06,2.29E-09,3.81E-09,3.56E-05
1000,2.45E-02,2.24E-03,2.45E-05,4.07E-05,3.24E-04,3.40E-06,5.65E-06,1.23E-09,2.22E-09,2.22E-05
1500,1.14E-02,1.04E-03,1.03E-05,1.84E-05,1.51E-04,1.42E-06,2.56E-06,4.65E-10,9.71E-10,1.05E-05
