PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,5s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.60E+04,6.05E+04,1.20E+05,8.03E+04,1.17E+05,6.90E+03,6.44E+03,1.26E+04,1.93E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.35E+04,2.77E+04,5.35E+04,2.27E+04,3.30E+04,3.37E+03,2.86E+03,5.49E+03,9.33E+01
1.8032,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.70E+04,1.87E+04,3.58E+04,1.24E+04,1.80E+04,2.40E+03,1.92E+03,3.65E+03,6.74E+01
1.8176,0.00E+00,0.00E+00,0.00E+00,3.22E+05,1.67E+04,1.83E+04,3.51E+04,1.21E+04,1.75E+04,2.36E+03,1.89E+03,3.59E+03,6.64E+01
1.8653,0.00E+00,0.00E+00,0.00E+00,3.04E+05,1.60E+04,1.73E+04,3.31E+04,1.11E+04,1.61E+04,2.25E+03,1.78E+03,3.38E+03,6.32E+01
1.8802,0.00E+00,0.00E+00,1.53E+05,2.99E+05,1.58E+04,1.70E+04,3.25E+04,1.08E+04,1.56E+04,2.22E+03,1.75E+03,3.32E+03,6.23E+01
2,0.00E+00,0.00E+00,1.36E+05,2.62E+05,1.41E+04,1.48E+04,2.82E+04,8.76E+03,1.27E+04,1.97E+03,1.52E+03,2.88E+03,5.54E+01
2.0461,0.00E+00,0.00E+00,1.29E+05,2.48E+05,1.35E+04,1.41E+04,2.68E+04,8.11E+03,1.17E+04,1.89E+03,1.44E+03,2.73E+03,5.31E+01
2.0625,0.00E+00,6.44E+04,1.27E+05,2.43E+05,1.33E+04,1.38E+04,2.63E+04,7.89E+03,1.14E+04,1.86E+03,1.42E+03,2.68E+03,5.23E+01
3,0.00E+00,3.46E+04,4.72E+04,8.84E+04,6.55E+03,5.61E+03,1.05E+04,2.12E+03,3.05E+03,9.01E+02,5.76E+02,1.07E+03,2.52E+01
4,0.00E+00,2.06E+04,2.11E+04,3.90E+04,3.69E+03,2.67E+03,4.94E+03,7.36E+02,1.05E+03,5.04E+02,2.75E+02,5.07E+02,1.41E+01
5,0.00E+00,1.34E+04,1.11E+04,2.02E+04,2.33E+03,1.46E+03,2.67E+03,3.16E+02,4.50E+02,3.16E+02,1.50E+02,2.75E+02,8.85E+00
6,0.00E+00,9.26E+03,6.42E+03,1.16E+04,1.58E+03,8.72E+02,1.59E+03,1.56E+02,2.21E+02,2.14E+02,9.03E+01,1.64E+02,5.98E+00
8,0.00E+00,5.02E+03,2.66E+03,4.75E+03,8.38E+02,3.77E+02,6.77E+02,4.96E+01,7.01E+01,1.13E+02,3.92E+01,7.02E+01,3.17E+00
10,0.00E+00,3.05E+03,1.31E+03,2.32E+03,5.05E+02,1.92E+02,3.41E+02,2.00E+01,2.80E+01,6.81E+01,2.01E+01,3.54E+01,1.91E+00
15,0.00E+00,1.18E+03,3.52E+02,6.09E+02,1.93E+02,5.39E+01,9.34E+01,3.66E+00,5.07E+00,2.60E+01,5.67E+00,9.75E+00,7.28E-01
15.144,0.00E+00,1.15E+03,3.41E+02,5.89E+02,1.89E+02,5.22E+01,9.06E+01,3.51E+00,4.87E+00,2.54E+01,5.50E+00,9.45E+00,7.11E-01
15.265,1.44E+04,1.13E+03,3.32E+02,5.74E+02,1.85E+02,5.09E+01,8.82E+01,3.40E+00,4.70E+00,2.49E+01,5.36E+00,9.21E+00,6.97E-01
20,7.24E+03,5.77E+02,1.34E+02,2.29E+02,9.47E+01,2.11E+01,3.60E+01,1.07E+00,1.46E+00,1.28E+01,2.23E+00,3.76E+00,3.57E-01
30,2.42E+03,2.03E+02,3.35E+01,5.55E+01,3.33E+01,5.41E+00,8.97E+00,1.84E-01,2.47E-01,4.49E+00,5.73E-01,9.42E-01,1.25E-01
40,1.08E+03,9.38E+01,1.23E+01,1.99E+01,1.54E+01,2.01E+00,3.26E+00,5.20E-02,6.91E-02,2.08E+00,2.14E-01,3.43E-01,5.82E-02
50,5.74E+02,5.08E+01,5.61E+00,8.90E+00,8.38E+00,9.28E-01,1.47E+00,1.95E-02,2.56E-02,1.13E+00,9.86E-02,1.55E-01,3.16E-02
60,3.39E+02,3.05E+01,2.94E+00,4.59E+00,5.04E+00,4.90E-01,7.65E-01,8.75E-03,1.13E-02,6.81E-01,5.21E-02,8.07E-02,1.90E-02
80,1.46E+02,1.35E+01,1.06E+00,1.61E+00,2.23E+00,1.78E-01,2.71E-01,2.49E-03,3.15E-03,3.01E-01,1.90E-02,2.86E-02,8.41E-03
100,7.53E+01,7.08E+00,4.84E-01,7.14E-01,1.17E+00,8.16E-02,1.21E-01,9.49E-04,1.19E-03,1.59E-01,8.70E-03,1.28E-02,4.43E-03
150,2.25E+01,2.17E+00,1.18E-01,1.66E-01,3.60E-01,2.00E-02,2.82E-02,1.71E-04,2.09E-04,4.87E-02,2.13E-03,2.98E-03,1.36E-03
200,9.57E+00,9.36E-01,4.42E-02,6.02E-02,1.56E-01,7.56E-03,1.03E-02,5.27E-05,6.41E-05,2.11E-02,8.06E-04,1.09E-03,5.89E-04
300,2.95E+00,2.93E-01,1.17E-02,1.55E-02,4.88E-02,2.02E-03,2.65E-03,1.09E-05,1.34E-05,6.60E-03,2.15E-04,2.81E-04,1.84E-04
400,1.32E+00,1.32E-01,4.83E-03,6.29E-03,2.21E-02,8.33E-04,1.08E-03,3.81E-06,4.84E-06,2.99E-03,8.88E-05,1.15E-04,8.37E-05
500,7.36E-01,7.38E-02,2.52E-03,3.29E-03,1.23E-02,4.35E-04,5.66E-04,1.78E-06,2.32E-06,1.67E-03,4.64E-05,6.00E-05,4.67E-05
600,4.66E-01,4.69E-02,1.53E-03,2.00E-03,7.82E-03,2.63E-04,3.45E-04,9.72E-07,1.35E-06,1.06E-03,2.80E-05,3.66E-05,2.97E-05
800,2.39E-01,2.41E-02,7.26E-04,9.81E-04,4.02E-03,1.25E-04,1.69E-04,4.13E-07,6.07E-07,5.44E-04,1.33E-05,1.80E-05,1.53E-05
1000,1.49E-01,1.50E-02,4.28E-04,5.94E-04,2.50E-03,7.36E-05,1.03E-04,2.19E-07,3.60E-07,3.39E-04,7.84E-06,1.09E-05,9.62E-06
1500,6.92E-02,6.95E-03,1.81E-04,2.68E-04,1.16E-03,3.12E-05,4.61E-05,8.09E-08,1.54E-07,1.57E-04,3.32E-06,4.92E-06,4.60E-06
