PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2
10.277,0.00E+00,0.00E+00,0.00E+00,4.23E+04,3.45E+03,4.05E+03,6.78E+03,2.89E+03,3.78E+03,8.96E+02,9.24E+02,1.51E+03,5.79E+02,7.51E+02,3.71E+01,4.51E+01,1.64E+02,1.41E+02,2.21E+02,1.62E+01,2.00E+01,1.59E+01
11.562,0.00E+00,0.00E+00,0.00E+00,3.09E+04,2.76E+03,3.09E+03,5.07E+03,1.93E+03,2.50E+03,7.10E+02,7.05E+02,1.13E+03,3.93E+02,5.07E+02,2.22E+01,2.69E+01,1.30E+02,1.07E+02,1.65E+02,1.10E+01,1.35E+01,1.26E+01
11.655,0.00E+00,0.00E+00,1.88E+04,3.02E+04,2.72E+03,3.04E+03,4.97E+03,1.87E+03,2.43E+03,6.99E+02,6.92E+02,1.11E+03,3.83E+02,4.93E+02,2.14E+01,2.60E+01,1.28E+02,1.05E+02,1.62E+02,1.07E+01,1.32E+01,1.24E+01
12.069,0.00E+00,0.00E+00,1.75E+04,2.76E+04,2.54E+03,2.80E+03,4.55E+03,1.66E+03,2.15E+03,6.52E+02,6.38E+02,1.02E+03,3.41E+02,4.38E+02,1.84E+01,2.22E+01,1.19E+02,9.71E+01,1.49E+02,9.56E+00,1.17E+01,1.15E+01
12.166,0.00E+00,9.58E+03,1.71E+04,2.70E+04,2.50E+03,2.75E+03,4.46E+03,1.62E+03,2.09E+03,6.41E+02,6.26E+02,9.95E+02,3.32E+02,4.27E+02,1.78E+01,2.15E+01,1.17E+02,9.53E+01,1.46E+02,9.31E+00,1.14E+01,1.13E+01
15,0.00E+00,6.72E+03,1.00E+04,1.51E+04,1.65E+03,1.67E+03,2.60E+03,7.72E+02,9.86E+02,4.19E+02,3.80E+02,5.82E+02,1.63E+02,2.07E+02,6.98E+00,8.39E+00,7.63E+01,5.77E+01,8.52E+01,4.60E+00,5.54E+00,7.39E+00
20,0.00E+00,3.90E+03,4.55E+03,6.49E+03,9.17E+02,8.10E+02,1.20E+03,2.73E+02,3.41E+02,2.30E+02,1.85E+02,2.70E+02,5.97E+01,7.41E+01,1.89E+00,2.25E+00,4.17E+01,2.82E+01,3.96E+01,1.69E+00,1.99E+00,4.04E+00
30,0.00E+00,1.71E+03,1.44E+03,1.90E+03,3.84E+02,2.77E+02,3.79E+02,6.01E+01,7.29E+01,9.53E+01,6.38E+01,8.64E+01,1.37E+01,1.64E+01,2.88E-01,3.34E-01,1.73E+01,9.80E+00,1.27E+01,3.88E-01,4.44E-01,1.67E+00
40,0.00E+00,9.13E+02,6.21E+02,7.74E+02,2.02E+02,1.25E+02,1.62E+02,2.00E+01,2.37E+01,4.98E+01,2.89E+01,3.71E+01,4.64E+00,5.44E+00,7.44E-02,8.50E-02,9.00E+00,4.45E+00,5.45E+00,1.32E-01,1.47E-01,8.72E-01
50,0.00E+00,5.50E+02,3.19E+02,3.80E+02,1.20E+02,6.60E+01,8.19E+01,8.44E+00,9.76E+00,2.97E+01,1.54E+01,1.89E+01,1.98E+00,2.27E+00,2.58E-02,2.91E-02,5.39E+00,2.37E+00,2.78E+00,5.66E-02,6.18E-02,5.19E-01
60,0.00E+00,3.59E+02,1.84E+02,2.11E+02,7.81E+01,3.89E+01,4.65E+01,4.14E+00,4.71E+00,1.92E+01,9.11E+00,1.08E+01,9.83E-01,1.11E+00,1.09E-02,1.21E-02,3.49E+00,1.40E+00,1.59E+00,2.81E-02,3.01E-02,3.36E-01
69.646,0.00E+00,2.51E+02,1.17E+02,1.30E+02,5.45E+01,2.51E+01,2.91E+01,2.31E+00,2.59E+00,1.34E+01,5.90E+00,6.77E+00,5.53E-01,6.13E-01,5.36E-03,5.93E-03,2.44E+00,9.10E-01,9.97E-01,1.58E-02,1.67E-02,2.35E-01
70.203,2.58E+03,2.46E+02,1.14E+02,1.27E+02,5.35E+01,2.45E+01,2.84E+01,2.24E+00,2.51E+00,1.32E+01,5.76E+00,6.60E+00,5.36E-01,5.94E-01,5.16E-03,5.71E-03,2.39E+00,8.89E-01,9.72E-01,1.53E-02,1.62E-02,2.30E-01
80,1.84E+03,1.79E+02,7.64E+01,8.27E+01,3.88E+01,1.67E+01,1.88E+01,1.35E+00,1.48E+00,9.56E+00,3.93E+00,4.37E+00,3.23E-01,3.53E-01,2.78E-03,3.05E-03,1.73E+00,6.06E-01,6.44E-01,9.26E-03,9.64E-03,1.67E-01
100,1.03E+03,1.03E+02,3.85E+01,3.98E+01,2.23E+01,8.58E+00,9.20E+00,5.63E-01,6.07E-01,5.49E+00,2.03E+00,2.15E+00,1.36E-01,1.46E-01,9.76E-04,1.06E-03,9.96E-01,3.13E-01,3.17E-01,3.91E-03,3.98E-03,9.59E-02
150,3.51E+02,3.67E+01,1.11E+01,1.05E+01,7.96E+00,2.55E+00,2.50E+00,1.18E-01,1.22E-01,1.96E+00,6.07E-01,5.88E-01,2.88E-02,2.95E-02,1.51E-04,1.60E-04,3.55E-01,9.38E-02,8.68E-02,8.28E-04,8.10E-04,3.42E-02
200,1.61E+02,1.74E+01,4.67E+00,4.14E+00,3.79E+00,1.09E+00,9.99E-01,3.98E-02,4.04E-02,9.34E-01,2.59E-01,2.35E-01,9.80E-03,9.82E-03,4.21E-05,4.41E-05,1.69E-01,4.01E-02,3.48E-02,2.82E-04,2.70E-04,1.63E-02
300,5.48E+01,6.15E+00,1.42E+00,1.16E+00,1.34E+00,3.36E-01,2.85E-01,9.15E-03,9.18E-03,3.31E-01,8.05E-02,6.73E-02,2.27E-03,2.24E-03,7.55E-06,7.93E-06,6.00E-02,1.24E-02,9.95E-03,6.51E-05,6.18E-05,5.78E-03
400,2.62E+01,2.99E+00,6.33E-01,4.94E-01,6.55E-01,1.51E-01,1.22E-01,3.40E-03,3.45E-03,1.61E-01,3.63E-02,2.89E-02,8.45E-04,8.47E-04,2.40E-06,2.57E-06,2.93E-02,5.61E-03,4.27E-03,2.43E-05,2.33E-05,2.82E-03
500,1.51E+01,1.75E+00,3.48E-01,2.64E-01,3.82E-01,8.34E-02,6.54E-02,1.64E-03,1.70E-03,9.43E-02,2.01E-02,1.55E-02,4.08E-04,4.18E-04,1.03E-06,1.15E-06,1.71E-02,3.10E-03,2.29E-03,1.17E-05,1.15E-05,1.65E-03
600,9.87E+00,1.14E+00,2.18E-01,1.62E-01,2.50E-01,5.24E-02,4.03E-02,9.29E-04,9.85E-04,6.17E-02,1.26E-02,9.56E-03,2.32E-04,2.43E-04,5.38E-07,6.23E-07,1.12E-02,1.95E-03,1.42E-03,6.66E-06,6.72E-06,1.08E-03
800,5.21E+00,6.06E-01,1.09E-01,7.95E-02,1.33E-01,2.63E-02,1.98E-02,4.06E-04,4.48E-04,3.27E-02,6.33E-03,4.69E-03,1.01E-04,1.11E-04,2.10E-07,2.63E-07,5.93E-03,9.79E-04,6.95E-04,2.91E-06,3.08E-06,5.73E-04
1000,3.28E+00,3.81E-01,6.61E-02,4.77E-02,8.34E-02,1.60E-02,1.19E-02,2.23E-04,2.56E-04,2.06E-02,3.85E-03,2.82E-03,5.57E-05,6.37E-05,1.05E-07,1.41E-07,3.73E-03,5.95E-04,4.18E-04,1.60E-06,1.78E-06,3.61E-04
1500,1.51E+00,1.75E-01,2.92E-02,2.07E-02,3.83E-02,7.07E-03,5.15E-03,8.54E-05,1.07E-04,9.44E-03,1.70E-03,1.22E-03,2.14E-05,2.63E-05,3.80E-08,5.45E-08,1.71E-03,2.63E-04,1.82E-04,6.15E-07,7.44E-07,1.68E-04
