PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.07E+04,4.21E+04,1.20E+05,1.69E+05,2.52E+05,1.96E+05,2.50E+05,9.61E+03,8.41E+03,2.03E+04,4.84E+03,6.85E+03,1.00E+03
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.44E+04,2.83E+04,6.94E+04,8.96E+04,1.29E+05,5.73E+04,7.27E+04,5.15E+03,4.94E+03,1.09E+04,2.44E+03,3.38E+03,5.17E+02
1.8142,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.86E+04,2.23E+04,5.17E+04,6.22E+04,8.87E+04,3.07E+04,3.88E+04,3.80E+03,3.75E+03,7.96E+03,1.68E+03,2.31E+03,3.75E+02
1.8287,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.73E+05,1.84E+04,2.21E+04,5.11E+04,6.12E+04,8.73E+04,2.99E+04,3.78E+04,3.75E+03,3.71E+03,7.85E+03,1.65E+03,2.27E+03,3.70E+02
1.8792,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.99E+05,1.77E+04,2.13E+04,4.89E+04,5.79E+04,8.24E+04,2.73E+04,3.45E+04,3.59E+03,3.56E+03,7.50E+03,1.56E+03,2.14E+03,3.54E+02
1.8942,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.14E+05,6.05E+05,1.75E+04,2.11E+04,4.83E+04,5.69E+04,8.11E+04,2.66E+04,3.36E+04,3.54E+03,3.52E+03,7.39E+03,1.54E+03,2.11E+03,3.49E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.78E+05,5.46E+05,1.61E+04,1.96E+04,4.42E+04,5.08E+04,7.21E+04,2.21E+04,2.79E+04,3.24E+03,3.24E+03,6.73E+03,1.37E+03,1.87E+03,3.18E+02
2.2689,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.76E+05,3.92E+05,1.33E+04,1.63E+04,3.57E+04,3.86E+04,5.45E+04,1.43E+04,1.80E+04,2.63E+03,2.65E+03,5.39E+03,1.04E+03,1.42E+03,2.56E+02
2.2871,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.37E+05,2.71E+05,3.83E+05,1.31E+04,1.61E+04,3.52E+04,3.79E+04,5.35E+04,1.39E+04,1.75E+04,2.59E+03,2.62E+03,5.32E+03,1.02E+03,1.39E+03,2.52E+02
2.5658,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.15E+05,2.00E+05,2.81E+05,1.09E+04,1.35E+04,2.88E+04,2.92E+04,4.08E+04,9.23E+03,1.16E+04,2.13E+03,2.17E+03,4.31E+03,7.85E+02,1.06E+03,2.06E+02
2.5864,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.65E+04,1.13E+05,1.95E+05,2.75E+05,1.08E+04,1.34E+04,2.83E+04,2.86E+04,4.01E+04,8.97E+03,1.13E+04,2.11E+03,2.14E+03,4.25E+03,7.70E+02,1.04E+03,2.03E+02
2.7951,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.19E+04,9.96E+04,1.60E+05,2.24E+05,9.52E+03,1.18E+04,2.46E+04,2.38E+04,3.32E+04,6.78E+03,8.50E+03,1.84E+03,1.88E+03,3.68E+03,6.41E+02,8.64E+02,1.77E+02
2.8175,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.77E+04,4.16E+04,9.82E+04,1.56E+05,2.19E+05,9.39E+03,1.17E+04,2.43E+04,2.33E+04,3.25E+04,6.59E+03,8.25E+03,1.82E+03,1.86E+03,3.62E+03,6.29E+02,8.48E+02,1.75E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.58E+04,3.85E+04,8.81E+04,1.32E+05,1.85E+05,8.47E+03,1.05E+04,2.16E+04,2.00E+04,2.78E+04,5.23E+03,6.55E+03,1.63E+03,1.67E+03,3.22E+03,5.40E+02,7.26E+02,1.56E+02
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.72E+04,2.53E+04,5.32E+04,5.84E+04,8.04E+04,5.19E+03,6.39E+03,1.24E+04,9.55E+03,1.31E+04,1.77E+03,2.20E+03,9.81E+02,9.94E+02,1.82E+03,2.61E+02,3.40E+02,9.50E+01
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.23E+04,1.74E+04,3.43E+04,2.99E+04,4.06E+04,3.49E+03,4.20E+03,7.80E+03,5.17E+03,7.00E+03,7.40E+02,9.16E+02,6.53E+02,6.49E+02,1.15E+03,1.42E+02,1.83E+02,6.32E+01
6,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.07E+03,1.25E+04,2.34E+04,1.69E+04,2.28E+04,2.50E+03,2.93E+03,5.27E+03,3.06E+03,4.10E+03,3.56E+02,4.38E+02,4.65E+02,4.50E+02,7.72E+02,8.44E+01,1.08E+02,4.50E+01
8,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.49E+03,6.98E+03,1.23E+04,6.69E+03,8.88E+03,1.46E+03,1.61E+03,2.75E+03,1.28E+03,1.69E+03,1.08E+02,1.32E+02,2.68E+02,2.45E+02,4.02E+02,3.56E+01,4.47E+01,2.60E+01
10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.64E+03,4.30E+03,7.25E+03,3.17E+03,4.15E+03,9.46E+02,9.83E+02,1.62E+03,6.32E+02,8.22E+02,4.18E+01,5.08E+01,1.73E+02,1.50E+02,2.36E+02,1.76E+01,2.18E+01,1.68E+01
10.195,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.51E+03,4.12E+03,6.91E+03,2.97E+03,3.88E+03,9.11E+02,9.41E+02,1.54E+03,5.94E+02,7.71E+02,3.84E+01,4.67E+01,1.67E+02,1.43E+02,2.25E+02,1.66E+01,2.05E+01,1.61E+01
