PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.19E+04,8.60E+04,1.75E+05,1.92E+05,2.80E+05,1.30E+04,1.40E+04,2.77E+04,7.79E+03,1.13E+04,4.93E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.30E+04,4.34E+04,8.52E+04,5.93E+04,8.58E+04,6.43E+03,6.62E+03,1.28E+04,2.57E+03,3.69E+03,2.40E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.03E+04,2.47E+04,4.75E+04,2.41E+04,3.48E+04,3.83E+03,3.69E+03,7.02E+03,1.09E+03,1.56E+03,1.41E+02
2.6748,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.21E+04,1.32E+04,2.49E+04,9.28E+03,1.33E+04,2.22E+03,1.95E+03,3.66E+03,4.34E+02,6.16E+02,8.32E+01
2.6962,0.00E+00,0.00E+00,0.00E+00,2.07E+05,1.19E+04,1.30E+04,2.44E+04,9.03E+03,1.29E+04,2.19E+03,1.92E+03,3.59E+03,4.23E+02,6.00E+02,8.20E+01
2.7952,0.00E+00,0.00E+00,0.00E+00,1.86E+05,1.11E+04,1.19E+04,2.25E+04,8.00E+03,1.15E+04,2.04E+03,1.77E+03,3.30E+03,3.75E+02,5.32E+02,7.65E+01
2.8176,0.00E+00,0.00E+00,9.84E+04,1.82E+05,1.10E+04,1.17E+04,2.21E+04,7.79E+03,1.11E+04,2.01E+03,1.74E+03,3.24E+03,3.66E+02,5.19E+02,7.53E+01
3,0.00E+00,0.00E+00,8.34E+04,1.57E+05,9.76E+03,1.02E+04,1.90E+04,6.29E+03,8.99E+03,1.79E+03,1.50E+03,2.79E+03,2.97E+02,4.21E+02,6.67E+01
3.0195,0.00E+00,0.00E+00,8.22E+04,1.55E+05,9.64E+03,1.00E+04,1.87E+04,6.15E+03,8.79E+03,1.76E+03,1.48E+03,2.75E+03,2.91E+02,4.12E+02,6.59E+01
3.0437,0.00E+00,4.21E+04,8.07E+04,1.52E+05,9.50E+03,9.82E+03,1.84E+04,5.98E+03,8.55E+03,1.74E+03,1.45E+03,2.70E+03,2.83E+02,4.01E+02,6.49E+01
4,0.00E+00,2.74E+04,3.93E+04,7.19E+04,5.63E+03,5.09E+03,9.38E+03,2.30E+03,3.27E+03,1.01E+03,7.52E+02,1.38E+03,1.11E+02,1.56E+02,3.79E+01
5,0.00E+00,1.84E+04,2.12E+04,3.84E+04,3.62E+03,2.89E+03,5.26E+03,1.02E+03,1.45E+03,6.46E+02,4.28E+02,7.74E+02,5.04E+01,7.02E+01,2.41E+01
6,0.00E+00,1.30E+04,1.27E+04,2.26E+04,2.49E+03,1.79E+03,3.21E+03,5.20E+02,7.32E+02,4.43E+02,2.65E+02,4.75E+02,2.59E+01,3.59E+01,1.65E+01
8,0.00E+00,7.33E+03,5.43E+03,9.52E+03,1.36E+03,8.09E+02,1.43E+03,1.73E+02,2.42E+02,2.40E+02,1.21E+02,2.13E+02,8.76E+00,1.21E+01,8.94E+00
10,0.00E+00,4.58E+03,2.76E+03,4.77E+03,8.33E+02,4.26E+02,7.44E+02,7.20E+01,1.00E+02,1.47E+02,6.39E+01,1.11E+02,3.68E+00,5.03E+00,5.47E+00
15,0.00E+00,1.85E+03,7.74E+02,1.30E+03,3.31E+02,1.27E+02,2.15E+02,1.40E+01,1.91E+01,5.81E+01,1.91E+01,3.23E+01,7.26E-01,9.77E-01,2.16E+00
20,0.00E+00,9.36E+02,3.05E+02,5.04E+02,1.67E+02,5.16E+01,8.57E+01,4.23E+00,5.72E+00,2.93E+01,7.82E+00,1.29E+01,2.21E-01,2.95E-01,1.09E+00
20.991,0.00E+00,8.32E+02,2.60E+02,4.28E+02,1.48E+02,4.42E+01,7.32E+01,3.45E+00,4.66E+00,2.60E+01,6.71E+00,1.11E+01,1.81E-01,2.40E-01,9.67E-01
21.159,1.00E+04,8.16E+02,2.54E+02,4.17E+02,1.45E+02,4.31E+01,7.13E+01,3.34E+00,4.50E+00,2.55E+01,6.54E+00,1.08E+01,1.75E-01,2.32E-01,9.49E-01
30,4.09E+03,3.42E+02,7.94E+01,1.27E+02,6.08E+01,1.39E+01,2.24E+01,7.58E-01,1.01E+00,1.07E+01,2.13E+00,3.39E+00,4.00E-02,5.22E-02,3.97E-01
40,1.87E+03,1.62E+02,3.00E+01,4.67E+01,2.89E+01,5.36E+00,8.39E+00,2.21E-01,2.88E-01,5.08E+00,8.21E-01,1.27E+00,1.17E-02,1.50E-02,1.89E-01
50,1.01E+03,8.97E+01,1.40E+01,2.13E+01,1.60E+01,2.53E+00,3.87E+00,8.46E-02,1.09E-01,2.81E+00,3.88E-01,5.89E-01,4.50E-03,5.70E-03,1.04E-01
60,6.03E+02,5.47E+01,7.45E+00,1.11E+01,9.75E+00,1.36E+00,2.04E+00,3.86E-02,4.92E-02,1.72E+00,2.09E-01,3.12E-01,2.06E-03,2.58E-03,6.37E-02
80,2.64E+02,2.47E+01,2.76E+00,3.99E+00,4.41E+00,5.10E-01,7.40E-01,1.13E-02,1.40E-02,7.76E-01,7.86E-02,1.13E-01,6.02E-04,7.38E-04,2.88E-02
100,1.38E+02,1.32E+01,1.28E+00,1.80E+00,2.36E+00,2.38E-01,3.36E-01,4.36E-03,5.36E-03,4.15E-01,3.67E-02,5.14E-02,2.33E-04,2.82E-04,1.54E-02
150,4.21E+01,4.14E+00,3.20E-01,4.27E-01,7.45E-01,6.02E-02,8.07E-02,8.07E-04,9.61E-04,1.31E-01,9.31E-03,1.24E-02,4.32E-05,5.10E-05,4.87E-03
200,1.82E+01,1.82E+00,1.23E-01,1.57E-01,3.28E-01,2.32E-02,2.99E-02,2.53E-04,2.98E-04,5.77E-02,3.59E-03,4.59E-03,1.36E-05,1.59E-05,2.14E-03
300,5.68E+00,5.80E-01,3.34E-02,4.11E-02,1.05E-01,6.35E-03,7.84E-03,5.34E-05,6.33E-05,1.84E-02,9.83E-04,1.20E-03,2.86E-06,3.38E-06,6.85E-04
400,2.58E+00,2.66E-01,1.39E-02,1.69E-02,4.80E-02,2.66E-03,3.23E-03,1.89E-05,2.30E-05,8.46E-03,4.11E-04,4.96E-04,1.01E-06,1.23E-06,3.14E-04
500,1.44E+00,1.49E-01,7.33E-03,8.86E-03,2.69E-02,1.40E-03,1.70E-03,8.80E-06,1.13E-05,4.75E-03,2.17E-04,2.61E-04,4.72E-07,5.99E-07,1.77E-04
600,9.17E-01,9.50E-02,4.45E-03,5.41E-03,1.72E-02,8.53E-04,1.04E-03,4.88E-06,6.52E-06,3.03E-03,1.32E-04,1.59E-04,2.62E-07,3.47E-07,1.13E-04
800,4.72E-01,4.90E-02,2.14E-03,2.64E-03,8.86E-03,4.09E-04,5.08E-04,2.06E-06,2.92E-06,1.56E-03,6.33E-05,7.82E-05,1.10E-07,1.58E-07,5.83E-05
1000,2.94E-01,3.05E-02,1.26E-03,1.60E-03,5.52E-03,2.42E-04,3.08E-04,1.10E-06,1.74E-06,9.74E-04,3.74E-05,4.74E-05,5.91E-08,9.20E-08,3.65E-05
1500,1.37E-01,1.41E-02,5.39E-04,7.14E-04,2.56E-03,1.03E-04,1.38E-04,4.33E-07,7.45E-07,4.51E-04,1.59E-05,2.12E-05,2.18E-08,3.94E-08,1.71E-05
