PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.46E+04,3.96E+04,8.88E+04,1.10E+05,1.61E+05,1.42E+04,1.82E+04,6.71E+03,6.16E+03,1.30E+04,6.04E+02
1.0334,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.30E+04,3.79E+04,8.45E+04,1.03E+05,1.51E+05,1.27E+04,1.63E+04,6.37E+03,5.87E+03,1.23E+04,5.71E+02
1.0417,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.63E+05,3.26E+04,3.75E+04,8.35E+04,1.02E+05,1.48E+05,1.24E+04,1.59E+04,6.28E+03,5.80E+03,1.21E+04,5.63E+02
1.0585,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.15E+06,3.19E+04,3.67E+04,8.15E+04,9.86E+04,1.44E+05,1.17E+04,1.50E+04,6.12E+03,5.66E+03,1.18E+04,5.48E+02
1.067,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.57E+05,1.19E+06,3.15E+04,3.64E+04,8.05E+04,9.71E+04,1.41E+05,1.14E+04,1.46E+04,6.04E+03,5.60E+03,1.17E+04,5.41E+02
1.3455,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.55E+05,6.60E+05,2.20E+04,2.61E+04,5.57E+04,6.00E+04,8.66E+04,5.15E+03,6.58E+03,4.11E+03,3.90E+03,7.91E+03,3.63E+02
1.3563,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.09E+05,4.47E+05,6.47E+05,2.17E+04,2.58E+04,5.49E+04,5.90E+04,8.51E+04,5.01E+03,6.40E+03,4.05E+03,3.85E+03,7.80E+03,3.58E+02
1.4604,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.90E+05,3.72E+05,5.37E+05,1.93E+04,2.31E+04,4.85E+04,5.00E+04,7.20E+04,3.86E+03,4.93E+03,3.57E+03,3.41E+03,6.85E+03,3.14E+02
1.4721,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.01E+04,1.88E+05,3.65E+05,5.27E+05,1.91E+04,2.28E+04,4.79E+04,4.91E+04,7.07E+04,3.75E+03,4.79E+03,3.53E+03,3.37E+03,6.76E+03,3.10E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.71E+04,1.84E+05,3.48E+05,5.02E+05,1.85E+04,2.21E+04,4.63E+04,4.71E+04,6.77E+04,3.51E+03,4.48E+03,3.41E+03,3.27E+03,6.54E+03,2.99E+02
1.624,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.24E+04,1.64E+05,2.86E+05,4.12E+05,1.63E+04,1.95E+04,4.04E+04,3.92E+04,5.62E+04,2.64E+03,3.36E+03,2.98E+03,2.86E+03,5.67E+03,2.60E+02
1.637,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.93E+04,7.17E+04,1.62E+05,2.80E+05,4.04E+05,1.60E+04,1.92E+04,3.98E+04,3.84E+04,5.51E+04,2.56E+03,3.27E+03,2.94E+03,2.82E+03,5.59E+03,2.56E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.83E+04,5.48E+04,1.19E+05,1.64E+05,2.34E+05,1.15E+04,1.37E+04,2.77E+04,2.36E+04,3.36E+04,1.23E+03,1.56E+03,2.07E+03,1.99E+03,3.85E+03,1.79E+02
