PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.05E+04,4.23E+04,1.18E+05,1.65E+05,2.44E+05,1.75E+05,2.23E+05,9.14E+03,7.97E+03,1.89E+04,3.13E+03,4.41E+03,9.27E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.41E+04,2.80E+04,6.75E+04,8.59E+04,1.24E+05,5.04E+04,6.38E+04,4.89E+03,4.66E+03,1.01E+04,1.56E+03,2.16E+03,4.78E+02
1.7396,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.95E+04,2.33E+04,5.36E+04,6.45E+04,9.22E+04,3.09E+04,3.91E+04,3.85E+03,3.75E+03,7.93E+03,1.17E+03,1.60E+03,3.73E+02
1.7535,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.95E+05,1.92E+04,2.30E+04,5.30E+04,6.35E+04,9.07E+04,3.01E+04,3.81E+04,3.81E+03,3.71E+03,7.83E+03,1.15E+03,1.57E+03,3.68E+02
1.8005,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.33E+05,1.85E+04,2.22E+04,5.08E+04,6.02E+04,8.59E+04,2.76E+04,3.48E+04,3.65E+03,3.57E+03,7.49E+03,1.09E+03,1.49E+03,3.52E+02
1.8149,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.27E+05,6.40E+05,1.83E+04,2.20E+04,5.01E+04,5.92E+04,8.44E+04,2.68E+04,3.39E+04,3.60E+03,3.52E+03,7.38E+03,1.07E+03,1.46E+03,3.47E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.61E+05,5.16E+05,1.58E+04,1.92E+04,4.27E+04,4.83E+04,6.85E+04,1.93E+04,2.43E+04,3.07E+03,3.04E+03,6.25E+03,8.70E+02,1.19E+03,2.94E+02
2.1819,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.88E+05,4.10E+05,1.38E+04,1.69E+04,3.69E+04,3.99E+04,5.64E+04,1.42E+04,1.79E+04,2.65E+03,2.65E+03,5.36E+03,7.19E+02,9.77E+02,2.53E+02
2.1993,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.43E+05,2.82E+05,4.01E+05,1.36E+04,1.67E+04,3.64E+04,3.92E+04,5.53E+04,1.38E+04,1.74E+04,2.62E+03,2.61E+03,5.28E+03,7.06E+02,9.59E+02,2.49E+02
2.4595,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.19E+05,2.10E+05,2.97E+05,1.14E+04,1.41E+04,2.99E+04,3.04E+04,4.26E+04,9.32E+03,1.17E+04,2.17E+03,2.18E+03,4.31E+03,5.47E+02,7.40E+02,2.05E+02
2.4792,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.88E+04,1.18E+05,2.06E+05,2.91E+05,1.13E+04,1.39E+04,2.95E+04,2.98E+04,4.18E+04,9.05E+03,1.14E+04,2.14E+03,2.15E+03,4.25E+03,5.37E+02,7.26E+02,2.02E+02
2.6832,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.38E+04,1.04E+05,1.68E+05,2.36E+05,9.92E+03,1.23E+04,2.56E+04,2.47E+04,3.45E+04,6.81E+03,8.53E+03,1.87E+03,1.88E+03,3.67E+03,4.46E+02,6.00E+02,1.76E+02
2.7047,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.90E+04,4.34E+04,1.02E+05,1.64E+05,2.31E+05,9.80E+03,1.21E+04,2.52E+04,2.42E+04,3.39E+04,6.61E+03,8.29E+03,1.84E+03,1.86E+03,3.62E+03,4.37E+02,5.84E+02,1.73E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.59E+04,3.80E+04,8.56E+04,1.25E+05,1.74E+05,8.25E+03,1.02E+04,2.08E+04,1.88E+04,2.61E+04,4.52E+03,5.65E+03,1.54E+03,1.55E+03,2.97E+03,3.40E+02,4.51E+02,1.44E+02
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.70E+04,2.49E+04,5.14E+04,5.46E+04,7.51E+04,5.04E+03,6.16E+03,1.19E+04,8.91E+03,1.22E+04,1.52E+03,1.89E+03,9.24E+02,9.21E+02,1.68E+03,1.63E+02,2.12E+02,8.75E+01
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E+04,1.70E+04,3.31E+04,2.78E+04,3.79E+04,3.38E+03,4.04E+03,7.46E+03,4.80E+03,6.50E+03,6.32E+02,7.82E+02,6.14E+02,5.99E+02,1.05E+03,8.84E+01,1.13E+02,5.82E+01
6,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.88E+03,1.20E+04,2.25E+04,1.57E+04,2.12E+04,2.42E+03,2.81E+03,5.02E+03,2.83E+03,3.79E+03,3.03E+02,3.73E+02,4.36E+02,4.14E+02,7.07E+02,5.23E+01,6.64E+01,4.13E+01
8,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.35E+03,6.70E+03,1.18E+04,6.19E+03,8.22E+03,1.41E+03,1.53E+03,2.61E+03,1.18E+03,1.56E+03,9.16E+01,1.12E+02,2.51E+02,2.25E+02,3.67E+02,2.19E+01,2.74E+01,2.38E+01
9.869,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.62E+03,4.23E+03,7.14E+03,3.06E+03,4.01E+03,9.35E+02,9.61E+02,1.58E+03,6.04E+02,7.87E+02,3.73E+01,4.54E+01,1.66E+02,1.41E+02,2.22E+02,1.13E+01,1.39E+01,1.58E+01
9.948,0.00E+00,0.00E+00,0.00E+00,4.39E+04,3.57E+03,4.16E+03,7.00E+03,2.97E+03,3.90E+03,9.21E+02,9.43E+02,1.55E+03,5.89E+02,7.67E+02,3.60E+01,4.38E+01,1.64E+02,1.38E+02,2.18E+02,1.10E+01,1.36E+01,1.55E+01
10,0.00E+00,0.00E+00,0.00E+00,4.35E+04,3.53E+03,4.11E+03,6.91E+03,2.92E+03,3.83E+03,9.11E+02,9.32E+02,1.53E+03,5.79E+02,7.54E+02,3.52E+01,4.29E+01,1.62E+02,1.37E+02,2.15E+02,1.08E+01,1.34E+01,1.54E+01
11.153,0.00E+00,0.00E+00,0.00E+00,3.24E+04,2.87E+03,3.20E+03,5.28E+03,2.01E+03,2.62E+03,7.34E+02,7.26E+02,1.17E+03,4.05E+02,5.24E+02,2.19E+01,2.65E+01,1.30E+02,1.06E+02,1.64E+02,7.58E+00,9.30E+00,1.24E+01
11.242,0.00E+00,0.00E+00,1.96E+04,3.17E+04,2.82E+03,3.15E+03,5.18E+03,1.95E+03,2.55E+03,7.23E+02,7.12E+02,1.15E+03,3.94E+02,5.10E+02,2.11E+01,2.56E+01,1.28E+02,1.04E+02,1.61E+02,7.38E+00,9.05E+00,1.22E+01
11.648,0.00E+00,0.00E+00,1.82E+04,2.89E+04,2.64E+03,2.90E+03,4.73E+03,1.73E+03,2.25E+03,6.73E+02,6.56E+02,1.05E+03,3.50E+02,4.52E+02,1.81E+01,2.19E+01,1.19E+02,9.59E+01,1.48E+02,6.57E+00,8.03E+00,1.13E+01
11.741,0.00E+00,9.98E+03,1.78E+04,2.83E+04,2.60E+03,2.84E+03,4.64E+03,1.68E+03,2.18E+03,6.62E+02,6.43E+02,1.03E+03,3.41E+02,4.40E+02,1.74E+01,2.11E+01,1.18E+02,9.42E+01,1.45E+02,6.39E+00,7.82E+00,1.11E+01
15,0.00E+00,6.57E+03,9.47E+03,1.42E+04,1.60E+03,1.58E+03,2.46E+03,7.07E+02,9.05E+02,4.03E+02,3.57E+02,5.49E+02,1.49E+02,1.89E+02,5.85E+00,7.02E+00,7.12E+01,5.23E+01,7.72E+01,2.80E+00,3.36E+00,6.75E+00
20,0.00E+00,3.79E+03,4.28E+03,6.13E+03,8.85E+02,7.63E+02,1.13E+03,2.49E+02,3.12E+02,2.20E+02,1.74E+02,2.54E+02,5.40E+01,6.72E+01,1.57E+00,1.85E+00,3.89E+01,2.54E+01,3.57E+01,1.02E+00,1.20E+00,3.68E+00
30,0.00E+00,1.65E+03,1.35E+03,1.79E+03,3.69E+02,2.59E+02,3.57E+02,5.45E+01,6.63E+01,9.11E+01,5.93E+01,8.07E+01,1.23E+01,1.48E+01,2.39E-01,2.77E-01,1.60E+01,8.77E+00,1.14E+01,2.33E-01,2.66E-01,1.52E+00
40,0.00E+00,8.80E+02,5.78E+02,7.25E+02,1.93E+02,1.16E+02,1.51E+02,1.81E+01,2.14E+01,4.75E+01,2.68E+01,3.45E+01,4.15E+00,4.88E+00,6.14E-02,7.02E-02,8.39E+00,3.96E+00,4.88E+00,7.91E-02,8.81E-02,7.90E-01
50,0.00E+00,5.28E+02,2.96E+02,3.56E+02,1.15E+02,6.12E+01,7.65E+01,7.60E+00,8.82E+00,2.82E+01,1.42E+01,1.75E+01,1.77E+00,2.03E+00,2.12E-02,2.40E-02,4.98E+00,2.10E+00,2.48E+00,3.37E-02,3.68E-02,4.69E-01
60,0.00E+00,3.44E+02,1.70E+02,1.97E+02,7.46E+01,3.60E+01,4.34E+01,3.73E+00,4.25E+00,1.83E+01,8.38E+00,9.99E+00,8.74E-01,9.88E-01,8.90E-03,9.95E-03,3.23E+00,1.24E+00,1.41E+00,1.67E-02,1.79E-02,3.04E-01
67.521,0.00E+00,2.59E+02,1.19E+02,1.34E+02,5.61E+01,2.54E+01,2.99E+01,2.35E+00,2.64E+00,1.37E+01,5.93E+00,6.90E+00,5.53E-01,6.18E-01,5.08E-03,5.64E-03,2.42E+00,8.80E-01,9.76E-01,1.06E-02,1.12E-02,2.28E-01
68.062,2.68E+03,2.54E+02,1.16E+02,1.31E+02,5.50E+01,2.48E+01,2.92E+01,2.27E+00,2.56E+00,1.35E+01,5.79E+00,6.73E+00,5.36E-01,5.99E-01,4.89E-03,5.43E-03,2.38E+00,8.59E-01,9.52E-01,1.03E-02,1.09E-02,2.24E-01
80,1.76E+03,1.71E+02,7.04E+01,7.70E+01,3.70E+01,1.54E+01,1.74E+01,1.21E+00,1.34E+00,9.05E+00,3.60E+00,4.04E+00,2.86E-01,3.14E-01,2.28E-03,2.50E-03,1.60E+00,5.34E-01,5.72E-01,5.48E-03,5.71E-03,1.51E-01
100,9.88E+02,9.82E+01,3.54E+01,3.70E+01,2.12E+01,7.88E+00,8.53E+00,5.03E-01,5.45E-01,5.19E+00,1.85E+00,1.98E+00,1.20E-01,1.29E-01,7.97E-04,8.63E-04,9.16E-01,2.75E-01,2.81E-01,2.31E-03,2.35E-03,8.63E-02
150,3.34E+02,3.48E+01,1.02E+01,9.74E+00,7.54E+00,2.33E+00,2.31E+00,1.05E-01,1.09E-01,1.85E+00,5.51E-01,5.40E-01,2.54E-02,2.61E-02,1.23E-04,1.30E-04,3.26E-01,8.19E-02,7.65E-02,4.87E-04,4.77E-04,3.07E-02
200,1.53E+02,1.65E+01,4.26E+00,3.83E+00,3.58E+00,9.90E-01,9.21E-01,3.54E-02,3.61E-02,8.78E-01,2.35E-01,2.16E-01,8.61E-03,8.67E-03,3.42E-05,3.58E-05,1.55E-01,3.49E-02,3.06E-02,1.65E-04,1.59E-04,1.46E-02
300,5.19E+01,5.81E+00,1.29E+00,1.07E+00,1.26E+00,3.05E-01,2.62E-01,8.11E-03,8.19E-03,3.10E-01,7.26E-02,6.14E-02,1.98E-03,1.98E-03,6.10E-06,6.43E-06,5.47E-02,1.08E-02,8.74E-03,3.81E-05,3.63E-05,5.15E-03
400,2.48E+01,2.82E+00,5.75E-01,4.56E-01,6.15E-01,1.37E-01,1.12E-01,3.01E-03,3.08E-03,1.51E-01,3.26E-02,2.63E-02,7.38E-04,7.44E-04,1.93E-06,2.09E-06,2.66E-02,4.85E-03,3.75E-03,1.42E-05,1.37E-05,2.51E-03
500,1.43E+01,1.65E+00,3.16E-01,2.43E-01,3.59E-01,7.54E-02,6.00E-02,1.45E-03,1.51E-03,8.80E-02,1.80E-02,1.41E-02,3.56E-04,3.67E-04,8.31E-07,9.31E-07,1.55E-02,2.68E-03,2.01E-03,6.85E-06,6.75E-06,1.47E-03
600,9.31E+00,1.08E+00,1.98E-01,1.50E-01,2.35E-01,4.73E-02,3.70E-02,8.20E-04,8.77E-04,5.76E-02,1.13E-02,8.71E-03,2.02E-04,2.14E-04,4.34E-07,5.06E-07,1.02E-02,1.68E-03,1.24E-03,3.88E-06,3.94E-06,9.59E-04
800,4.91E+00,5.69E-01,9.86E-02,7.33E-02,1.24E-01,2.37E-02,1.81E-02,3.58E-04,3.99E-04,3.05E-02,5.67E-03,4.28E-03,8.80E-05,9.75E-05,1.69E-07,2.13E-07,5.38E-03,8.44E-04,6.09E-04,1.69E-06,1.81E-06,5.08E-04
1000,3.09E+00,3.58E-01,5.97E-02,4.40E-02,7.81E-02,1.44E-02,1.09E-02,1.97E-04,2.28E-04,1.92E-02,3.44E-03,2.57E-03,4.84E-05,5.62E-05,8.48E-08,1.14E-07,3.38E-03,5.12E-04,3.66E-04,9.30E-07,1.04E-06,3.20E-04
