PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,6s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.59E+05,6.00E+05,8.78E+05,2.81E+04,3.25E+04,6.88E+04,7.34E+04,1.07E+05,4.99E+03,4.50E+03,9.13E+03,1.63E+02
1.0587,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.46E+05,5.26E+05,7.67E+05,2.57E+04,2.98E+04,6.27E+04,6.49E+04,9.43E+04,4.54E+03,4.11E+03,8.29E+03,1.47E+02
1.0671,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.04E+05,2.45E+05,5.16E+05,7.53E+05,2.54E+04,2.95E+04,6.19E+04,6.37E+04,9.27E+04,4.47E+03,4.05E+03,8.18E+03,1.45E+02
1.1954,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.48E+04,2.13E+05,3.95E+05,5.75E+05,2.11E+04,2.47E+04,5.12E+04,4.94E+04,7.16E+04,3.68E+03,3.36E+03,6.71E+03,1.19E+02
1.205,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.80E+04,9.40E+04,2.10E+05,3.87E+05,5.63E+05,2.08E+04,2.44E+04,5.05E+04,4.85E+04,7.02E+04,3.63E+03,3.32E+03,6.62E+03,1.17E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.02E+04,7.13E+04,1.53E+05,2.19E+05,3.16E+05,1.44E+04,1.70E+04,3.43E+04,2.87E+04,4.13E+04,2.48E+03,2.27E+03,4.45E+03,8.02E+01
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.31E+04,4.67E+04,9.45E+04,9.78E+04,1.40E+05,8.77E+03,1.02E+04,1.99E+04,1.37E+04,1.95E+04,1.48E+03,1.34E+03,2.56E+03,4.79E+01
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.71E+04,2.23E+04,4.29E+04,2.87E+04,4.06E+04,4.21E+03,4.60E+03,8.68E+03,4.37E+03,6.17E+03,7.00E+02,6.00E+02,1.11E+03,2.27E+01
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.03E+04,1.23E+04,2.29E+04,1.14E+04,1.60E+04,2.46E+03,2.50E+03,4.60E+03,1.82E+03,2.55E+03,4.06E+02,3.25E+02,5.85E+02,1.31E+01
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.84E+03,7.52E+03,1.37E+04,5.39E+03,7.51E+03,1.60E+03,1.52E+03,2.73E+03,8.94E+02,1.24E+03,2.63E+02,1.96E+02,3.47E+02,8.53E+00
5.0009,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.84E+03,7.51E+03,1.36E+04,5.39E+03,7.51E+03,1.60E+03,1.52E+03,2.73E+03,8.94E+02,1.24E+03,2.63E+02,1.96E+02,3.47E+02,8.53E+00
5.0409,0.00E+00,0.00E+00,0.00E+00,9.55E+04,6.74E+03,7.38E+03,1.34E+04,5.25E+03,7.30E+03,1.58E+03,1.49E+03,2.68E+03,8.71E+02,1.21E+03,2.59E+02,1.93E+02,3.41E+02,8.39E+00
5.358,0.00E+00,0.00E+00,0.00E+00,8.20E+04,6.00E+03,6.41E+03,1.16E+04,4.26E+03,5.92E+03,1.40E+03,1.29E+03,2.31E+03,7.13E+02,9.88E+02,2.29E+02,1.67E+02,2.94E+02,7.44E+00
5.4009,0.00E+00,0.00E+00,4.45E+04,8.03E+04,5.91E+03,6.29E+03,1.13E+04,4.14E+03,5.76E+03,1.38E+03,1.27E+03,2.27E+03,6.94E+02,9.62E+02,2.26E+02,1.64E+02,2.89E+02,7.33E+00
5.6798,0.00E+00,0.00E+00,3.96E+04,7.07E+04,5.37E+03,5.59E+03,1.00E+04,3.48E+03,4.83E+03,1.25E+03,1.13E+03,2.01E+03,5.87E+02,8.12E+02,2.04E+02,1.46E+02,2.55E+02,6.63E+00
5.7253,0.00E+00,2.18E+04,3.87E+04,6.93E+04,5.29E+03,5.49E+03,9.83E+03,3.39E+03,4.70E+03,1.23E+03,1.11E+03,1.97E+03,5.72E+02,7.91E+02,2.01E+02,1.43E+02,2.50E+02,6.53E+00
6,0.00E+00,2.03E+04,3.45E+04,6.14E+04,4.83E+03,4.91E+03,8.75E+03,2.88E+03,3.98E+03,1.12E+03,9.90E+02,1.75E+03,4.89E+02,6.75E+02,1.83E+02,1.28E+02,2.23E+02,5.94E+00
8,0.00E+00,1.23E+04,1.60E+04,2.73E+04,2.74E+03,2.42E+03,4.19E+03,1.04E+03,1.42E+03,6.26E+02,4.88E+02,8.43E+02,1.81E+02,2.48E+02,1.02E+02,6.31E+01,1.07E+02,3.31E+00
10,0.00E+00,8.11E+03,8.56E+03,1.43E+04,1.74E+03,1.36E+03,2.30E+03,4.57E+02,6.21E+02,3.93E+02,2.75E+02,4.65E+02,8.18E+01,1.11E+02,6.40E+01,3.60E+01,5.91E+01,2.08E+00
15,0.00E+00,3.58E+03,2.62E+03,4.19E+03,7.31E+02,4.49E+02,7.32E+02,9.81E+01,1.31E+02,1.64E+02,9.17E+01,1.49E+02,1.81E+01,2.41E+01,2.68E+01,1.20E+01,1.90E+01,8.66E-01
20,0.00E+00,1.91E+03,1.10E+03,1.70E+03,3.85E+02,1.97E+02,3.11E+02,3.17E+01,4.17E+01,8.60E+01,4.04E+01,6.37E+01,5.96E+00,7.81E+00,1.41E+01,5.31E+00,8.13E+00,4.54E-01
30,0.00E+00,7.53E+02,3.08E+02,4.57E+02,1.49E+02,5.84E+01,8.81E+01,6.21E+00,7.97E+00,3.33E+01,1.21E+01,1.82E+01,1.19E+00,1.52E+00,5.44E+00,1.59E+00,2.33E+00,1.75E-01
35.953,0.00E+00,4.87E+02,1.73E+02,2.51E+02,9.64E+01,3.34E+01,4.93E+01,2.96E+00,3.76E+00,2.15E+01,6.94E+00,1.02E+01,5.71E-01,7.22E-01,3.51E+00,9.13E-01,1.31E+00,1.13E-01
36.24,5.54E+03,4.78E+02,1.69E+02,2.44E+02,9.45E+01,3.26E+01,4.81E+01,2.87E+00,3.63E+00,2.11E+01,6.77E+00,9.98E+00,5.52E-01,6.99E-01,3.44E+00,8.91E-01,1.27E+00,1.11E-01
40,4.27E+03,3.75E+02,1.23E+02,1.76E+02,7.41E+01,2.39E+01,3.49E+01,1.91E+00,2.40E+00,1.65E+01,4.98E+00,7.25E+00,3.69E-01,4.64E-01,2.70E+00,6.56E-01,9.27E-01,8.70E-02
50,2.41E+03,2.15E+02,5.94E+01,8.27E+01,4.24E+01,1.18E+01,1.67E+01,7.60E-01,9.40E-01,9.44E+00,2.47E+00,3.49E+00,1.48E-01,1.82E-01,1.54E+00,3.25E-01,4.47E-01,4.97E-02
60,1.47E+03,1.35E+02,3.27E+01,4.44E+01,2.66E+01,6.60E+00,9.11E+00,3.57E-01,4.36E-01,5.92E+00,1.38E+00,1.91E+00,6.98E-02,8.46E-02,9.66E-01,1.82E-01,2.44E-01,3.12E-02
80,6.70E+02,6.32E+01,1.27E+01,1.65E+01,1.25E+01,2.61E+00,3.45E+00,1.09E-01,1.29E-01,2.79E+00,5.49E-01,7.23E-01,2.14E-02,2.53E-02,4.55E-01,7.23E-02,9.28E-02,1.47E-02
100,3.59E+02,3.48E+01,6.08E+00,7.65E+00,6.89E+00,1.27E+00,1.62E+00,4.35E-02,5.08E-02,1.54E+00,2.67E-01,3.39E-01,8.58E-03,9.96E-03,2.51E-01,3.52E-02,4.36E-02,8.09E-03
150,1.14E+02,1.15E+01,1.61E+00,1.90E+00,2.29E+00,3.42E-01,4.09E-01,8.45E-03,9.60E-03,5.11E-01,7.23E-02,8.60E-02,1.68E-03,1.89E-03,8.33E-02,9.52E-03,1.10E-02,2.69E-03
200,5.04E+01,5.21E+00,6.40E-01,7.21E-01,1.04E+00,1.37E-01,1.56E-01,2.73E-03,3.07E-03,2.32E-01,2.90E-02,3.30E-02,5.44E-04,6.06E-04,3.79E-02,3.82E-03,4.24E-03,1.22E-03
300,1.63E+01,1.73E+00,1.82E-01,1.94E-01,3.46E-01,3.92E-02,4.24E-02,5.96E-04,6.66E-04,7.72E-02,8.33E-03,8.95E-03,1.19E-04,1.33E-04,1.26E-02,1.10E-03,1.15E-03,4.07E-04
400,7.52E+00,8.10E-01,7.80E-02,8.08E-02,1.62E-01,1.69E-02,1.77E-02,2.15E-04,2.47E-04,3.63E-02,3.59E-03,3.75E-03,4.32E-05,4.89E-05,5.92E-03,4.73E-04,4.82E-04,1.92E-04
500,4.26E+00,4.61E-01,4.17E-02,4.28E-02,9.24E-02,9.07E-03,9.39E-03,1.02E-04,1.20E-04,2.07E-02,1.93E-03,1.99E-03,2.04E-05,2.40E-05,3.37E-03,2.54E-04,2.56E-04,1.09E-04
600,2.73E+00,2.97E-01,2.57E-02,2.62E-02,5.95E-02,5.59E-03,5.76E-03,5.74E-05,6.93E-05,1.33E-02,1.19E-03,1.22E-03,1.14E-05,1.39E-05,2.17E-03,1.56E-04,1.57E-04,7.05E-05
800,1.42E+00,1.54E-01,1.25E-02,1.28E-02,3.10E-02,2.73E-03,2.83E-03,2.43E-05,3.18E-05,6.93E-03,5.80E-04,5.99E-04,4.86E-06,6.34E-06,1.13E-03,7.64E-05,7.71E-05,3.69E-05
1000,8.87E-01,9.66E-02,7.46E-03,7.76E-03,1.94E-02,1.63E-03,1.71E-03,1.32E-05,1.85E-05,4.33E-03,3.47E-04,3.62E-04,2.65E-06,3.65E-06,7.07E-04,4.57E-05,4.67E-05,2.33E-05
1500,4.10E-01,4.45E-02,3.22E-03,3.43E-03,8.93E-03,7.05E-04,7.54E-04,5.14E-06,7.78E-06,2.00E-03,1.50E-04,1.60E-04,9.91E-07,1.52E-06,3.26E-04,1.97E-05,2.07E-05,1.11E-05
