PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.66E+04,7.78E+04,1.56E+05,1.48E+05,2.16E+05,1.09E+04,1.15E+04,2.26E+04,3.39E+03,4.89E+03,4.33E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.98E+04,3.80E+04,7.41E+04,4.45E+04,6.44E+04,5.39E+03,5.33E+03,1.03E+04,1.08E+03,1.55E+03,2.10E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.81E+04,2.12E+04,4.06E+04,1.78E+04,2.57E+04,3.19E+03,2.93E+03,5.56E+03,4.47E+02,6.39E+02,1.24E+02
2.3667,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.34E+04,1.47E+04,2.78E+04,1.02E+04,1.47E+04,2.33E+03,2.02E+03,3.80E+03,2.60E+02,3.71E+02,8.99E+01
2.3856,0.00E+00,0.00E+00,0.00E+00,2.40E+05,1.32E+04,1.44E+04,2.73E+04,9.92E+03,1.43E+04,2.30E+03,1.98E+03,3.73E+03,2.54E+02,3.61E+02,8.85E+01
2.4643,0.00E+00,0.00E+00,0.00E+00,2.17E+05,1.25E+04,1.34E+04,2.54E+04,8.89E+03,1.28E+04,2.16E+03,1.84E+03,3.46E+03,2.28E+02,3.22E+02,8.47E+01
2.484,0.00E+00,0.00E+00,1.14E+05,2.13E+05,1.23E+04,1.32E+04,2.49E+04,8.65E+03,1.24E+04,2.13E+03,1.81E+03,3.40E+03,2.22E+02,3.14E+02,8.34E+01
2.6738,0.00E+00,0.00E+00,9.45E+04,1.79E+05,1.07E+04,1.11E+04,2.10E+04,6.74E+03,9.67E+03,1.85E+03,1.52E+03,2.86E+03,1.74E+02,2.45E+02,7.25E+01
2.6952,0.00E+00,4.78E+04,9.28E+04,1.76E+05,1.06E+04,1.09E+04,2.06E+04,6.55E+03,9.41E+03,1.82E+03,1.50E+03,2.80E+03,1.69E+02,2.39E+02,7.13E+01
3,0.00E+00,4.13E+04,7.08E+04,1.32E+05,8.63E+03,8.49E+03,1.59E+04,4.53E+03,6.49E+03,1.48E+03,1.16E+03,2.17E+03,1.18E+02,1.66E+02,5.79E+01
4,0.00E+00,2.51E+04,3.25E+04,5.97E+04,4.95E+03,4.19E+03,7.72E+03,1.63E+03,2.32E+03,8.36E+02,5.74E+02,1.05E+03,4.34E+01,6.08E+01,3.27E+01
5,0.00E+00,1.67E+04,1.74E+04,3.15E+04,3.16E+03,2.35E+03,4.28E+03,7.16E+02,1.02E+03,5.30E+02,3.22E+02,5.86E+02,1.94E+01,2.70E+01,2.07E+01
6,0.00E+00,1.18E+04,1.02E+04,1.84E+04,2.17E+03,1.43E+03,2.59E+03,3.60E+02,5.09E+02,3.62E+02,1.98E+02,3.56E+02,9.84E+00,1.37E+01,1.42E+01
8,0.00E+00,6.53E+03,4.35E+03,7.67E+03,1.17E+03,6.40E+02,1.14E+03,1.18E+02,1.66E+02,1.95E+02,8.87E+01,1.57E+02,3.27E+00,4.51E+00,7.61E+00
10,0.00E+00,4.04E+03,2.19E+03,3.82E+03,7.14E+02,3.34E+02,5.85E+02,4.87E+01,6.79E+01,1.19E+02,4.64E+01,8.12E+01,1.36E+00,1.86E+00,4.63E+00
15,0.00E+00,1.61E+03,6.05E+02,1.03E+03,2.80E+02,9.72E+01,1.66E+02,9.28E+00,1.28E+01,4.64E+01,1.36E+01,2.32E+01,2.62E-01,3.54E-01,1.81E+00
18.929,0.00E+00,9.22E+02,2.83E+02,4.74E+02,1.60E+02,4.66E+01,7.85E+01,3.50E+00,4.76E+00,2.65E+01,6.55E+00,1.10E+01,9.93E-02,1.33E-01,1.03E+00
19.081,1.12E+04,9.04E+02,2.76E+02,4.61E+02,1.57E+02,4.55E+01,7.65E+01,3.38E+00,4.61E+00,2.60E+01,6.39E+00,1.07E+01,9.61E-02,1.29E-01,1.01E+00
20,1.00E+04,8.06E+02,2.36E+02,3.93E+02,1.40E+02,3.91E+01,6.55E+01,2.77E+00,3.77E+00,2.32E+01,5.51E+00,9.17E+00,7.88E-02,1.05E-01,9.04E-01
30,3.47E+03,2.91E+02,6.06E+01,9.80E+01,5.04E+01,1.04E+01,1.69E+01,4.90E-01,6.53E-01,8.36E+00,1.47E+00,2.37E+00,1.40E-02,1.84E-02,3.26E-01
40,1.58E+03,1.37E+02,2.27E+01,3.57E+01,2.38E+01,3.95E+00,6.26E+00,1.42E-01,1.86E-01,3.94E+00,5.61E-01,8.82E-01,4.07E-03,5.26E-03,1.54E-01
50,8.46E+02,7.51E+01,1.05E+01,1.62E+01,1.31E+01,1.85E+00,2.87E+00,5.38E-02,6.98E-02,2.17E+00,2.63E-01,4.05E-01,1.55E-03,1.98E-03,8.45E-02
60,5.03E+02,4.56E+01,5.57E+00,8.43E+00,7.94E+00,9.90E-01,1.51E+00,2.44E-02,3.13E-02,1.32E+00,1.41E-01,2.13E-01,7.06E-04,8.89E-04,5.14E-02
80,2.19E+02,2.04E+01,2.04E+00,3.00E+00,3.57E+00,3.67E-01,5.41E-01,7.06E-03,8.88E-03,5.92E-01,5.24E-02,7.66E-02,2.04E-04,2.53E-04,2.31E-02
100,1.14E+02,1.08E+01,9.41E-01,1.34E+00,1.90E+00,1.70E-01,2.44E-01,2.72E-03,3.36E-03,3.15E-01,2.43E-02,3.46E-02,7.88E-05,9.60E-05,1.23E-02
150,3.46E+01,3.38E+00,2.33E-01,3.17E-01,5.94E-01,4.26E-02,5.81E-02,4.99E-04,6.01E-04,9.86E-02,6.10E-03,8.25E-03,1.45E-05,1.72E-05,3.84E-03
200,1.48E+01,1.48E+00,8.88E-02,1.16E-01,2.60E-01,1.63E-02,2.14E-02,1.56E-04,1.86E-04,4.31E-02,2.34E-03,3.05E-03,4.51E-06,5.33E-06,1.68E-03
300,4.62E+00,4.67E-01,2.40E-02,3.02E-02,8.24E-02,4.43E-03,5.58E-03,3.26E-05,3.93E-05,1.37E-02,6.34E-04,7.95E-04,9.44E-07,1.13E-06,5.34E-04
400,2.09E+00,2.13E-01,9.96E-03,1.24E-02,3.76E-02,1.85E-03,2.29E-03,1.15E-05,1.43E-05,6.26E-03,2.64E-04,3.26E-04,3.32E-07,4.11E-07,2.44E-04
500,1.17E+00,1.19E-01,5.23E-03,6.49E-03,2.11E-02,9.70E-04,1.20E-03,5.37E-06,6.90E-06,3.50E-03,1.39E-04,1.71E-04,1.55E-07,2.00E-07,1.37E-04
600,7.41E-01,7.60E-02,3.17E-03,3.96E-03,1.34E-02,5.89E-04,7.35E-04,2.99E-06,3.96E-06,2.23E-03,8.43E-05,1.05E-04,8.57E-08,1.16E-07,8.72E-05
800,3.81E-01,3.91E-02,1.52E-03,1.93E-03,6.91E-03,2.82E-04,3.60E-04,1.24E-06,1.84E-06,1.15E-03,4.03E-05,5.13E-05,3.60E-08,5.30E-08,4.50E-05
1000,2.37E-01,2.44E-02,8.96E-04,1.17E-03,4.31E-03,1.66E-04,2.18E-04,6.89E-07,1.03E-06,7.16E-04,2.38E-05,3.11E-05,1.93E-08,3.08E-08,2.82E-05
1500,1.10E-01,1.13E-02,3.82E-04,5.24E-04,2.00E-03,7.07E-05,9.79E-05,2.75E-07,4.32E-07,3.32E-04,1.01E-05,1.40E-05,7.18E-09,1.34E-08,1.33E-05
