PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.75E+04,4.21E+04,9.94E+04,1.30E+05,1.91E+05,4.42E+04,5.65E+04,7.29E+03,6.50E+03,1.40E+04,6.14E+02
1.2432,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.75E+04,3.21E+04,7.22E+04,8.76E+04,1.27E+05,2.17E+04,2.77E+04,5.15E+03,4.76E+03,9.93E+03,4.26E+02
1.2532,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.15E+05,2.72E+04,3.18E+04,7.13E+04,8.62E+04,1.25E+05,2.12E+04,2.69E+04,5.08E+03,4.70E+03,9.80E+03,4.21E+02
1.2777,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.49E+05,2.64E+04,3.10E+04,6.92E+04,8.30E+04,1.20E+05,1.98E+04,2.52E+04,4.92E+03,4.57E+03,9.49E+03,4.07E+02
1.288,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.60E+05,9.68E+05,2.61E+04,3.06E+04,6.84E+04,8.17E+04,1.18E+05,1.93E+04,2.46E+04,4.86E+03,4.51E+03,9.37E+03,4.01E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.56E+05,6.59E+05,2.07E+04,2.47E+04,5.36E+04,5.96E+04,8.57E+04,1.15E+04,1.46E+04,3.78E+03,3.57E+03,7.24E+03,3.09E+02
1.5952,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.91E+05,5.63E+05,1.88E+04,2.26E+04,4.84E+04,5.22E+04,7.48E+04,9.26E+03,1.17E+04,3.41E+03,3.23E+03,6.51E+03,2.78E+02
1.6079,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.85E+05,3.83E+05,5.52E+05,1.86E+04,2.23E+04,4.77E+04,5.13E+04,7.35E+04,9.00E+03,1.14E+04,3.36E+03,3.19E+03,6.42E+03,2.74E+02
1.752,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.63E+05,3.08E+05,4.42E+05,1.62E+04,1.96E+04,4.12E+04,4.23E+04,6.04E+04,6.65E+03,8.42E+03,2.91E+03,2.77E+03,5.51E+03,2.36E+02
1.7661,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.83E+04,1.62E+05,3.02E+05,4.33E+05,1.60E+04,1.93E+04,4.07E+04,4.15E+04,5.93E+04,6.46E+03,8.18E+03,2.87E+03,2.74E+03,5.43E+03,2.32E+02
1.9346,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.13E+04,1.41E+05,2.40E+05,3.43E+05,1.38E+04,1.67E+04,3.47E+04,3.36E+04,4.78E+04,4.66E+03,5.89E+03,2.45E+03,2.35E+03,4.61E+03,1.98E+02
1.95,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.15E+04,6.08E+04,1.39E+05,2.35E+05,3.36E+05,1.36E+04,1.65E+04,3.42E+04,3.30E+04,4.69E+04,4.52E+03,5.72E+03,2.42E+03,2.32E+03,4.54E+03,1.95E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.05E+04,5.90E+04,1.34E+05,2.20E+05,3.15E+05,1.31E+04,1.58E+04,3.26E+04,3.10E+04,4.41E+04,4.13E+03,5.22E+03,2.31E+03,2.22E+03,4.33E+03,1.86E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.28E+04,3.28E+04,6.71E+04,7.09E+04,9.94E+04,6.52E+03,7.79E+03,1.51E+04,1.10E+04,1.54E+04,8.98E+02,1.13E+03,1.13E+03,1.07E+03,1.98E+03,9.17E+01
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.44E+04,1.98E+04,3.81E+04,2.97E+04,4.13E+04,3.88E+03,4.47E+03,8.33E+03,4.96E+03,6.85E+03,2.88E+02,3.60E+02,6.63E+02,6.07E+02,1.08E+03,5.40E+01
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.86E+03,1.28E+04,2.37E+04,1.47E+04,2.02E+04,2.57E+03,2.83E+03,5.12E+03,2.57E+03,3.51E+03,1.15E+02,1.42E+02,4.35E+02,3.82E+02,6.65E+02,3.54E+01
6,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.12E+03,8.71E+03,1.57E+04,8.12E+03,1.11E+04,1.82E+03,1.91E+03,3.38E+03,1.47E+03,1.99E+03,5.35E+01,6.59E+01,3.06E+02,2.58E+02,4.39E+02,2.49E+01
7.4976,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.71E+03,5.32E+03,9.29E+03,3.84E+03,5.19E+03,1.18E+03,1.16E+03,2.00E+03,7.21E+02,9.68E+02,2.05E+01,2.51E+01,1.98E+02,1.56E+02,2.59E+02,1.61E+01
7.5576,0.00E+00,0.00E+00,0.00E+00,5.97E+04,4.64E+03,5.22E+03,9.11E+03,3.74E+03,5.05E+03,1.16E+03,1.14E+03,1.96E+03,7.02E+02,9.43E+02,1.98E+01,2.43E+01,1.95E+02,1.53E+02,2.54E+02,1.59E+01
8,0.00E+00,0.00E+00,0.00E+00,5.19E+04,4.16E+03,4.58E+03,7.93E+03,3.08E+03,4.14E+03,1.04E+03,1.00E+03,1.70E+03,5.83E+02,7.81E+02,1.54E+01,1.89E+01,1.74E+02,1.34E+02,2.21E+02,1.42E+01
8.2529,0.00E+00,0.00E+00,0.00E+00,4.76E+04,3.92E+03,4.26E+03,7.34E+03,2.76E+03,3.72E+03,9.75E+02,9.31E+02,1.58E+03,5.26E+02,7.04E+02,1.35E+01,1.65E+01,1.63E+02,1.25E+02,2.05E+02,1.33E+01
8.319,0.00E+00,0.00E+00,2.72E+04,4.66E+04,3.86E+03,4.19E+03,7.20E+03,2.69E+03,3.61E+03,9.60E+02,9.13E+02,1.55E+03,5.12E+02,6.85E+02,1.30E+01,1.59E+01,1.61E+02,1.23E+02,2.01E+02,1.31E+01
8.666,0.00E+00,0.00E+00,2.50E+04,4.19E+04,3.57E+03,3.80E+03,6.50E+03,2.33E+03,3.13E+03,8.85E+02,8.30E+02,1.40E+03,4.47E+02,5.97E+02,1.09E+01,1.33E+01,1.48E+02,1.11E+02,1.81E+02,1.21E+01
8.7354,0.00E+00,1.39E+04,2.44E+04,4.11E+04,3.52E+03,3.73E+03,6.38E+03,2.27E+03,3.04E+03,8.71E+02,8.14E+02,1.37E+03,4.36E+02,5.81E+02,1.05E+01,1.28E+01,1.46E+02,1.09E+02,1.78E+02,1.19E+01
10,0.00E+00,1.11E+04,1.73E+04,2.85E+04,2.70E+03,2.70E+03,4.53E+03,1.41E+03,1.88E+03,6.64E+02,5.89E+02,9.75E+02,2.76E+02,3.66E+02,5.73E+00,6.97E+00,1.11E+02,7.90E+01,1.27E+02,9.04E+00
15,0.00E+00,5.23E+03,5.68E+03,8.77E+03,1.18E+03,9.71E+02,1.54E+03,3.25E+02,4.24E+02,2.86E+02,2.13E+02,3.34E+02,6.65E+01,8.62E+01,9.01E-01,1.08E+00,4.76E+01,2.85E+01,4.34E+01,3.88E+00
20,0.00E+00,2.93E+03,2.49E+03,3.68E+03,6.41E+02,4.49E+02,6.83E+02,1.11E+02,1.42E+02,1.54E+02,9.91E+01,1.49E+02,2.32E+01,2.95E+01,2.35E-01,2.81E-01,2.56E+01,1.35E+01,1.94E+01,2.08E+00
30,0.00E+00,1.22E+03,7.46E+02,1.04E+03,2.59E+02,1.44E+02,2.06E+02,2.31E+01,2.88E+01,6.19E+01,3.20E+01,4.55E+01,4.99E+00,6.18E+00,3.39E-02,3.99E-02,1.03E+01,4.35E+00,5.93E+00,8.38E-01
40,0.00E+00,6.31E+02,3.09E+02,4.12E+02,1.33E+02,6.20E+01,8.50E+01,7.42E+00,9.04E+00,3.16E+01,1.39E+01,1.89E+01,1.63E+00,1.97E+00,8.40E-03,9.74E-03,5.28E+00,1.89E+00,2.46E+00,4.28E-01
