PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2
50,0.00E+00,3.71E+02,1.54E+02,1.98E+02,7.78E+01,3.18E+01,4.20E+01,3.05E+00,3.64E+00,1.85E+01,7.15E+00,9.38E+00,6.75E-01,8.02E-01,2.84E-03,3.25E-03,3.08E+00,9.74E-01,1.22E+00,2.50E-01
52.018,0.00E+00,3.37E+02,1.36E+02,1.74E+02,7.06E+01,2.82E+01,3.70E+01,2.60E+00,3.10E+00,1.68E+01,6.35E+00,8.28E+00,5.77E-01,6.83E-01,2.34E-03,2.68E-03,2.80E+00,8.65E-01,1.08E+00,2.27E-01
52.434,3.64E+03,3.31E+02,1.33E+02,1.70E+02,6.92E+01,2.75E+01,3.61E+01,2.52E+00,3.00E+00,1.65E+01,6.20E+00,8.07E+00,5.59E-01,6.61E-01,2.25E-03,2.58E-03,2.75E+00,8.45E-01,1.05E+00,2.23E-01
60,2.56E+03,2.38E+02,8.71E+01,1.09E+02,4.97E+01,1.83E+01,2.34E+01,1.47E+00,1.72E+00,1.18E+01,4.12E+00,5.24E+00,3.27E-01,3.82E-01,1.17E-03,1.33E-03,1.97E+00,5.62E-01,6.85E-01,1.60E-01
80,1.21E+03,1.15E+02,3.50E+01,4.15E+01,2.41E+01,7.53E+00,9.17E+00,4.62E-01,5.29E-01,5.73E+00,1.71E+00,2.07E+00,1.04E-01,1.18E-01,2.90E-04,3.25E-04,9.56E-01,2.33E-01,2.70E-01,7.75E-02
100,6.62E+02,6.49E+01,1.73E+01,1.96E+01,1.36E+01,3.77E+00,4.40E+00,1.89E-01,2.12E-01,3.23E+00,8.57E-01,9.95E-01,4.28E-02,4.75E-02,9.95E-05,1.10E-04,5.39E-01,1.17E-01,1.30E-01,4.37E-02
150,2.17E+02,2.23E+01,4.79E+00,5.05E+00,4.69E+00,1.07E+00,1.16E+00,3.83E-02,4.14E-02,1.12E+00,2.45E-01,2.62E-01,8.73E-03,9.36E-03,1.48E-05,1.61E-05,1.86E-01,3.34E-02,3.44E-02,1.51E-02
200,9.81E+01,1.04E+01,1.96E+00,1.95E+00,2.19E+00,4.43E-01,4.53E-01,1.27E-02,1.35E-02,5.20E-01,1.02E-01,1.03E-01,2.91E-03,3.06E-03,4.05E-06,4.36E-06,8.68E-02,1.39E-02,1.35E-02,7.03E-03
300,3.25E+01,3.56E+00,5.76E-01,5.38E-01,7.51E-01,1.32E-01,1.26E-01,2.84E-03,3.01E-03,1.79E-01,3.04E-02,2.87E-02,6.55E-04,6.86E-04,7.09E-07,7.71E-07,2.99E-02,4.15E-03,3.77E-03,2.42E-03
400,1.53E+01,1.70E+00,2.52E-01,2.27E-01,3.60E-01,5.82E-02,5.35E-02,1.04E-03,1.12E-03,8.57E-02,1.34E-02,1.22E-02,2.41E-04,2.56E-04,2.22E-07,2.50E-07,1.43E-02,1.83E-03,1.60E-03,1.16E-03
500,8.74E+00,9.80E-01,1.37E-01,1.21E-01,2.08E-01,3.17E-02,2.86E-02,5.01E-04,5.50E-04,4.95E-02,7.31E-03,6.51E-03,1.16E-04,1.26E-04,9.65E-08,1.12E-07,8.25E-03,9.99E-04,8.55E-04,6.70E-04
600,5.65E+00,6.36E-01,8.51E-02,7.40E-02,1.35E-01,1.98E-02,1.75E-02,2.83E-04,3.18E-04,3.21E-02,4.55E-03,4.01E-03,6.52E-05,7.35E-05,5.01E-08,6.09E-08,5.36E-03,6.22E-04,5.26E-04,4.36E-04
800,2.96E+00,3.34E-01,4.20E-02,3.63E-02,7.08E-02,9.78E-03,8.60E-03,1.21E-04,1.45E-04,1.69E-02,2.25E-03,1.97E-03,2.80E-05,3.33E-05,1.90E-08,2.52E-08,2.82E-03,3.08E-04,2.58E-04,2.30E-04
1000,1.86E+00,2.09E-01,2.53E-02,2.18E-02,4.44E-02,5.90E-03,5.18E-03,6.63E-05,8.46E-05,1.06E-02,1.36E-03,1.19E-03,1.54E-05,1.93E-05,9.68E-09,1.38E-08,1.77E-03,1.86E-04,1.56E-04,1.45E-04
1500,8.57E-01,9.64E-02,1.10E-02,9.53E-03,2.04E-02,2.58E-03,2.27E-03,2.53E-05,3.42E-05,4.87E-03,5.94E-04,5.19E-04,5.81E-06,7.99E-06,3.30E-09,5.45E-09,8.12E-04,8.12E-05,6.84E-05,6.77E-05
