PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.52E+05,1.10E+06,3.18E+04,3.66E+04,7.97E+04,9.29E+04,1.36E+05,3.37E+03,4.33E+03,6.15E+03,5.74E+03,1.19E+04,5.86E+02
1.1693,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.17E+05,7.54E+05,2.49E+04,2.92E+04,6.21E+04,6.69E+04,9.71E+04,1.96E+03,2.52E+03,4.74E+03,4.49E+03,9.16E+03,4.47E+02
1.1786,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.30E+05,5.07E+05,7.39E+05,2.46E+04,2.89E+04,6.13E+04,6.58E+04,9.54E+04,1.91E+03,2.45E+03,4.67E+03,4.43E+03,9.03E+03,4.41E+02
1.2589,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.14E+05,4.33E+05,6.29E+05,2.21E+04,2.61E+04,5.50E+04,5.69E+04,8.23E+04,1.51E+03,1.94E+03,4.18E+03,3.98E+03,8.06E+03,3.93E+02
1.269,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.05E+04,2.13E+05,4.25E+05,6.17E+05,2.18E+04,2.58E+04,5.42E+04,5.59E+04,8.09E+04,1.47E+03,1.88E+03,4.12E+03,3.93E+03,7.95E+03,3.88E+02
1.4089,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.23E+04,1.85E+05,3.29E+05,4.77E+05,1.84E+04,2.19E+04,4.53E+04,4.40E+04,6.34E+04,1.01E+03,1.29E+03,3.44E+03,3.30E+03,6.60E+03,3.22E+02
1.4202,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.65E+04,8.16E+04,1.83E+05,3.23E+05,4.68E+05,1.82E+04,2.16E+04,4.47E+04,4.32E+04,6.23E+04,9.82E+02,1.26E+03,3.39E+03,3.26E+03,6.51E+03,3.17E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.30E+04,7.63E+04,1.68E+05,2.81E+05,4.06E+05,1.66E+04,1.98E+04,4.06E+04,3.80E+04,5.46E+04,8.05E+02,1.03E+03,3.09E+03,2.97E+03,5.89E+03,2.88E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.56E+04,5.13E+04,1.07E+05,1.28E+05,1.83E+05,1.02E+04,1.20E+04,2.39E+04,1.85E+04,2.64E+04,2.76E+02,3.52E+02,1.85E+03,1.78E+03,3.42E+03,1.71E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.90E+04,2.57E+04,4.99E+04,3.87E+04,5.45E+04,5.58E+03,5.58E+03,1.06E+04,6.12E+03,8.62E+03,5.58E+01,7.03E+01,8.82E+02,8.11E+02,1.50E+03,8.28E+01
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E+04,1.45E+04,2.72E+04,1.56E+04,2.18E+04,2.89E+03,3.08E+03,5.68E+03,2.62E+03,3.65E+03,1.71E+01,2.15E+01,5.13E+02,4.45E+02,8.05E+02,4.81E+01
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.75E+03,9.00E+03,1.64E+04,7.50E+03,1.04E+04,1.89E+03,1.89E+03,3.42E+03,1.31E+03,1.81E+03,6.62E+00,8.28E+00,3.34E+02,2.73E+02,4.83E+02,3.13E+01
5.7069,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.05E+03,6.69E+03,1.20E+04,4.80E+03,6.62E+03,1.46E+03,1.40E+03,2.50E+03,8.53E+02,1.17E+03,3.72E+00,4.64E+00,2.58E+02,2.02E+02,3.53E+02,2.42E+01
5.7526,0.00E+00,0.00E+00,0.00E+00,8.10E+04,5.96E+03,6.56E+03,1.18E+04,4.67E+03,6.44E+03,1.44E+03,1.38E+03,2.45E+03,8.31E+02,1.14E+03,3.59E+00,4.48E+00,2.54E+02,1.98E+02,3.46E+02,2.38E+01
6,0.00E+00,0.00E+00,0.00E+00,7.41E+04,5.50E+03,5.96E+03,1.06E+04,4.04E+03,5.57E+03,1.33E+03,1.25E+03,2.21E+03,7.24E+02,9.95E+02,2.98E+00,3.72E+00,2.33E+02,1.80E+02,3.13E+02,2.19E+01
6.1594,0.00E+00,0.00E+00,0.00E+00,6.87E+04,5.24E+03,5.60E+03,9.98E+03,3.69E+03,5.09E+03,1.26E+03,1.18E+03,2.08E+03,6.64E+02,9.11E+02,2.66E+00,3.31E+00,2.22E+02,1.69E+02,2.94E+02,2.08E+01
