PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.58E+04,4.36E+04,8.52E+04,3.70E+04,5.40E+04,3.79E+03,1.32E+03,2.55E+03
1.3269,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.21E+04,2.44E+04,4.71E+04,1.48E+04,2.16E+04,2.28E+03,7.30E+02,1.39E+03
1.3376,0.00E+00,0.00E+00,0.00E+00,4.24E+05,2.18E+04,2.39E+04,4.63E+04,1.44E+04,2.10E+04,2.25E+03,7.17E+02,1.37E+03
1.3644,0.00E+00,0.00E+00,0.00E+00,4.27E+05,2.10E+04,2.29E+04,4.43E+04,1.35E+04,1.97E+04,2.17E+03,6.86E+02,1.31E+03
1.3753,0.00E+00,0.00E+00,2.05E+05,4.32E+05,2.07E+04,2.25E+04,4.35E+04,1.31E+04,1.91E+04,2.13E+03,6.75E+02,1.29E+03
1.5,0.00E+00,0.00E+00,1.88E+05,3.62E+05,1.78E+04,1.86E+04,3.58E+04,9.81E+03,1.43E+04,1.82E+03,5.56E+02,1.06E+03
1.5178,0.00E+00,0.00E+00,1.82E+05,3.51E+05,1.74E+04,1.81E+04,3.48E+04,9.43E+03,1.37E+04,1.78E+03,5.42E+02,1.03E+03
1.5299,0.00E+00,8.14E+04,1.79E+05,3.44E+05,1.72E+04,1.78E+04,3.42E+04,9.17E+03,1.34E+04,1.75E+03,5.32E+02,1.01E+03
2,0.00E+00,5.66E+04,8.88E+04,1.70E+05,1.05E+04,9.49E+03,1.81E+04,3.62E+03,5.25E+03,1.06E+03,2.84E+02,5.35E+02
3,0.00E+00,2.80E+04,2.94E+04,5.53E+04,4.73E+03,3.39E+03,6.37E+03,8.28E+02,1.19E+03,4.72E+02,1.02E+02,1.90E+02
4,0.00E+00,1.61E+04,1.28E+04,2.37E+04,2.61E+03,1.55E+03,2.89E+03,2.78E+02,3.99E+02,2.60E+02,4.71E+01,8.59E+01
5,0.00E+00,1.02E+04,6.53E+03,1.21E+04,1.62E+03,8.25E+02,1.52E+03,1.16E+02,1.66E+02,1.61E+02,2.51E+01,4.54E+01
6,0.00E+00,6.94E+03,3.73E+03,6.83E+03,1.09E+03,4.84E+02,8.87E+02,5.61E+01,8.01E+01,1.08E+02,1.47E+01,2.65E+01
8,0.00E+00,3.66E+03,1.50E+03,2.72E+03,5.68E+02,2.03E+02,3.67E+02,1.73E+01,2.45E+01,5.61E+01,6.20E+00,1.10E+01
10,0.00E+00,2.18E+03,7.29E+02,1.31E+03,3.37E+02,1.01E+02,1.81E+02,6.79E+00,9.58E+00,3.34E+01,3.09E+00,5.44E+00
11.817,0.00E+00,1.46E+03,4.21E+02,7.50E+02,2.25E+02,5.91E+01,1.05E+02,3.34E+00,4.69E+00,2.23E+01,1.81E+00,3.17E+00
