PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2
1,0.00E+00,3.08E+04,1.31E+04,2.58E+04,2.65E+03,2.20E+02,4.33E+02
1.5,0.00E+00,1.28E+04,3.66E+03,7.17E+03,1.08E+03,6.29E+01,1.23E+02
1.8267,0.00E+00,8.12E+03,1.92E+03,3.76E+03,6.84E+02,3.34E+01,6.54E+01
1.8413,1.34E+05,7.97E+03,1.87E+03,3.66E+03,6.71E+02,3.26E+01,6.37E+01
2,1.18E+05,6.56E+03,1.42E+03,2.78E+03,5.52E+02,2.49E+01,4.86E+01
3,4.18E+04,2.43E+03,3.56E+02,6.94E+02,2.04E+02,6.34E+00,1.23E+01
4,1.94E+04,1.16E+03,1.29E+02,2.51E+02,9.76E+01,2.32E+00,4.50E+00
5,1.05E+04,6.42E+02,5.79E+01,1.12E+02,5.41E+01,1.05E+00,2.02E+00
6,6.29E+03,3.91E+02,2.98E+01,5.75E+01,3.30E+01,5.40E-01,1.04E+00
8,2.75E+03,1.76E+02,1.02E+01,1.97E+01,1.49E+01,1.86E-01,3.58E-01
10,1.43E+03,9.34E+01,4.39E+00,8.42E+00,7.89E+00,8.04E-02,1.54E-01
15,4.26E+02,2.86E+01,9.19E-01,1.75E+00,2.42E+00,1.69E-02,3.21E-02
20,1.77E+02,1.21E+01,2.98E-01,5.61E-01,1.02E+00,5.49E-03,1.03E-02
30,5.02E+01,3.49E+00,5.99E-02,1.11E-01,2.96E-01,1.11E-03,2.06E-03
40,2.03E+01,1.42E+00,1.91E-02,3.52E-02,1.21E-01,3.55E-04,6.50E-04
50,9.97E+00,7.04E-01,7.89E-03,1.44E-02,5.98E-02,1.47E-04,2.66E-04
60,5.57E+00,3.95E-01,3.85E-03,6.91E-03,3.36E-02,7.14E-05,1.28E-04
80,2.21E+00,1.58E-01,1.25E-03,2.20E-03,1.34E-02,2.31E-05,4.07E-05
100,1.08E+00,7.72E-02,5.24E-04,9.09E-04,6.57E-03,9.71E-06,1.69E-05
150,2.94E-01,2.12E-02,1.12E-04,1.89E-04,1.80E-03,2.08E-06,3.51E-06
200,1.18E-01,8.53E-03,3.92E-05,6.46E-05,7.26E-04,7.24E-07,1.20E-06
300,3.41E-02,2.46E-03,9.53E-06,1.55E-05,2.10E-04,1.76E-07,2.89E-07
400,1.47E-02,1.07E-03,3.72E-06,6.12E-06,9.08E-05,6.85E-08,1.14E-07
500,7.99E-03,5.79E-04,1.87E-06,3.16E-06,4.93E-05,3.45E-08,5.89E-08
600,5.00E-03,3.62E-04,1.11E-06,1.90E-06,3.08E-05,2.03E-08,3.57E-08
800,2.53E-03,1.83E-04,5.10E-07,9.34E-07,1.56E-05,9.31E-09,1.76E-08
1000,1.57E-03,1.14E-04,2.96E-07,5.66E-07,9.71E-06,5.37E-09,1.08E-08
1500,7.38E-04,5.35E-05,1.22E-07,2.59E-07,4.58E-06,2.22E-09,5.10E-09
