PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2
2.2743,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.37E+04,1.28E+05,2.29E+05,3.25E+05,1.23E+04,1.52E+04,3.20E+04,3.24E+04,4.57E+04,9.09E+03,1.14E+04,2.20E+03,2.14E+03,4.22E+03,1.40E+02,1.82E+02,1.88E+02
2.4691,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.79E+04,1.13E+05,1.86E+05,2.63E+05,1.08E+04,1.33E+04,2.76E+04,2.67E+04,3.75E+04,6.76E+03,8.46E+03,1.91E+03,1.87E+03,3.62E+03,1.15E+02,1.50E+02,1.62E+02
2.4889,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.20E+04,4.75E+04,1.11E+05,1.82E+05,2.57E+05,1.07E+04,1.31E+04,2.72E+04,2.62E+04,3.68E+04,6.56E+03,8.22E+03,1.89E+03,1.84E+03,3.57E+03,1.13E+02,1.47E+02,1.60E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.53E+04,3.68E+04,8.09E+04,1.09E+05,1.53E+05,7.81E+03,9.61E+03,1.92E+04,1.65E+04,2.30E+04,3.29E+03,4.11E+03,1.36E+03,1.33E+03,2.50E+03,7.15E+01,9.19E+01,1.17E+02
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.65E+04,2.38E+04,4.80E+04,4.74E+04,6.54E+04,4.74E+03,5.72E+03,1.09E+04,7.72E+03,1.06E+04,1.09E+03,1.36E+03,8.14E+02,7.81E+02,1.40E+03,3.36E+01,4.26E+01,6.96E+01
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.15E+04,1.60E+04,3.06E+04,2.40E+04,3.27E+04,3.17E+03,3.71E+03,6.80E+03,4.12E+03,5.59E+03,4.51E+02,5.57E+02,5.39E+02,5.04E+02,8.75E+02,1.80E+01,2.26E+01,4.61E+01
6,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.46E+03,1.12E+04,2.07E+04,1.35E+04,1.82E+04,2.26E+03,2.56E+03,4.56E+03,2.41E+03,3.24E+03,2.15E+02,2.64E+02,3.82E+02,3.46E+02,5.85E+02,1.06E+01,1.31E+01,3.27E+01
8,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.05E+03,6.16E+03,1.07E+04,5.26E+03,7.01E+03,1.31E+03,1.38E+03,2.35E+03,9.92E+02,1.31E+03,6.42E+01,7.74E+01,2.19E+02,1.86E+02,3.02E+02,4.38E+00,5.36E+00,1.88E+01
9.2337,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.87E+03,4.48E+03,7.63E+03,3.24E+03,4.29E+03,9.88E+02,1.00E+03,1.67E+03,6.27E+02,8.23E+02,3.45E+01,4.16E+01,1.65E+02,1.35E+02,2.14E+02,2.77E+00,3.37E+00,1.42E+01
9.3076,0.00E+00,0.00E+00,0.00E+00,4.73E+04,3.81E+03,4.40E+03,7.48E+03,3.15E+03,4.17E+03,9.72E+02,9.85E+02,1.63E+03,6.11E+02,8.02E+02,3.33E+01,4.02E+01,1.63E+02,1.32E+02,2.10E+02,2.70E+00,3.28E+00,1.39E+01
10,0.00E+00,0.00E+00,0.00E+00,3.93E+04,3.32E+03,3.74E+03,6.27E+03,2.47E+03,3.25E+03,8.44E+02,8.35E+02,1.37E+03,4.83E+02,6.31E+02,2.43E+01,2.93E+01,1.41E+02,1.12E+02,1.76E+02,2.14E+00,2.59E+00,1.21E+01
10.363,0.00E+00,0.00E+00,0.00E+00,3.57E+04,3.10E+03,3.44E+03,5.74E+03,2.18E+03,2.87E+03,7.86E+02,7.69E+02,1.26E+03,4.29E+02,5.60E+02,2.08E+01,2.51E+01,1.31E+02,1.03E+02,1.61E+02,1.90E+00,2.30E+00,1.12E+01
10.446,0.00E+00,0.00E+00,2.12E+04,3.49E+04,3.06E+03,3.38E+03,5.63E+03,2.12E+03,2.79E+03,7.74E+02,7.55E+02,1.23E+03,4.18E+02,5.45E+02,2.01E+01,2.42E+01,1.29E+02,1.01E+02,1.58E+02,1.85E+00,2.24E+00,1.11E+01
10.837,0.00E+00,0.00E+00,1.97E+04,3.18E+04,2.85E+03,3.10E+03,5.13E+03,1.87E+03,2.45E+03,7.19E+02,6.93E+02,1.12E+03,3.70E+02,4.82E+02,1.71E+01,2.05E+01,1.20E+02,9.29E+01,1.44E+02,1.64E+00,1.98E+00,1.03E+01
10.924,0.00E+00,1.08E+04,1.92E+04,3.11E+04,2.80E+03,3.04E+03,5.03E+03,1.82E+03,2.38E+03,7.08E+02,6.80E+02,1.10E+03,3.61E+02,4.69E+02,1.65E+01,1.98E+01,1.18E+02,9.12E+01,1.41E+02,1.60E+00,1.93E+00,1.01E+01
15,0.00E+00,6.23E+03,8.41E+03,1.27E+04,1.49E+03,1.41E+03,2.21E+03,5.90E+02,7.59E+02,3.71E+02,3.16E+02,4.86E+02,1.22E+02,1.56E+02,3.98E+00,4.74E+00,6.16E+01,4.23E+01,6.25E+01,5.44E-01,6.42E-01,5.28E+00
20,0.00E+00,3.57E+03,3.78E+03,5.43E+03,8.21E+02,6.75E+02,1.01E+03,2.06E+02,2.60E+02,2.02E+02,1.52E+02,2.23E+02,4.39E+01,5.49E+01,1.07E+00,1.26E+00,3.35E+01,2.06E+01,2.87E+01,1.97E-01,2.28E-01,2.87E+00
30,0.00E+00,1.54E+03,1.17E+03,1.57E+03,3.40E+02,2.26E+02,3.14E+02,4.46E+01,5.46E+01,8.30E+01,5.11E+01,7.02E+01,9.85E+00,1.19E+01,1.60E-01,1.86E-01,1.37E+01,6.94E+00,9.04E+00,4.43E-02,4.97E-02,1.18E+00
40,0.00E+00,8.14E+02,4.98E+02,6.35E+02,1.77E+02,1.00E+02,1.32E+02,1.47E+01,1.75E+01,4.30E+01,2.28E+01,2.98E+01,3.30E+00,3.91E+00,4.08E-02,4.67E-02,7.16E+00,3.11E+00,3.85E+00,1.49E-02,1.63E-02,6.09E-01
50,0.00E+00,4.87E+02,2.53E+02,3.10E+02,1.05E+02,5.25E+01,6.65E+01,6.13E+00,7.17E+00,2.55E+01,1.20E+01,1.51E+01,1.40E+00,1.62E+00,1.40E-02,1.58E-02,4.24E+00,1.64E+00,1.94E+00,6.31E-03,6.77E-03,3.61E-01
60,0.00E+00,3.16E+02,1.45E+02,1.71E+02,6.78E+01,3.07E+01,3.75E+01,2.99E+00,3.44E+00,1.64E+01,7.05E+00,8.54E+00,6.87E-01,7.83E-01,5.85E-03,6.55E-03,2.73E+00,9.61E-01,1.10E+00,3.11E-03,3.28E-03,2.33E-01
63.397,0.00E+00,2.76E+02,1.22E+02,1.43E+02,5.94E+01,2.60E+01,3.15E+01,2.41E+00,2.75E+00,1.44E+01,6.00E+00,7.18E+00,5.55E-01,6.29E-01,4.50E-03,5.02E-03,2.39E+00,8.17E-01,9.27E-01,2.51E-03,2.63E-03,2.03E-01
63.905,2.89E+03,2.71E+02,1.19E+02,1.39E+02,5.82E+01,2.54E+01,3.07E+01,2.33E+00,2.67E+00,1.41E+01,5.86E+00,7.00E+00,5.37E-01,6.09E-01,4.33E-03,4.83E-03,2.35E+00,7.98E-01,9.04E-01,2.43E-03,2.55E-03,2.00E-01
80,1.62E+03,1.56E+02,5.96E+01,6.66E+01,3.35E+01,1.30E+01,1.50E+01,9.62E-01,1.07E+00,8.11E+00,3.00E+00,3.43E+00,2.23E-01,2.48E-01,1.49E-03,1.64E-03,1.35E+00,4.09E-01,4.43E-01,1.01E-03,1.04E-03,1.15E-01
100,8.98E+02,8.91E+01,2.98E+01,3.18E+01,1.91E+01,6.61E+00,7.30E+00,4.00E-01,4.37E-01,4.63E+00,1.54E+00,1.68E+00,9.35E-02,1.01E-01,5.18E-04,5.62E-04,7.69E-01,2.10E-01,2.17E-01,4.24E-04,4.25E-04,6.54E-02
150,3.02E+02,3.14E+01,8.51E+00,8.34E+00,6.74E+00,1.94E+00,1.96E+00,8.27E-02,8.70E-02,1.63E+00,4.52E-01,4.53E-01,1.95E-02,2.03E-02,7.92E-05,8.41E-05,2.71E-01,6.18E-02,5.86E-02,8.87E-05,8.57E-05,2.31E-02
200,1.38E+02,1.48E+01,3.54E+00,3.27E+00,3.19E+00,8.17E-01,7.79E-01,2.78E-02,2.86E-02,7.74E-01,1.92E-01,1.80E-01,6.60E-03,6.72E-03,2.19E-05,2.30E-05,1.29E-01,2.61E-02,2.34E-02,3.00E-05,2.84E-05,1.09E-02
300,4.65E+01,5.17E+00,1.06E+00,9.10E-01,1.12E+00,2.50E-01,2.20E-01,6.33E-03,6.47E-03,2.71E-01,5.87E-02,5.11E-02,1.51E-03,1.53E-03,3.89E-06,4.12E-06,4.51E-02,8.02E-03,6.63E-03,6.87E-06,6.46E-06,3.84E-03
400,2.21E+01,2.50E+00,4.72E-01,3.86E-01,5.42E-01,1.11E-01,9.41E-02,2.34E-03,2.43E-03,1.32E-01,2.63E-02,2.18E-02,5.62E-04,5.73E-04,1.23E-06,1.34E-06,2.19E-02,3.59E-03,2.84E-03,2.55E-06,2.44E-06,1.86E-03
500,1.27E+01,1.45E+00,2.58E-01,2.06E-01,3.15E-01,6.13E-02,5.04E-02,1.13E-03,1.19E-03,7.65E-02,1.45E-02,1.17E-02,2.70E-04,2.82E-04,5.28E-07,5.97E-07,1.27E-02,1.97E-03,1.52E-03,1.23E-06,1.20E-06,1.08E-03
600,8.27E+00,9.49E-01,1.61E-01,1.27E-01,2.06E-01,3.84E-02,3.11E-02,6.41E-04,6.92E-04,4.99E-02,9.07E-03,7.21E-03,1.54E-04,1.65E-04,2.80E-07,3.27E-07,8.30E-03,1.24E-03,9.37E-04,7.00E-07,7.04E-07,7.08E-04
800,4.35E+00,5.01E-01,8.03E-02,6.20E-02,1.09E-01,1.92E-02,1.52E-02,2.76E-04,3.16E-04,2.64E-02,4.53E-03,3.54E-03,6.66E-05,7.50E-05,1.07E-07,1.35E-07,4.39E-03,6.18E-04,4.60E-04,3.03E-07,3.23E-07,3.75E-04
1000,2.74E+00,3.15E-01,4.86E-02,3.73E-02,6.83E-02,1.16E-02,9.15E-03,1.54E-04,1.80E-04,1.66E-02,2.75E-03,2.13E-03,3.67E-05,4.33E-05,5.48E-08,7.38E-08,2.76E-03,3.75E-04,2.77E-04,1.68E-07,1.88E-07,2.36E-04
1500,1.26E+00,1.45E-01,2.13E-02,1.62E-02,3.14E-02,5.12E-03,3.98E-03,5.79E-05,7.61E-05,7.61E-03,1.21E-03,9.27E-04,1.39E-05,1.79E-05,1.83E-08,2.81E-08,1.27E-03,1.65E-04,1.21E-04,6.48E-08,8.05E-08,1.10E-04
