PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.99E+04,4.26E+04,1.13E+05,1.56E+05,2.30E+05,1.36E+05,1.73E+05,8.24E+03,7.10E+03,1.63E+04,6.89E+02,9.53E+02,7.47E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.33E+04,2.74E+04,6.37E+04,7.87E+04,1.13E+05,3.81E+04,4.81E+04,4.38E+03,4.09E+03,8.66E+03,3.36E+02,4.57E+02,3.84E+02
1.596,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.13E+04,2.53E+04,5.79E+04,6.97E+04,9.99E+04,3.10E+04,3.91E+04,3.96E+03,3.74E+03,7.82E+03,2.97E+02,4.03E+02,3.46E+02
1.6088,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.63E+05,2.10E+04,2.50E+04,5.71E+04,6.86E+04,9.83E+04,3.02E+04,3.81E+04,3.91E+03,3.69E+03,7.72E+03,2.92E+02,3.97E+02,3.41E+02
1.6492,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.19E+05,2.03E+04,2.42E+04,5.49E+04,6.52E+04,9.34E+04,2.78E+04,3.50E+04,3.76E+03,3.56E+03,7.40E+03,2.77E+02,3.72E+02,3.27E+02
1.6624,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.65E+05,7.25E+05,2.00E+04,2.39E+04,5.42E+04,6.42E+04,9.19E+04,2.70E+04,3.41E+04,3.71E+03,3.52E+03,7.30E+03,2.73E+02,3.66E+02,3.23E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.21E+05,4.57E+05,1.51E+04,1.84E+04,4.00E+04,4.34E+04,6.15E+04,1.43E+04,1.80E+04,2.74E+03,2.64E+03,5.31E+03,1.87E+02,2.45E+02,2.35E+02
2.0141,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.15E+05,4.49E+05,1.50E+04,1.82E+04,3.95E+04,4.27E+04,6.05E+04,1.40E+04,1.76E+04,2.70E+03,2.61E+03,5.24E+03,1.84E+02,2.41E+02,2.32E+02
2.0302,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.55E+05,3.08E+05,4.40E+05,1.48E+04,1.80E+04,3.90E+04,4.20E+04,5.95E+04,1.36E+04,1.71E+04,2.67E+03,2.58E+03,5.17E+03,1.81E+02,2.37E+02,2.29E+02
2.2562,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E+05,2.34E+05,3.32E+05,1.25E+04,1.53E+04,3.25E+04,3.30E+04,4.66E+04,9.35E+03,1.17E+04,2.23E+03,2.17E+03,4.28E+03,1.42E+02,1.86E+02,1.90E+02
