PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2
1,0.00E+00,1.23E+05,2.46E+05,4.81E+05,2.34E+04,2.33E+04,4.53E+04,5.96E+03,8.75E+03,1.53E+03
1.5,0.00E+00,6.55E+04,8.70E+04,1.68E+05,1.10E+04,8.80E+03,1.70E+04,1.43E+03,2.09E+03,7.08E+02
2,0.00E+00,3.95E+04,3.92E+04,7.51E+04,6.22E+03,4.18E+03,8.00E+03,4.95E+02,7.23E+02,3.99E+02
3,0.00E+00,1.79E+04,1.19E+04,2.27E+04,2.69E+03,1.37E+03,2.59E+03,1.04E+02,1.52E+02,1.72E+02
4,0.00E+00,9.81E+03,4.95E+03,9.32E+03,1.44E+03,5.90E+02,1.11E+03,3.30E+01,4.78E+01,9.23E+01
5,0.00E+00,5.99E+03,2.45E+03,4.58E+03,8.74E+02,3.00E+02,5.61E+02,1.32E+01,1.90E+01,5.59E+01
6,0.00E+00,3.95E+03,1.36E+03,2.53E+03,5.73E+02,1.70E+02,3.16E+02,6.12E+00,8.81E+00,3.66E+01
7.6731,0.00E+00,2.21E+03,6.04E+02,1.12E+03,3.19E+02,7.72E+01,1.43E+02,2.14E+00,3.05E+00,2.04E+01
7.7345,2.99E+04,2.17E+03,5.88E+02,1.09E+03,3.13E+02,7.52E+01,1.39E+02,2.07E+00,2.95E+00,2.00E+01
8,2.76E+04,2.00E+03,5.25E+02,9.71E+02,2.89E+02,6.74E+01,1.24E+02,1.79E+00,2.55E+00,1.84E+01
10,1.58E+04,1.15E+03,2.47E+02,4.54E+02,1.66E+02,3.22E+01,5.91E+01,6.80E-01,9.65E-01,1.06E+01
15,5.32E+03,4.09E+02,6.06E+01,1.10E+02,5.90E+01,8.11E+00,1.46E+01,1.14E-01,1.60E-01,3.76E+00
20,2.39E+03,1.90E+02,2.18E+01,3.90E+01,2.74E+01,2.96E+00,5.28E+00,3.12E-02,4.36E-02,1.75E+00
30,7.48E+02,6.19E+01,5.03E+00,8.79E+00,8.97E+00,6.91E-01,1.21E+00,4.93E-03,6.78E-03,5.73E-01
40,3.21E+02,2.73E+01,1.75E+00,3.00E+00,3.96E+00,2.42E-01,4.15E-01,1.33E-03,1.80E-03,2.53E-01
50,1.65E+02,1.43E+01,7.66E-01,1.30E+00,2.08E+00,1.07E-01,1.80E-01,4.78E-04,6.44E-04,1.33E-01
60,9.54E+01,8.33E+00,3.90E-01,6.51E-01,1.21E+00,5.46E-02,9.07E-02,2.09E-04,2.78E-04,7.76E-02
80,3.98E+01,3.53E+00,1.34E-01,2.19E-01,5.15E-01,1.89E-02,3.07E-02,5.68E-05,7.46E-05,3.30E-02
100,2.01E+01,1.80E+00,5.92E-02,9.44E-02,2.63E-01,8.35E-03,1.33E-02,2.10E-05,2.72E-05,1.68E-02
150,5.78E+00,5.27E-01,1.36E-02,2.09E-02,7.72E-02,1.93E-03,2.95E-03,3.58E-06,4.57E-06,4.93E-03
200,2.40E+00,2.21E-01,4.96E-03,7.41E-03,3.24E-02,7.04E-04,1.05E-03,1.07E-06,1.36E-06,2.07E-03
300,7.20E-01,6.68E-02,1.27E-03,1.85E-03,9.80E-03,1.81E-04,2.62E-04,2.13E-07,2.77E-07,6.27E-04
400,3.19E-01,2.97E-02,5.13E-04,7.43E-04,4.36E-03,7.29E-05,1.05E-04,7.34E-08,9.87E-08,2.79E-04
500,1.75E-01,1.63E-02,2.64E-04,3.86E-04,2.40E-03,3.75E-05,5.48E-05,3.35E-08,4.76E-08,1.54E-04
600,1.10E-01,1.03E-02,1.58E-04,2.34E-04,1.51E-03,2.24E-05,3.33E-05,1.84E-08,2.73E-08,9.69E-05
800,5.62E-02,5.26E-03,7.40E-05,1.15E-04,7.72E-04,1.05E-05,1.63E-05,7.60E-09,1.24E-08,4.95E-05
1000,3.50E-02,3.27E-03,4.32E-05,6.99E-05,4.80E-04,6.15E-06,9.92E-06,4.07E-09,7.25E-09,3.09E-05
1500,1.63E-02,1.52E-03,1.81E-05,3.16E-05,2.24E-04,2.57E-06,4.50E-06,1.50E-09,3.13E-09,1.45E-05
