PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.34E+04,5.62E+04,1.11E+05,6.73E+04,9.83E+04,5.88E+03,5.00E+03,9.67E+03
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.20E+04,2.53E+04,4.88E+04,1.88E+04,2.73E+04,2.86E+03,2.19E+03,4.18E+03
1.6717,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.82E+04,2.00E+04,3.84E+04,1.31E+04,1.91E+04,2.34E+03,1.73E+03,3.28E+03
1.6851,0.00E+00,0.00E+00,0.00E+00,3.96E+05,1.79E+04,1.97E+04,3.77E+04,1.28E+04,1.86E+04,2.31E+03,1.70E+03,3.22E+03
1.7267,0.00E+00,0.00E+00,0.00E+00,3.33E+05,1.71E+04,1.86E+04,3.57E+04,1.18E+04,1.71E+04,2.20E+03,1.61E+03,3.05E+03
1.7405,0.00E+00,0.00E+00,1.89E+05,3.31E+05,1.69E+04,1.83E+04,3.51E+04,1.15E+04,1.66E+04,2.17E+03,1.58E+03,3.00E+03
1.9005,0.00E+00,0.00E+00,1.41E+05,2.71E+05,1.44E+04,1.50E+04,2.87E+04,8.53E+03,1.24E+04,1.84E+03,1.30E+03,2.45E+03
1.9157,0.00E+00,6.48E+04,1.39E+05,2.66E+05,1.42E+04,1.47E+04,2.82E+04,8.30E+03,1.20E+04,1.81E+03,1.27E+03,2.40E+03
2,0.00E+00,6.43E+04,1.24E+05,2.37E+05,1.31E+04,1.34E+04,2.55E+04,7.16E+03,1.04E+04,1.67E+03,1.15E+03,2.17E+03
3,0.00E+00,3.31E+04,4.22E+04,7.91E+04,6.07E+03,4.99E+03,9.36E+03,1.71E+03,2.46E+03,7.60E+02,4.31E+02,8.01E+02
4,0.00E+00,1.95E+04,1.88E+04,3.47E+04,3.40E+03,2.35E+03,4.36E+03,5.88E+02,8.42E+02,4.23E+02,2.04E+02,3.74E+02
5,0.00E+00,1.26E+04,9.77E+03,1.79E+04,2.14E+03,1.27E+03,2.34E+03,2.51E+02,3.58E+02,2.65E+02,1.11E+02,2.02E+02
6,0.00E+00,8.66E+03,5.65E+03,1.03E+04,1.45E+03,7.60E+02,1.38E+03,1.23E+02,1.75E+02,1.79E+02,6.62E+01,1.19E+02
8,0.00E+00,4.66E+03,2.32E+03,4.17E+03,7.64E+02,3.26E+02,5.86E+02,3.89E+01,5.50E+01,9.43E+01,2.87E+01,5.07E+01
