PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2
10,0.00E+00,2.82E+03,1.14E+03,2.03E+03,4.59E+02,1.65E+02,2.94E+02,1.56E+01,2.19E+01,5.65E+01,1.46E+01,2.55E+01
14.266,0.00E+00,1.22E+03,3.59E+02,6.25E+02,1.97E+02,5.39E+01,9.40E+01,3.50E+00,4.86E+00,2.43E+01,4.77E+00,8.20E+00
14.38,1.54E+04,1.20E+03,3.49E+02,6.09E+02,1.93E+02,5.25E+01,9.16E+01,3.38E+00,4.70E+00,2.38E+01,4.65E+00,7.98E+00
15,1.38E+04,1.08E+03,3.03E+02,5.28E+02,1.74E+02,4.58E+01,7.98E+01,2.82E+00,3.92E+00,2.15E+01,4.06E+00,6.95E+00
20,6.61E+03,5.27E+02,1.15E+02,1.97E+02,8.51E+01,1.78E+01,3.05E+01,8.19E-01,1.13E+00,1.05E+01,1.58E+00,2.67E+00
30,2.20E+03,1.84E+02,2.86E+01,4.76E+01,2.97E+01,4.53E+00,7.55E+00,1.40E-01,1.89E-01,3.66E+00,4.04E-01,6.62E-01
40,9.79E+02,8.47E+01,1.04E+01,1.70E+01,1.37E+01,1.68E+00,2.73E+00,3.94E-02,5.25E-02,1.69E+00,1.50E-01,2.40E-01
50,5.17E+02,4.57E+01,4.74E+00,7.57E+00,7.42E+00,7.69E-01,1.23E+00,1.47E-02,1.93E-02,9.15E-01,6.88E-02,1.08E-01
60,3.04E+02,2.74E+01,2.48E+00,3.90E+00,4.45E+00,4.05E-01,6.36E-01,6.59E-03,8.53E-03,5.49E-01,3.63E-02,5.60E-02
80,1.31E+02,1.20E+01,8.92E-01,1.36E+00,1.96E+00,1.47E-01,2.24E-01,1.87E-03,2.37E-03,2.42E-01,1.32E-02,1.98E-02
100,6.73E+01,6.31E+00,4.04E-01,6.02E-01,1.03E+00,6.68E-02,9.95E-02,7.10E-04,8.89E-04,1.27E-01,6.00E-03,8.79E-03
150,2.00E+01,1.92E+00,9.78E-02,1.39E-01,3.15E-01,1.63E-02,2.31E-02,1.27E-04,1.56E-04,3.89E-02,1.46E-03,2.05E-03
200,8.50E+00,8.28E-01,3.66E-02,5.04E-02,1.36E-01,6.14E-03,8.42E-03,3.91E-05,4.78E-05,1.68E-02,5.51E-04,7.45E-04
300,2.61E+00,2.58E-01,9.70E-03,1.29E-02,4.23E-02,1.63E-03,2.16E-03,8.04E-06,9.95E-06,5.23E-03,1.46E-04,1.91E-04
400,1.17E+00,1.17E-01,3.99E-03,5.25E-03,1.92E-02,6.72E-04,8.81E-04,2.82E-06,3.57E-06,2.37E-03,6.03E-05,7.81E-05
500,6.50E-01,6.49E-02,2.07E-03,2.74E-03,1.07E-02,3.51E-04,4.61E-04,1.30E-06,1.73E-06,1.32E-03,3.14E-05,4.09E-05
600,4.12E-01,4.12E-02,1.25E-03,1.67E-03,6.77E-03,2.11E-04,2.81E-04,7.15E-07,1.01E-06,8.36E-04,1.90E-05,2.49E-05
800,2.11E-01,2.11E-02,5.96E-04,8.18E-04,3.47E-03,1.01E-04,1.38E-04,2.99E-07,4.51E-07,4.29E-04,9.01E-06,1.22E-05
1000,1.31E-01,1.32E-02,3.51E-04,4.95E-04,2.16E-03,5.91E-05,8.36E-05,1.62E-07,2.63E-07,2.67E-04,5.30E-06,7.44E-06
1500,6.11E-02,6.11E-03,1.48E-04,2.23E-04,1.00E-03,2.50E-05,3.76E-05,6.33E-08,1.09E-07,1.24E-04,2.24E-06,3.37E-06
