PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.81E+04,4.24E+04,1.02E+05,1.35E+05,1.98E+05,5.53E+04,7.06E+04,7.41E+03,6.56E+03,1.43E+04,6.15E+02
1.298,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.64E+04,3.08E+04,6.95E+04,8.42E+04,1.22E+05,2.37E+04,3.02E+04,4.89E+03,4.52E+03,9.42E+03,3.98E+02
1.3084,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.91E+05,2.60E+04,3.05E+04,6.87E+04,8.29E+04,1.20E+05,2.31E+04,2.94E+04,4.83E+03,4.47E+03,9.30E+03,3.93E+02
1.3352,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.09E+05,2.53E+04,2.97E+04,6.66E+04,7.97E+04,1.15E+05,2.16E+04,2.74E+04,4.67E+03,4.33E+03,9.00E+03,3.79E+02
1.3459,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.43E+05,9.24E+05,2.50E+04,2.94E+04,6.57E+04,7.84E+04,1.13E+05,2.10E+04,2.67E+04,4.61E+03,4.28E+03,8.88E+03,3.74E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.88E+05,7.04E+05,2.12E+04,2.53E+04,5.53E+04,6.28E+04,9.02E+04,1.45E+04,1.84E+04,3.86E+03,3.63E+03,7.40E+03,3.11E+02
1.6604,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.77E+05,5.42E+05,1.81E+04,2.18E+04,4.68E+04,5.04E+04,7.22E+04,1.02E+04,1.29E+04,3.25E+03,3.09E+03,6.21E+03,2.61E+02
1.6737,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.80E+05,3.70E+05,5.31E+05,1.79E+04,2.15E+04,4.61E+04,4.96E+04,7.09E+04,9.94E+03,1.26E+04,3.21E+03,3.05E+03,6.12E+03,2.57E+02
1.8295,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.57E+05,2.95E+05,4.22E+05,1.55E+04,1.88E+04,3.96E+04,4.06E+04,5.78E+04,7.25E+03,9.17E+03,2.76E+03,2.64E+03,5.22E+03,2.20E+02
1.8441,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.56E+04,1.56E+05,2.89E+05,4.13E+05,1.53E+04,1.86E+04,3.91E+04,3.98E+04,5.67E+04,7.05E+03,8.91E+03,2.73E+03,2.60E+03,5.15E+03,2.17E+02
