PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.06E+04,9.95E+04,2.10E+05,3.03E+05,4.42E+05,1.74E+04,1.92E+04,3.85E+04,2.43E+04,3.50E+04,5.83E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.94E+04,5.41E+04,1.08E+05,9.80E+04,1.42E+05,8.64E+03,9.38E+03,1.82E+04,8.49E+03,1.21E+04,2.84E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.47E+04,3.20E+04,6.23E+04,4.13E+04,5.93E+04,5.17E+03,5.37E+03,1.02E+04,3.76E+03,5.34E+03,1.68E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.21E+04,1.39E+04,2.61E+04,1.12E+04,1.60E+04,2.44E+03,2.28E+03,4.22E+03,1.09E+03,1.53E+03,8.02E+01
3.3465,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.92E+03,1.09E+04,2.03E+04,7.78E+03,1.11E+04,1.98E+03,1.78E+03,3.28E+03,7.63E+02,1.07E+03,6.50E+01
3.3733,0.00E+00,0.00E+00,0.00E+00,1.56E+05,9.78E+03,1.07E+04,1.99E+04,7.58E+03,1.08E+04,1.95E+03,1.75E+03,3.22E+03,7.44E+02,1.04E+03,6.40E+01
3.5247,0.00E+00,0.00E+00,0.00E+00,1.40E+05,9.01E+03,9.64E+03,1.79E+04,6.53E+03,9.26E+03,1.79E+03,1.58E+03,2.90E+03,6.44E+02,9.03E+02,5.88E+01
3.553,0.00E+00,0.00E+00,7.38E+04,1.38E+05,8.87E+03,9.47E+03,1.76E+04,6.35E+03,9.01E+03,1.77E+03,1.55E+03,2.85E+03,6.27E+02,8.80E+02,5.79E+01
3.7799,0.00E+00,0.00E+00,6.36E+04,1.19E+05,7.90E+03,8.20E+03,1.52E+04,5.14E+03,7.28E+03,1.57E+03,1.34E+03,2.45E+03,5.11E+02,7.15E+02,5.13E+01
3.8102,0.00E+00,3.33E+04,6.25E+04,1.16E+05,7.78E+03,8.05E+03,1.49E+04,5.00E+03,7.08E+03,1.54E+03,1.32E+03,2.41E+03,4.97E+02,6.96E+02,5.05E+01
4,0.00E+00,3.13E+04,5.57E+04,1.02E+05,7.10E+03,7.18E+03,1.32E+04,4.23E+03,5.98E+03,1.40E+03,1.17E+03,2.14E+03,4.23E+02,5.91E+02,4.59E+01
5,0.00E+00,2.17E+04,3.06E+04,5.49E+04,4.61E+03,4.18E+03,7.58E+03,1.93E+03,2.71E+03,9.00E+02,6.83E+02,1.23E+03,1.97E+02,2.74E+02,2.94E+01
6,0.00E+00,1.56E+04,1.85E+04,3.27E+04,3.20E+03,2.63E+03,4.71E+03,9.96E+02,1.40E+03,6.21E+02,4.31E+02,7.64E+02,1.03E+02,1.42E+02,2.03E+01
8,0.00E+00,8.99E+03,8.13E+03,1.41E+04,1.77E+03,1.23E+03,2.15E+03,3.41E+02,4.73E+02,3.41E+02,2.02E+02,3.51E+02,3.61E+01,4.92E+01,1.11E+01
10,0.00E+00,5.71E+03,4.20E+03,7.18E+03,1.10E+03,6.62E+02,1.14E+03,1.45E+02,2.00E+02,2.11E+02,1.09E+02,1.87E+02,1.56E+01,2.10E+01,6.88E+00
15,0.00E+00,2.37E+03,1.22E+03,2.01E+03,4.46E+02,2.04E+02,3.41E+02,2.91E+01,3.95E+01,8.50E+01,3.40E+01,5.64E+01,3.19E+00,4.25E+00,2.77E+00
20,0.00E+00,1.23E+03,4.89E+02,7.91E+02,2.28E+02,8.51E+01,1.39E+02,9.02E+00,1.21E+01,4.34E+01,1.43E+01,2.31E+01,9.98E-01,1.31E+00,1.42E+00
25.465,0.00E+00,6.88E+02,2.24E+02,3.54E+02,1.28E+02,4.00E+01,6.40E+01,3.31E+00,4.38E+00,2.43E+01,6.73E+00,1.07E+01,3.69E-01,4.80E-01,7.91E-01
25.669,8.09E+03,6.75E+02,2.18E+02,3.45E+02,1.25E+02,3.90E+01,6.23E+01,3.20E+00,4.24E+00,2.38E+01,6.56E+00,1.04E+01,3.57E-01,4.64E-01,7.75E-01
30,5.46E+03,4.60E+02,1.31E+02,2.04E+02,8.51E+01,2.37E+01,3.74E+01,1.67E+00,2.19E+00,1.62E+01,4.00E+00,6.25E+00,1.87E-01,2.40E-01,5.28E-01
40,2.56E+03,2.22E+02,5.02E+01,7.61E+01,4.11E+01,9.33E+00,1.43E+01,4.94E-01,6.37E-01,7.82E+00,1.58E+00,2.39E+00,5.57E-02,7.05E-02,2.55E-01
50,1.39E+03,1.24E+02,2.37E+01,3.51E+01,2.30E+01,4.47E+00,6.68E+00,1.92E-01,2.44E-01,4.37E+00,7.60E-01,1.12E+00,2.17E-02,2.71E-02,1.42E-01
60,8.40E+02,7.63E+01,1.28E+01,1.85E+01,1.42E+01,2.44E+00,3.56E+00,8.84E-02,1.11E-01,2.70E+00,4.15E-01,5.99E-01,1.00E-02,1.24E-02,8.78E-02
80,3.72E+02,3.49E+01,4.81E+00,6.72E+00,6.50E+00,9.31E-01,1.31E+00,2.61E-02,3.21E-02,1.24E+00,1.59E-01,2.21E-01,2.98E-03,3.59E-03,4.03E-02
100,1.96E+02,1.88E+01,2.26E+00,3.06E+00,3.51E+00,4.40E-01,6.01E-01,1.02E-02,1.24E-02,6.69E-01,7.52E-02,1.02E-01,1.17E-03,1.39E-03,2.18E-02
150,6.07E+01,6.03E+00,5.76E-01,7.38E-01,1.13E+00,1.14E-01,1.47E-01,1.92E-03,2.27E-03,2.15E-01,1.95E-02,2.49E-02,2.20E-04,2.55E-04,7.00E-03
200,2.64E+01,2.67E+00,2.23E-01,2.75E-01,5.01E-01,4.44E-02,5.51E-02,6.11E-04,7.08E-04,9.56E-02,7.62E-03,9.33E-03,7.00E-05,8.02E-05,3.11E-03
300,8.34E+00,8.64E-01,6.17E-02,7.25E-02,1.62E-01,1.24E-02,1.46E-02,1.31E-04,1.52E-04,3.10E-02,2.12E-03,2.48E-03,1.49E-05,1.72E-05,1.01E-03
400,3.81E+00,3.99E-01,2.60E-02,2.99E-02,7.50E-02,5.22E-03,6.04E-03,4.65E-05,5.54E-05,1.43E-02,8.96E-04,1.03E-03,5.32E-06,6.31E-06,4.67E-04
500,2.14E+00,2.25E-01,1.37E-02,1.57E-02,4.23E-02,2.77E-03,3.18E-03,2.17E-05,2.71E-05,8.08E-03,4.75E-04,5.41E-04,2.50E-06,3.07E-06,2.63E-04
600,1.36E+00,1.44E-01,8.38E-03,9.63E-03,2.71E-02,1.69E-03,1.95E-03,1.21E-05,1.58E-05,5.17E-03,2.90E-04,3.31E-04,1.39E-06,1.78E-06,1.69E-04
800,7.04E-01,7.43E-02,4.03E-03,4.72E-03,1.40E-02,8.16E-04,9.55E-04,5.18E-06,7.04E-06,2.67E-03,1.40E-04,1.63E-04,5.85E-07,8.14E-07,8.74E-05
1000,4.39E-01,4.64E-02,2.40E-03,2.85E-03,8.74E-03,4.84E-04,5.79E-04,2.78E-06,4.18E-06,1.67E-03,8.32E-05,9.84E-05,3.17E-07,4.72E-07,5.47E-05
1500,2.04E-01,2.14E-02,1.03E-03,1.27E-03,4.04E-03,2.07E-04,2.58E-04,1.04E-06,1.71E-06,7.71E-04,3.56E-05,4.39E-05,1.17E-07,1.99E-07,2.56E-05
