PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.89E+04,3.22E+04,6.26E+04,1.73E+04,2.53E+04,1.74E+03
1.025,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.77E+04,3.05E+04,5.93E+04,1.60E+04,2.33E+04,1.67E+03
1.0332,0.00E+00,0.00E+00,0.00E+00,4.24E+05,2.73E+04,3.00E+04,5.83E+04,1.56E+04,2.27E+04,1.64E+03
1.0495,0.00E+00,0.00E+00,0.00E+00,6.07E+05,2.66E+04,2.90E+04,5.64E+04,1.48E+04,2.16E+04,1.60E+03
1.0579,0.00E+00,0.00E+00,2.04E+05,6.14E+05,2.62E+04,2.85E+04,5.54E+04,1.44E+04,2.10E+04,1.58E+03
1.1833,0.00E+00,0.00E+00,2.40E+05,4.65E+05,2.15E+04,2.23E+04,4.32E+04,9.88E+03,1.44E+04,1.28E+03
1.1928,0.00E+00,1.11E+05,2.35E+05,4.56E+05,2.12E+04,2.19E+04,4.24E+04,9.62E+03,1.40E+04,1.27E+03
1.5,0.00E+00,7.75E+04,1.31E+05,2.52E+05,1.40E+04,1.29E+04,2.48E+04,4.36E+03,6.34E+03,8.27E+02
2,0.00E+00,4.84E+04,6.12E+04,1.17E+05,8.08E+03,6.36E+03,1.21E+04,1.56E+03,2.26E+03,4.73E+02
3,0.00E+00,2.29E+04,1.94E+04,3.66E+04,3.57E+03,2.17E+03,4.09E+03,3.42E+02,4.94E+02,2.08E+02
4,0.00E+00,1.29E+04,8.22E+03,1.54E+04,1.95E+03,9.67E+02,1.81E+03,1.12E+02,1.61E+02,1.14E+02
5,0.00E+00,8.01E+03,4.14E+03,7.69E+03,1.20E+03,5.03E+02,9.33E+02,4.57E+01,6.56E+01,6.96E+01
6,0.00E+00,5.36E+03,2.33E+03,4.31E+03,7.93E+02,2.90E+02,5.35E+02,2.17E+01,3.10E+01,4.62E+01
8,0.00E+00,2.77E+03,9.20E+02,1.68E+03,4.07E+02,1.18E+02,2.16E+02,6.48E+00,9.18E+00,2.37E+01
9.6129,0.00E+00,1.79E+03,5.02E+02,9.13E+02,2.62E+02,6.56E+01,1.19E+02,2.96E+00,4.18E+00,1.52E+01
9.6899,2.35E+04,1.75E+03,4.89E+02,8.88E+02,2.57E+02,6.40E+01,1.16E+02,2.86E+00,4.03E+00,1.49E+01
10,2.19E+04,1.63E+03,4.40E+02,7.99E+02,2.38E+02,5.77E+01,1.05E+02,2.50E+00,3.52E+00,1.38E+01
15,7.67E+03,5.91E+02,1.11E+02,1.98E+02,8.65E+01,1.50E+01,2.67E+01,4.30E-01,5.99E-01,5.02E+00
20,3.51E+03,2.80E+02,4.07E+01,7.18E+01,4.09E+01,5.60E+00,9.84E+00,1.21E-01,1.67E-01,2.38E+00
30,1.12E+03,9.33E+01,9.63E+00,1.66E+01,1.37E+01,1.35E+00,2.31E+00,1.96E-02,2.66E-02,7.96E-01
40,4.87E+02,4.18E+01,3.40E+00,5.75E+00,6.15E+00,4.81E-01,8.11E-01,5.34E-03,7.17E-03,3.57E-01
50,2.53E+02,2.21E+01,1.51E+00,2.51E+00,3.26E+00,2.15E-01,3.56E-01,1.95E-03,2.59E-03,1.89E-01
60,1.47E+02,1.30E+01,7.77E-01,1.27E+00,1.92E+00,1.11E-01,1.81E-01,8.58E-04,1.13E-03,1.12E-01
80,6.19E+01,5.59E+00,2.72E-01,4.34E-01,8.27E-01,3.91E-02,6.20E-02,2.37E-04,3.07E-04,4.81E-02
100,3.14E+01,2.88E+00,1.21E-01,1.89E-01,4.26E-01,1.74E-02,2.71E-02,8.84E-05,1.13E-04,2.48E-02
150,9.15E+00,8.54E-01,2.83E-02,4.24E-02,1.27E-01,4.11E-03,6.11E-03,1.54E-05,1.93E-05,7.37E-03
200,3.84E+00,3.61E-01,1.04E-02,1.51E-02,5.37E-02,1.51E-03,2.19E-03,4.64E-06,5.80E-06,3.12E-03
300,1.16E+00,1.10E-01,2.69E-03,3.81E-03,1.64E-02,3.93E-04,5.52E-04,9.32E-07,1.19E-06,9.55E-04
400,5.15E-01,4.93E-02,1.09E-03,1.53E-03,7.34E-03,1.60E-04,2.23E-04,3.22E-07,4.25E-07,4.27E-04
500,2.84E-01,2.72E-02,5.65E-04,7.99E-04,4.05E-03,8.25E-05,1.16E-04,1.48E-07,2.05E-07,2.36E-04
600,1.79E-01,1.72E-02,3.39E-04,4.86E-04,2.56E-03,4.95E-05,7.08E-05,8.11E-08,1.18E-07,1.49E-04
800,9.15E-02,8.79E-03,1.60E-04,2.38E-04,1.31E-03,2.33E-05,3.46E-05,3.36E-08,5.37E-08,7.64E-05
1000,5.70E-02,5.47E-03,9.37E-05,1.44E-04,8.15E-04,1.37E-05,2.10E-05,1.80E-08,3.13E-08,4.76E-05
1500,2.65E-02,2.55E-03,3.93E-05,6.53E-05,3.79E-04,5.73E-06,9.51E-06,6.51E-09,1.34E-08,2.24E-05
