PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2
1,2.32E+05,1.06E+04,1.82E+03,3.60E+03
1.5,8.40E+04,3.95E+03,4.59E+02,9.03E+02
2,3.92E+04,1.90E+03,1.67E+02,3.28E+02
3,1.28E+04,6.43E+02,3.85E+01,7.56E+01
4,5.61E+03,2.90E+02,1.32E+01,2.58E+01
5,2.92E+03,1.54E+02,5.64E+00,1.10E+01
6,1.70E+03,9.12E+01,2.78E+00,5.43E+00
8,7.17E+02,3.91E+01,9.01E-01,1.75E+00
10,3.63E+02,2.00E+01,3.72E-01,7.20E-01
15,1.03E+02,5.78E+00,7.34E-02,1.41E-01
20,4.16E+01,2.35E+00,2.30E-02,4.39E-02
30,1.14E+01,6.51E-01,4.44E-03,8.37E-03
40,4.49E+00,2.58E-01,1.38E-03,2.57E-03
50,2.17E+00,1.25E-01,5.57E-04,1.03E-03
60,1.20E+00,6.93E-02,2.67E-04,4.88E-04
80,4.68E-01,2.71E-02,8.43E-05,1.52E-04
100,2.25E-01,1.31E-02,3.49E-05,6.19E-05
150,6.02E-02,3.51E-03,7.30E-06,1.26E-05
200,2.40E-02,1.40E-03,2.50E-06,4.26E-06
300,6.80E-03,3.98E-04,5.98E-07,1.01E-06
400,2.93E-03,1.71E-04,2.31E-07,3.96E-07
500,1.58E-03,9.24E-05,1.16E-07,2.04E-07
600,9.86E-04,5.76E-05,6.78E-08,1.23E-07
800,4.98E-04,2.91E-05,3.10E-08,6.04E-08
1000,3.10E-04,1.81E-05,1.78E-08,3.70E-08
1500,1.46E-04,8.52E-06,7.27E-09,1.72E-08
