PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2
1,0.00E+00,1.47E+04,3.36E+03,6.62E+03,2.23E+02
1.0629,0.00E+00,1.28E+04,2.75E+03,5.42E+03,1.94E+02
1.0714,2.25E+05,1.25E+04,2.68E+03,5.28E+03,1.90E+02
1.5,1.14E+05,5.63E+03,8.65E+02,1.70E+03,8.56E+01
2,5.42E+04,2.75E+03,3.20E+02,6.29E+02,4.16E+01
3,1.81E+04,9.54E+02,7.55E+01,1.48E+02,1.45E+01
4,8.06E+03,4.37E+02,2.63E+01,5.14E+01,6.64E+00
5,4.24E+03,2.35E+02,1.14E+01,2.23E+01,3.57E+00
6,2.49E+03,1.40E+02,5.71E+00,1.11E+01,2.13E+00
8,1.06E+03,6.08E+01,1.88E+00,3.64E+00,9.26E-01
10,5.39E+02,3.14E+01,7.81E-01,1.51E+00,4.79E-01
15,1.55E+02,9.21E+00,1.56E-01,3.00E-01,1.40E-01
20,6.31E+01,3.79E+00,4.93E-02,9.38E-02,5.78E-02
30,1.74E+01,1.06E+00,9.64E-03,1.81E-02,1.62E-02
40,6.92E+00,4.23E-01,3.02E-03,5.60E-03,6.46E-03
50,3.36E+00,2.07E-01,1.23E-03,2.25E-03,3.16E-03
60,1.86E+00,1.15E-01,5.90E-04,1.07E-03,1.75E-03
80,7.30E-01,4.51E-02,1.88E-04,3.36E-04,6.89E-04
100,3.53E-01,2.19E-02,7.80E-05,1.37E-04,3.34E-04
150,9.47E-02,5.89E-03,1.64E-05,2.82E-05,9.00E-05
200,3.78E-02,2.35E-03,5.65E-06,9.54E-06,3.59E-05
300,1.08E-02,6.72E-04,1.35E-06,2.27E-06,1.03E-05
400,4.64E-03,2.89E-04,5.26E-07,8.91E-07,4.42E-06
500,2.51E-03,1.56E-04,2.64E-07,4.58E-07,2.39E-06
600,1.56E-03,9.76E-05,1.55E-07,2.77E-07,1.49E-06
800,7.91E-04,4.93E-05,7.10E-08,1.36E-07,7.58E-07
1000,4.92E-04,3.07E-05,4.09E-08,8.26E-08,4.73E-07
1500,2.31E-04,1.44E-05,1.67E-08,3.82E-08,2.27E-07
