PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.93E+04,4.27E+04,1.08E+05,1.48E+05,2.17E+05,9.94E+04,1.26E+05,7.73E+03,6.65E+03,1.48E+04,6.17E+02
1.4681,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.32E+04,2.74E+04,6.23E+04,7.52E+04,1.08E+05,2.92E+04,3.68E+04,4.22E+03,3.90E+03,8.11E+03,3.26E+02
1.4799,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.33E+05,2.30E+04,2.71E+04,6.16E+04,7.41E+04,1.07E+05,2.84E+04,3.58E+04,4.17E+03,3.85E+03,8.00E+03,3.22E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.39E+05,2.25E+04,2.66E+04,6.03E+04,7.21E+04,1.04E+05,2.71E+04,3.43E+04,4.08E+03,3.78E+03,7.82E+03,3.15E+02
1.5145,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.05E+05,2.22E+04,2.63E+04,5.94E+04,7.07E+04,1.02E+05,2.63E+04,3.32E+04,4.02E+03,3.72E+03,7.70E+03,3.10E+02
1.5266,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.04E+05,8.09E+05,2.19E+04,2.60E+04,5.87E+04,6.96E+04,1.00E+05,2.56E+04,3.23E+04,3.96E+03,3.68E+03,7.60E+03,3.06E+02
1.8632,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.40E+05,4.87E+05,1.62E+04,1.96E+04,4.23E+04,4.57E+04,6.50E+04,1.29E+04,1.62E+04,2.85E+03,2.70E+03,5.40E+03,2.17E+02
1.8781,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.65E+05,3.33E+05,4.77E+05,1.60E+04,1.94E+04,4.18E+04,4.49E+04,6.39E+04,1.26E+04,1.58E+04,2.81E+03,2.67E+03,5.32E+03,2.14E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.47E+05,2.83E+05,4.04E+05,1.45E+04,1.76E+04,3.75E+04,3.90E+04,5.53E+04,1.01E+04,1.26E+04,2.53E+03,2.41E+03,4.76E+03,1.92E+02
2.0736,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.41E+05,2.58E+05,3.67E+05,1.37E+04,1.67E+04,3.52E+04,3.59E+04,5.08E+04,8.84E+03,1.11E+04,2.38E+03,2.27E+03,4.46E+03,1.80E+02
