PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.11E+04,4.13E+04,1.25E+05,1.78E+05,2.66E+05,2.42E+05,3.10E+05,1.05E+04,9.24E+03,2.32E+04,9.23E+03,1.31E+04,1.13E+03
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.51E+04,2.87E+04,7.33E+04,9.70E+04,1.41E+05,7.27E+04,9.23E+04,5.68E+03,5.49E+03,1.25E+04,4.75E+03,6.61E+03,5.83E+02
1.9687,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.71E+04,2.07E+04,4.82E+04,5.79E+04,8.24E+04,3.00E+04,3.80E+04,3.68E+03,3.72E+03,7.95E+03,2.80E+03,3.84E+03,3.69E+02
1.9844,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.39E+05,1.69E+04,2.04E+04,4.76E+04,5.69E+04,8.10E+04,2.93E+04,3.69E+04,3.63E+03,3.68E+03,7.84E+03,2.75E+03,3.77E+03,3.64E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.91E+05,1.67E+04,2.02E+04,4.70E+04,5.60E+04,7.97E+04,2.85E+04,3.60E+04,3.59E+03,3.63E+03,7.74E+03,2.70E+03,3.71E+03,3.59E+02
2.0425,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.43E+05,1.62E+04,1.97E+04,4.54E+04,5.37E+04,7.62E+04,2.65E+04,3.35E+04,3.46E+03,3.52E+03,7.46E+03,2.59E+03,3.55E+03,3.47E+02
2.0588,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.36E+04,5.46E+05,1.60E+04,1.95E+04,4.48E+04,5.28E+04,7.49E+04,2.58E+04,3.26E+04,3.42E+03,3.48E+03,7.36E+03,2.55E+03,3.49E+03,3.42E+02
2.4492,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.54E+05,3.58E+05,1.23E+04,1.52E+04,3.34E+04,3.62E+04,5.09E+04,1.42E+04,1.79E+04,2.57E+03,2.65E+03,5.42E+03,1.74E+03,2.37E+03,2.54E+02
2.4688,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.26E+05,2.48E+05,3.50E+05,1.21E+04,1.50E+04,3.30E+04,3.56E+04,5.00E+04,1.38E+04,1.74E+04,2.53E+03,2.62E+03,5.34E+03,1.71E+03,2.33E+03,2.50E+02
2.788,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.05E+05,1.80E+05,2.52E+05,1.00E+04,1.25E+04,2.66E+04,2.69E+04,3.75E+04,8.98E+03,1.13E+04,2.06E+03,2.15E+03,4.27E+03,1.30E+03,1.75E+03,2.02E+02
