PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E+05,2.53E+05,5.20E+05,7.60E+05,2.53E+04,2.91E+04,6.06E+04,5.93E+04,8.63E+04,3.86E+03,2.61E+03,5.14E+03
1.0546,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.05E+05,2.36E+05,4.59E+05,6.69E+05,2.32E+04,2.68E+04,5.55E+04,5.27E+04,7.65E+04,3.53E+03,2.39E+03,4.69E+03
1.063,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.13E+04,1.04E+05,2.34E+05,4.50E+05,6.57E+05,2.29E+04,2.65E+04,5.48E+04,5.17E+04,7.51E+04,3.48E+03,2.36E+03,4.63E+03
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.75E+04,6.81E+04,1.43E+05,1.83E+05,2.64E+05,1.29E+04,1.50E+04,2.99E+04,2.26E+04,3.25E+04,1.91E+03,1.30E+03,2.48E+03
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.12E+04,4.32E+04,8.65E+04,8.04E+04,1.15E+05,7.79E+03,8.85E+03,1.72E+04,1.06E+04,1.51E+04,1.14E+03,7.62E+02,1.42E+03
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.59E+04,2.01E+04,3.84E+04,2.32E+04,3.29E+04,3.72E+03,3.95E+03,7.40E+03,3.30E+03,4.66E+03,5.36E+02,3.36E+02,6.08E+02
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.50E+03,1.09E+04,2.03E+04,9.10E+03,1.28E+04,2.17E+03,2.12E+03,3.88E+03,1.36E+03,1.90E+03,3.10E+02,1.80E+02,3.18E+02
4.5498,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.48E+03,8.20E+03,1.50E+04,5.90E+03,8.25E+03,1.69E+03,1.58E+03,2.87E+03,8.95E+02,1.25E+03,2.41E+02,1.34E+02,2.35E+02
4.5862,0.00E+00,0.00E+00,0.00E+00,1.04E+05,7.37E+03,8.05E+03,1.47E+04,5.74E+03,8.03E+03,1.66E+03,1.56E+03,2.82E+03,8.72E+02,1.22E+03,2.37E+02,1.32E+02,2.31E+02
4.8528,0.00E+00,0.00E+00,0.00E+00,9.33E+04,6.62E+03,7.07E+03,1.29E+04,4.73E+03,6.61E+03,1.49E+03,1.36E+03,2.46E+03,7.24E+02,1.01E+03,2.12E+02,1.18E+02,2.02E+02
4.8916,0.00E+00,0.00E+00,4.87E+04,9.13E+04,6.52E+03,6.94E+03,1.26E+04,4.60E+03,6.43E+03,1.47E+03,1.34E+03,2.41E+03,7.05E+02,9.82E+02,2.09E+02,1.15E+02,1.98E+02
5,0.00E+00,0.00E+00,4.82E+04,8.63E+04,6.26E+03,6.59E+03,1.20E+04,4.27E+03,5.96E+03,1.41E+03,1.27E+03,2.29E+03,6.56E+02,9.12E+02,2.00E+02,1.10E+02,1.88E+02
5.1573,0.00E+00,0.00E+00,4.42E+04,7.99E+04,5.90E+03,6.13E+03,1.11E+04,3.84E+03,5.35E+03,1.32E+03,1.18E+03,2.12E+03,5.92E+02,8.22E+02,1.88E+02,1.02E+02,1.74E+02
5.1985,0.00E+00,2.46E+04,4.33E+04,7.84E+04,5.81E+03,6.02E+03,1.09E+04,3.73E+03,5.20E+03,1.30E+03,1.16E+03,2.08E+03,5.76E+02,8.00E+02,1.85E+02,1.00E+02,1.71E+02
6,0.00E+00,1.94E+04,3.03E+04,5.34E+04,4.40E+03,4.27E+03,7.61E+03,2.26E+03,3.14E+03,9.80E+02,8.24E+02,1.46E+03,3.55E+02,4.91E+02,1.39E+02,7.10E+01,1.20E+02
8,0.00E+00,1.15E+04,1.37E+04,2.34E+04,2.48E+03,2.08E+03,3.61E+03,8.05E+02,1.11E+03,5.45E+02,4.01E+02,6.93E+02,1.30E+02,1.78E+02,7.72E+01,3.46E+01,5.69E+01
10,0.00E+00,7.50E+03,7.28E+03,1.22E+04,1.56E+03,1.15E+03,1.96E+03,3.52E+02,4.80E+02,3.42E+02,2.24E+02,3.79E+02,5.79E+01,7.86E+01,4.87E+01,1.93E+01,3.11E+01
15,0.00E+00,3.26E+03,2.20E+03,3.54E+03,6.53E+02,3.75E+02,6.15E+02,7.43E+01,9.95E+01,1.41E+02,7.34E+01,1.20E+02,1.26E+01,1.68E+01,2.01E+01,6.34E+00,9.85E+00
20,0.00E+00,1.73E+03,9.09E+02,1.42E+03,3.41E+02,1.62E+02,2.59E+02,2.38E+01,3.14E+01,7.37E+01,3.19E+01,5.07E+01,4.09E+00,5.39E+00,1.05E+01,2.76E+00,4.17E+00
30,0.00E+00,6.73E+02,2.53E+02,3.79E+02,1.31E+02,4.74E+01,7.24E+01,4.59E+00,5.92E+00,2.83E+01,9.41E+00,1.43E+01,8.03E-01,1.03E+00,4.02E+00,8.15E-01,1.18E+00
33.134,0.00E+00,5.29E+02,1.84E+02,2.73E+02,1.03E+02,3.48E+01,5.26E+01,3.05E+00,3.91E+00,2.22E+01,6.92E+00,1.04E+01,5.36E-01,6.81E-01,3.16E+00,6.00E-01,8.58E-01
33.399,6.06E+03,5.19E+02,1.79E+02,2.65E+02,1.01E+02,3.40E+01,5.12E+01,2.95E+00,3.78E+00,2.18E+01,6.75E+00,1.01E+01,5.18E-01,6.59E-01,3.10E+00,5.85E-01,8.36E-01
40,3.81E+03,3.33E+02,9.96E+01,1.45E+02,6.47E+01,1.93E+01,2.84E+01,1.40E+00,1.77E+00,1.39E+01,3.84E+00,5.65E+00,2.47E-01,3.10E-01,1.98E+00,3.33E-01,4.66E-01
50,2.12E+03,1.89E+02,4.80E+01,6.78E+01,3.68E+01,9.44E+00,1.35E+01,5.53E-01,6.89E-01,7.93E+00,1.89E+00,2.70E+00,9.83E-02,1.21E-01,1.13E+00,1.64E-01,2.23E-01
60,1.29E+03,1.18E+02,2.63E+01,3.62E+01,2.30E+01,5.24E+00,7.34E+00,2.59E-01,3.18E-01,4.95E+00,1.05E+00,1.47E+00,4.62E-02,5.62E-02,7.04E-01,9.11E-02,1.21E-01
80,5.85E+02,5.51E+01,1.01E+01,1.34E+01,1.08E+01,2.05E+00,2.76E+00,7.82E-02,9.39E-02,2.32E+00,4.13E-01,5.52E-01,1.40E-02,1.67E-02,3.29E-01,3.58E-02,4.57E-02
100,3.12E+02,3.02E+01,4.82E+00,6.18E+00,5.90E+00,9.90E-01,1.29E+00,3.11E-02,3.67E-02,1.27E+00,2.00E-01,2.58E-01,5.60E-03,6.55E-03,1.81E-01,1.73E-02,2.13E-02
150,9.84E+01,9.89E+00,1.27E+00,1.53E+00,1.94E+00,2.64E-01,3.22E-01,6.00E-03,6.88E-03,4.19E-01,5.35E-02,6.48E-02,1.09E-03,1.23E-03,5.95E-02,4.64E-03,5.37E-03
200,4.33E+01,4.46E+00,5.00E-01,5.76E-01,8.77E-01,1.05E-01,1.23E-01,1.93E-03,2.19E-03,1.89E-01,2.13E-02,2.47E-02,3.50E-04,3.93E-04,2.69E-02,1.85E-03,2.05E-03
300,1.39E+01,1.47E+00,1.41E-01,1.54E-01,2.90E-01,2.99E-02,3.31E-02,4.20E-04,4.72E-04,6.26E-02,6.08E-03,6.68E-03,7.62E-05,8.56E-05,8.90E-03,5.27E-04,5.53E-04
400,6.42E+00,6.86E-01,6.02E-02,6.41E-02,1.36E-01,1.28E-02,1.38E-02,1.51E-04,1.74E-04,2.93E-02,2.61E-03,2.79E-03,2.75E-05,3.16E-05,4.16E-03,2.26E-04,2.31E-04
500,3.62E+00,3.89E-01,3.21E-02,3.39E-02,7.70E-02,6.87E-03,7.30E-03,7.12E-05,8.54E-05,1.66E-02,1.40E-03,1.48E-03,1.30E-05,1.54E-05,2.37E-03,1.21E-04,1.23E-04
600,2.32E+00,2.50E-01,1.97E-02,2.07E-02,4.95E-02,4.22E-03,4.48E-03,3.97E-05,4.95E-05,1.07E-02,8.57E-04,9.06E-04,7.24E-06,8.94E-06,1.52E-03,7.43E-05,7.52E-05
800,1.20E+00,1.30E-01,9.57E-03,1.02E-02,2.57E-02,2.05E-03,2.20E-03,1.71E-05,2.22E-05,5.56E-03,4.18E-04,4.44E-04,3.09E-06,4.07E-06,7.91E-04,3.62E-05,3.70E-05
1000,7.52E-01,8.13E-02,5.71E-03,6.15E-03,1.61E-02,1.23E-03,1.33E-03,9.26E-06,1.31E-05,3.47E-03,2.49E-04,2.69E-04,1.68E-06,2.37E-06,4.95E-04,2.16E-05,2.24E-05
1500,3.48E-01,3.75E-02,2.46E-03,2.72E-03,7.42E-03,5.29E-04,5.88E-04,3.53E-06,5.32E-06,1.60E-03,1.07E-04,1.19E-04,6.25E-07,9.81E-07,2.28E-04,9.34E-06,1.00E-05
