PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2
1,1.68E+05,7.76E+03,8.60E+02,1.70E+03
1.5,5.89E+04,2.80E+03,2.12E+02,4.19E+02
2,2.70E+04,1.32E+03,7.57E+01,1.49E+02
3,8.58E+03,4.38E+02,1.70E+01,3.35E+01
4,3.72E+03,1.94E+02,5.71E+00,1.12E+01
5,1.92E+03,1.02E+02,2.40E+00,4.71E+00
6,1.11E+03,5.97E+01,1.17E+00,2.30E+00
8,4.62E+02,2.52E+01,3.75E-01,7.31E-01
10,2.32E+02,1.28E+01,1.54E-01,2.98E-01
15,6.52E+01,3.64E+00,3.00E-02,5.78E-02
20,2.61E+01,1.47E+00,9.31E-03,1.78E-02
30,7.07E+00,4.02E-01,1.77E-03,3.35E-03
40,2.77E+00,1.58E-01,5.46E-04,1.02E-03
50,1.34E+00,7.65E-02,2.19E-04,4.07E-04
60,7.34E-01,4.21E-02,1.05E-04,1.92E-04
80,2.85E-01,1.64E-02,3.29E-05,5.95E-05
100,1.37E-01,7.89E-03,1.36E-05,2.42E-05
150,3.64E-02,2.10E-03,2.82E-06,4.90E-06
200,1.44E-02,8.35E-04,9.63E-07,1.65E-06
300,4.09E-03,2.37E-04,2.29E-07,3.91E-07
400,1.76E-03,1.02E-04,8.82E-08,1.53E-07
500,9.47E-04,5.48E-05,4.40E-08,7.86E-08
600,5.90E-04,3.41E-05,2.58E-08,4.75E-08
800,2.98E-04,1.72E-05,1.18E-08,2.33E-08
1000,1.85E-04,1.07E-05,6.74E-09,1.43E-08
1500,8.73E-05,5.06E-06,2.75E-09,6.69E-09
