PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E+05,2.58E+05,5.58E+05,8.15E+05,2.67E+04,3.08E+04,6.46E+04,6.62E+04,9.63E+04,4.33E+03,3.63E+03,7.20E+03
1.1211,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+05,2.24E+05,4.28E+05,6.23E+05,2.22E+04,2.58E+04,5.35E+04,5.13E+04,7.44E+04,3.56E+03,3.01E+03,5.91E+03
1.1301,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.72E+04,9.92E+04,2.22E+05,4.20E+05,6.11E+05,2.19E+04,2.55E+04,5.28E+04,5.04E+04,7.31E+04,3.52E+03,2.97E+03,5.83E+03
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.87E+04,6.99E+04,1.48E+05,2.01E+05,2.90E+05,1.37E+04,1.60E+04,3.21E+04,2.56E+04,3.68E+04,2.14E+03,1.82E+03,3.49E+03
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.22E+04,4.49E+04,9.05E+04,8.88E+04,1.27E+05,8.27E+03,9.50E+03,1.85E+04,1.21E+04,1.72E+04,1.28E+03,1.07E+03,2.00E+03
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.65E+04,2.12E+04,4.06E+04,2.59E+04,3.66E+04,3.97E+03,4.27E+03,8.03E+03,3.81E+03,5.38E+03,6.04E+02,4.75E+02,8.61E+02
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.91E+03,1.16E+04,2.16E+04,1.02E+04,1.43E+04,2.31E+03,2.31E+03,4.23E+03,1.58E+03,2.21E+03,3.49E+02,2.55E+02,4.53E+02
4.7698,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.15E+03,7.85E+03,1.43E+04,5.65E+03,7.88E+03,1.65E+03,1.55E+03,2.80E+03,8.97E+02,1.25E+03,2.48E+02,1.72E+02,3.00E+02
4.808,0.00E+00,0.00E+00,0.00E+00,9.85E+04,7.05E+03,7.71E+03,1.40E+04,5.50E+03,7.67E+03,1.62E+03,1.52E+03,2.75E+03,8.74E+02,1.22E+03,2.44E+02,1.68E+02,2.95E+02
5,0.00E+00,0.00E+00,0.00E+00,9.25E+04,6.55E+03,7.05E+03,1.28E+04,4.81E+03,6.70E+03,1.50E+03,1.39E+03,2.50E+03,7.69E+02,1.07E+03,2.26E+02,1.54E+02,2.68E+02
5.099,0.00E+00,0.00E+00,0.00E+00,8.75E+04,6.31E+03,6.74E+03,1.22E+04,4.50E+03,6.26E+03,1.45E+03,1.33E+03,2.39E+03,7.21E+02,1.00E+03,2.18E+02,1.47E+02,2.56E+02
5.1398,0.00E+00,0.00E+00,4.62E+04,8.57E+04,6.22E+03,6.61E+03,1.20E+04,4.37E+03,6.09E+03,1.42E+03,1.31E+03,2.34E+03,7.02E+02,9.75E+02,2.14E+02,1.44E+02,2.51E+02
5.412,0.00E+00,0.00E+00,4.18E+04,7.52E+04,5.63E+03,5.86E+03,1.06E+04,3.66E+03,5.09E+03,1.29E+03,1.16E+03,2.07E+03,5.91E+02,8.20E+02,1.93E+02,1.28E+02,2.21E+02
5.4554,0.00E+00,2.34E+04,4.10E+04,7.37E+04,5.55E+03,5.75E+03,1.03E+04,3.56E+03,4.95E+03,1.27E+03,1.14E+03,2.03E+03,5.76E+02,7.98E+02,1.90E+02,1.25E+02,2.17E+02
6,0.00E+00,1.97E+04,3.25E+04,5.74E+04,4.62E+03,4.58E+03,8.17E+03,2.56E+03,3.54E+03,1.05E+03,9.05E+02,1.60E+03,4.18E+02,5.77E+02,1.57E+02,1.02E+02,1.72E+02
8,0.00E+00,1.19E+04,1.49E+04,2.53E+04,2.61E+03,2.24E+03,3.89E+03,9.15E+02,1.25E+03,5.85E+02,4.43E+02,7.66E+02,1.54E+02,2.11E+02,8.75E+01,4.98E+01,8.20E+01
10,0.00E+00,7.80E+03,7.91E+03,1.32E+04,1.65E+03,1.25E+03,2.13E+03,4.02E+02,5.47E+02,3.67E+02,2.48E+02,4.21E+02,6.91E+01,9.36E+01,5.48E+01,2.80E+01,4.51E+01
15,0.00E+00,3.42E+03,2.40E+03,3.86E+03,6.92E+02,4.11E+02,6.72E+02,8.55E+01,1.14E+02,1.53E+02,8.22E+01,1.34E+02,1.52E+01,2.02E+01,2.29E+01,9.26E+00,1.44E+01
20,0.00E+00,1.82E+03,9.99E+02,1.56E+03,3.63E+02,1.79E+02,2.84E+02,2.75E+01,3.63E+01,7.97E+01,3.60E+01,5.69E+01,4.96E+00,6.51E+00,1.20E+01,4.06E+00,6.12E+00
30,0.00E+00,7.12E+02,2.79E+02,4.17E+02,1.40E+02,5.27E+01,8.00E+01,5.35E+00,6.88E+00,3.07E+01,1.07E+01,1.62E+01,9.81E-01,1.26E+00,4.61E+00,1.21E+00,1.74E+00
